galaxy_name,source_type,dataset,taxonomy_stage,quality_class,measurement_unreliable_flag,velocity_target_reliability_score,contamination_reasons,quarantine_flag,clean_scalar_sample,m40_direct_row,A_target,A_pred_m38_feedback,A_pred_m38_feedback_cv,A_activation_flip_m39,A_activation_flip_cv_m39,f_star,f_gas,RHI_Rd,Inc,Vflat,e_Vflat,recommended_next_label
UGC10310,direct_sparc_m36_m39,SPARC,disturbed_or_measurement_contaminated,measurement_contaminated_or_unreliable_velocity_target,True,0.52,local measurement-contamination flag; severe under-rotation/endpoint tension; inclination extreme,False,True,True,0.6433123110527825,0.9386387062464124,0.9683870633465368,0.0613612937535875,0.0316129366534632,0.3536921314166375,0.6463078685833624,5.322222222222222,34.0,71.4,3.9,resolved H I asymmetry/warp and approaching-receding split
NGC3741,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,1.0,0.1018654518254444,0.0983198485722879,0.8981345481745556,0.901680151427712,0.0546746856205576,0.9453253143794424,21.0,70.0,50.1,2.1,resolved H I asymmetry/warp and approaching-receding split
F583-1,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,0.8682175583963055,0.7982267965268923,0.6667926384177467,0.2017732034731076,0.3332073615822533,0.1484680387161279,0.8515319612838721,6.63135593220339,63.0,85.8,3.6,resolved H I asymmetry/warp and approaching-receding split
UGC00731,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,0.695472852986707,0.640558090654279,0.7862507016198828,0.3594419093457209,0.2137492983801172,0.0629676272316467,0.9370323727683532,5.030434782608697,57.0,73.3,2.3,resolved H I asymmetry/warp and approaching-receding split
UGC08550,direct_sparc_m36_m39,SPARC,juvenile_forming,measurement_contaminated_or_unreliable_velocity_target,True,0.84,inclination extreme,False,True,True,0.925304421239436,0.876458545316628,0.3590149472233065,0.1235414546833719,0.6409850527766935,0.2739128786442734,0.7260871213557266,12.42222222222222,90.0,56.9,1.9,resolved H I asymmetry/warp and approaching-receding split
NGC3109,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,1.0,0.6776019511345286,0.8199767494788368,0.3223980488654714,0.1800232505211632,0.1326205548187747,0.8673794451812253,3.846153846153846,70.0,66.2,2.6,SFR/SFE/depletion time plus outer-curve quality flag
F563-1,direct_sparc_m36_m39,SPARC,juvenile_forming,measurement_contaminated_or_unreliable_velocity_target,True,0.52,local measurement-contamination flag; inclination extreme; high Vflat uncertainty,False,True,True,1.0,0.7982177580273739,0.6667850918780072,0.201782241972626,0.3332149081219928,0.1827172347575612,0.8172827652424388,6.667613636363636,25.0,109.9,12.5,resolved H I asymmetry/warp and approaching-receding split
UGCA442,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,1.0,0.7283296436857178,0.600785024767292,0.2716703563142821,0.399214975232708,0.1667500416875104,0.8332499583124896,3.703389830508475,64.0,56.4,2.1,SFR/SFE/depletion time plus outer-curve quality flag
UGC06446,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,0.969156290976066,0.894531174298555,0.950826824975057,0.105468825701445,0.049173175024943,0.2121929323430996,0.7878070676569003,6.932885906040268,51.0,82.2,4.3,resolved H I asymmetry/warp and approaching-receding split
UGC05721,direct_sparc_m36_m39,SPARC,juvenile_forming,measurement_contaminated_or_unreliable_velocity_target,True,0.68,local measurement-contamination flag; high Vflat uncertainty,False,True,True,1.0,0.3294293652854921,0.114343434968677,0.670570634714508,0.8856565650313231,0.2621031432633075,0.7378968567366925,17.736842105263158,61.0,79.7,6.6,resolved H I asymmetry/warp and approaching-receding split
