object_name,source_type,m40_stratum,taxonomy_stage,phase_region_m42,split,organization_label_settled,organization_label_score,organization_label_source,composition_indicator,hi_extent_indicator,rotation_coherence_indicator,ar_mismatch_indicator,hi_asymmetry_indicator,sfe_indicator,depletion_time_indicator,shape_symmetry_indicator,f_star,f_gas,R_HI_over_Rd,hi_compactness_proxy,log10_Sigma_b,quality_quarantine_flag,quality_measurement_limited_flag,quality_layer_separate,organization_feature_set,organization_probability,organization_class,sample_tier,model_frozen_before_endpoint_join,endpoint_residual_direction,mature_endpoint_residual_log10,A_inferred,measurement_limited_or_quarantined,quarantine_flag,baryonic_maturity_score,m36_endpoint_residual_log10,activation_class,activation_target_binary,residual_direction_binary,bridge_target_joined_after_freeze
UGC06446,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,pre_activation,heldout_tier1_bridge,0,0.4290630349142279,independent_baryon_settling_components_no_endpoint_residuals,0.006567520885839,0.2311011944533517,1.0,,,0.5,0.5,0.3367094941461767,0.2121929323430996,0.7878070676569003,6.932885906040268,0.1260575296108291,8.222443629281738,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.03450645562262904,unsettled,Tier 1,True,near_zero_residual,0.0051949893670559,0.969156290976066,False,False,0.4148756418970735,0.0051949893670559,high_activation,1,0,True
D631-7,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,heldout_tier1_bridge,1,0.5814637317291326,independent_baryon_settling_components_no_endpoint_residuals,0.0050933659811907,0.4836894257480137,1.0,,,0.5,0.5,0.9999995986455908,0.2026049204052098,0.7973950795947902,0.0,1.0,8.196200139001826,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.9996687567844513,settled,Tier 1,True,below_mature_endpoint,-0.0343072385452566,1.0,False,False,0.597756478074959,-0.0343072385452566,high_activation,1,0,True
UGC05005,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,heldout_tier1_bridge,0,0.45414801834325264,independent_baryon_settling_components_no_endpoint_residuals,0.1408362282199201,0.1532361731604249,1.0,,,0.5,0.5,0.4308157086791707,0.3325929759608286,0.6674070240391713,6.753125,0.12898024989923418,7.981360962953233,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.40845974350937453,unsettled,Tier 1,True,above_mature_endpoint,0.0305978514697671,0.8403410231539875,False,False,0.4449776220119031,0.0305978514697671,high_activation,1,1,True
UGC04278,direct_sparc_m36_m41,measurement_contaminated_candidates,juvenile_forming,measurement_limited,heldout_tier1_bridge,0,0.5624436356871746,independent_baryon_settling_components_no_endpoint_residuals,0.0740726647731066,0.4636708111224593,0.84,,,0.5,0.5,0.9969183382274822,0.3056909504252074,0.6943090495747926,4.027149321266968,0.19891989198919893,7.842998593983464,False,True,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.6944120103369724,settled,Tier 1,True,below_mature_endpoint,-0.0609026883488162,1.0,True,False,0.5749323628246096,-0.0609026883488162,high_activation,1,0,True
UGC07399,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,heldout_tier1_bridge,1,0.6108574491711659,independent_baryon_settling_components_no_endpoint_residuals,0.2988245066408903,0.3827585235772723,1.0,,,0.5,0.5,0.983561664808833,0.3684227300251776,0.6315772699748223,4.786585365853659,0.17281348788198103,7.967713857599678,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.6870493497165994,settled,Tier 1,True,below_mature_endpoint,-0.144578008472295,1.0,False,False,0.6330289390053991,-0.144578008472295,high_activation,1,0,True
NGC2841,direct_sparc_m36_m41,mature_controls,mature_or_control,transition,heldout_tier1_bridge,0,0.5542143616632161,independent_baryon_settling_components_no_endpoint_residuals,0.9999971004442962,0.5752863563020789,0.75,,,0.5,0.5,2.7132329218144e-06,0.8785671753318778,0.1214328246681222,12.395604395604394,0.07465135356849878,9.109249674051874,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.7972838574925529,settled,Tier 1,True,below_mature_endpoint,-0.0600710115893392,1.0,False,False,0.5650572339958594,-0.0600710115893392,high_activation,1,0,True
NGC6674,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,heldout_tier1_bridge,0,0.5736237150700809,independent_baryon_settling_components_no_endpoint_residuals,0.9997727690944496,0.4172424109237649,1.0,,,0.5,0.5,0.0247271104022709,0.7150059174672374,0.2849940825327626,8.281456953642385,0.10774170531573313,8.816145608463174,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.7003007628763127,settled,Tier 1,True,above_mature_endpoint,0.0322623904351289,0.7936659624078981,False,False,0.5883484580840971,0.0322623904351289,high_activation,1,1,True
NGC4183,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,heldout_tier1_bridge,1,0.7349289448337464,independent_baryon_settling_components_no_endpoint_residuals,0.9748065628223472,0.5616573053340995,1.0,,,0.5,0.5,0.8731098008460318,0.5374936272438549,0.4625063727561451,5.759856630824372,0.147932131495228,8.314157556671503,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.7745479725711332,settled,Tier 1,True,above_mature_endpoint,0.032840471583085,0.8004255086628022,False,False,0.7819147338004957,0.032840471583085,high_activation,1,1,True
UGC08286,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,heldout_tier1_bridge,0,0.4708234299793377,independent_baryon_settling_components_no_endpoint_residuals,0.6498587519951898,0.2480910996055374,0.84,,,0.5,0.5,0.0869907282752989,0.4235972349732678,0.5764027650267323,7.685714285714286,0.1151315789473684,8.33010214706329,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.28395084494390455,unsettled,Tier 1,True,below_mature_endpoint,-0.0416138994693549,1.0,False,False,0.4649881159752052,-0.0416138994693549,high_activation,1,0,True
F571-8,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,heldout_tier1_bridge,1,0.5939048188945589,independent_baryon_settling_components_no_endpoint_residuals,0.999451660617626,0.2087576683763755,1.0,,,0.5,0.5,0.3552195843733518,0.6819590824550527,0.3180409175449473,6.896067415730337,0.12664532194948416,7.971196478641222,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.9912191088154831,settled,Tier 1,True,below_mature_endpoint,-0.1016359820825215,1.0,False,False,0.6126857826734706,-0.1016359820825215,high_activation,1,0,True
UGC02885,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,heldout_tier1_bridge,1,0.7132214526470548,independent_baryon_settling_components_no_endpoint_residuals,0.9999700720878938,0.7155372560785911,1.0,,,0.5,0.5,0.5638213877158447,0.7910323852314484,0.2089676147685516,6.512280701754385,0.13311536665109763,8.494656615411506,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.9791232448365713,settled,Tier 1,True,below_mature_endpoint,-0.0336344534924578,1.0,False,False,0.7558657431764659,-0.0336344534924578,high_activation,1,0,True
UGC06786,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,heldout_tier1_bridge,1,0.8027713495211416,independent_baryon_settling_components_no_endpoint_residuals,0.9999930585710478,0.917161960806896,1.0,,,0.5,0.5,0.8994730777489053,0.8458313937142514,0.1541686062857485,5.641666666666667,0.15056461731493098,8.726638809814512,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.9768454427253156,settled,Tier 1,True,below_mature_endpoint,-0.0179761972208674,1.0,False,False,0.8633256194253699,-0.0179761972208674,high_activation,1,0,True
NGC5985,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,heldout_tier1_bridge,1,0.8040413217746091,independent_baryon_settling_components_no_endpoint_residuals,0.999996484668076,0.923408465288399,1.0,,,0.5,0.5,0.90084298069118,0.8713455360448207,0.1286544639551793,5.634807417974322,0.15072027520963235,8.58874440120979,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.991724068205554,settled,Tier 1,True,below_mature_endpoint,-0.0750502755722731,1.0,False,False,0.8648495861295309,-0.0750502755722731,high_activation,1,0,True
ESO079-G014,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,heldout_tier1_bridge,1,0.8029659200645272,independent_baryon_settling_components_no_endpoint_residuals,0.9999953667954816,0.8187123325256654,1.0,,,0.5,0.5,0.9990878210660158,0.8609911892073615,0.1390088107926385,3.478346456692914,0.22329670329670329,8.2678316681095,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.9992082506440253,settled,Tier 1,True,below_mature_endpoint,-0.030472395093818,1.0,False,False,0.8635591040774326,-0.030472395093818,high_activation,1,0,True
NGC3953,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,heldout_tier1_bridge,1,0.8301717168479605,independent_baryon_settling_components_no_endpoint_residuals,0.999999561298768,0.9821101983745448,1.0,,,0.5,0.5,0.9989205414144504,0.9493857994389996,0.0506142005610004,3.554192229038855,0.2195779074988774,8.69487492171657,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.9981642523958506,settled,Tier 1,True,near_zero_residual,-0.0048166982518404,1.0,False,False,0.8962060602175527,-0.0048166982518404,high_activation,1,0,True
NGC5005,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,heldout_tier1_bridge,1,0.7951818389787029,independent_baryon_settling_components_no_endpoint_residuals,0.9999998127140116,0.7710958627488217,1.0,,,0.5,0.5,0.999995358409384,0.9813051270337704,0.0186948729662297,1.1015873015873017,0.47583081570996977,8.210295606818034,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.999996083709768,settled,Tier 1,True,below_mature_endpoint,-0.0443499929387442,1.0,False,False,0.8542182067744435,-0.0443499929387442,high_activation,1,0,True
NGC7814,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,heldout_tier1_bridge,1,0.8005780980760613,independent_baryon_settling_components_no_endpoint_residuals,0.9999996966085262,0.9797954746100248,0.84,,,0.5,0.5,0.9836734172378164,0.9632156039661288,0.0367843960338713,4.783464566929134,0.17290673927842068,8.979724487335302,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.9890857254857323,settled,Tier 1,True,below_mature_endpoint,-0.0244286313153802,1.0,False,False,0.8606937176912733,-0.0244286313153802,high_activation,1,0,True
UGC06983,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,heldout_tier1_bridge,1,0.6439468270420454,independent_baryon_settling_components_no_endpoint_residuals,0.5083637910539813,0.3818246339417546,1.0,,,0.5,0.5,0.9734925372565368,0.4016612308210174,0.5983387691789827,5.006230529595015,0.16649377593360998,8.008032110383153,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.7293046173014085,settled,Tier 1,True,below_mature_endpoint,-0.0106281231864467,1.0,False,False,0.6727361924504545,-0.0106281231864467,high_activation,1,0,True
UGC11914,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,heldout_tier1_bridge,1,0.7889707092874967,independent_baryon_settling_components_no_endpoint_residuals,0.9999998280083188,0.9856667118773416,0.75,,,0.5,0.5,0.9981577158393196,0.98449977846327,0.0155002215367299,3.795081967213114,0.20854700854700856,9.3089671803468,False,False,True,f_star;f_gas;hi_compactness_proxy;log10_Sigma_b,0.975319124385552,settled,Tier 1,True,below_mature_endpoint,-0.0527195522682522,1.0,False,False,0.846764851144996,-0.0527195522682522,high_activation,1,0,True
