f_star_c,k_star,log10_sigma_c,k_sigma,f_gas_c,k_gas,RHI_Rd_c,k_HI,omega_c,k_omega,T_c,k_T,drive_power,A0,lambda_seed,lambda_feedback,lambda_reservoir,n_steps,tau_final,mse,rmse,spearman_A_pred_A_inferred,pearson_A_pred_A_inferred,prediction_min,prediction_max,prediction_std,rank_score,UGC07125_A_pred_m18
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,2.0,0.0,0.5,80,1.0,0.13017828694141484,0.36080228233953127,0.1877063948061821,0.17220517008321218,0.030542521407619126,0.8335201421143742,0.2171398728536259,0.09263700798017842,0.23189145764124391
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,1.0,0.0,1.5,80,1.0,0.1372525236322744,0.37047607700400087,0.2229515375882453,0.19626580865089938,0.0044890849186135385,0.5832503581299021,0.15601311490682934,0.09266221611462533,0.08388664716799442
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,1.0,1.0,3.0,80,1.0,0.14289601165117968,0.3780158880935822,0.25058548174777073,0.213407093032372,0.0024049869799153216,0.7078403562177742,0.19407028730002415,0.09277891530162553,0.058425376682814494
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,2.0,1.0,6.0,80,1.0,0.14479365325292395,0.3805176122769141,0.25900890660220993,0.22797398928523258,0.0002533600141633873,0.8710203187086014,0.2511997520067092,0.09299187193248196,0.05787822436372229
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.05,2.0,0.0,0.5,80,1.0,0.13130370696911137,0.3623585337329747,0.19122908385690102,0.1750377001771107,0.030312165185425382,0.831413401959109,0.22891994060450652,0.09305789019773117,0.18267729001058525
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.05,4.0,0.0,6.0,80,1.0,0.14522627711369832,0.38108565587502546,0.2605238454167678,0.23246418866323432,0.00011233865973627735,0.9378732123976036,0.2850133941019674,0.09312150803034475,0.07935102921981328
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,2.0,1.0,6.0,80,1.0,0.14487315748892945,0.38062206647661595,0.2587168702042229,0.22435996904936276,9.692087975922628e-05,0.8608339631042419,0.24597481413246358,0.09312978344808487,0.05739290681788022
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.1,4.0,0.0,6.0,80,1.0,0.14525819636529844,0.3811275329404823,0.2605238454167678,0.23371519194319107,0.00021012260730616004,0.9391226189534443,0.2859166338577319,0.09315342728194487,0.0795821625817364
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,2.0,1.0,6.0,80,1.0,0.14483095789879635,0.3805666274107549,0.25781338259795045,0.22574643590945861,0.0001555856468220134,0.8647363128196058,0.24796193234304645,0.09326828137920626,0.05757517824875905
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.02,4.0,0.0,6.0,80,1.0,0.14521070559242263,0.3810652248532036,0.25970249304742926,0.23170780850160647,5.366829119434765e-05,0.9371235684640988,0.28447386265519875,0.09327020698293678,0.07921234920265942
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,8.0,1.0,10.0,80,1.0,0.14630736366636465,0.3825014557702554,0.26425643562853995,0.24856467667600063,0.00013946033544181516,0.9871168917428836,0.299020386869778,0.09345607654065666,0.12654930750982116
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,8.0,1.0,10.0,80,1.0,0.14630750015713934,0.3825016341888481,0.26425643562853995,0.24864077903145432,0.00014014765886383724,0.9873115965881598,0.29905029027443464,0.09345621303143134,0.12655143224774498
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,8.0,1.0,10.0,80,1.0,0.14630768713377656,0.3825018786016306,0.26425643562853995,0.24876682868985175,0.00014129319608071394,0.9876327394619778,0.29909972468226387,0.09345640000806857,0.12655496843635422
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,2.0,0.0,0.5,80,1.0,0.13056385068363333,0.36133620173410985,0.18549786954640501,0.1694112446290873,0.012381482087792647,0.8284395757317108,0.22036114407954058,0.09346427677435232,0.2167886631151266
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,4.0,0.0,3.0,80,1.0,0.14460354428559793,0.38026772711551254,0.25326856615427684,0.23429505899070685,0.002568865003624874,0.9556777556662829,0.2787722855876612,0.09394983105474256,0.18512607636672324
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,4.0,0.0,3.0,80,1.0,0.14456456158099948,0.3802164667409862,0.25243808764750114,0.23283981627694011,0.0011600087792890512,0.954891264173712,0.27856712756192104,0.09407694405149924,0.18365996342328095
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.05,2.0,1.0,1.5,80,1.0,0.13912208836743417,0.37299073496192126,0.224165313867379,0.1989479553398079,0.011021255711618898,0.892698534410393,0.26120563897591376,0.09428902559395837,0.1289216159921887
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,4.0,0.0,3.0,80,1.0,0.14468531330301215,0.38037522698384574,0.2516441136904738,0.236708116283136,0.0049169587108512415,0.9569885748205674,0.27912316917941965,0.09435649056491739,0.18756959793912698
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.05,1.0,0.0,1.5,80,1.0,0.14066108756821905,0.3750481136710583,0.23054448393590884,0.20020441753823595,0.011009886738257467,0.5927970109527687,0.16194048681908846,0.09455219078103727,0.07153661667020282
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,1.0,3.0,3.0,80,1.0,0.14579668583052943,0.38183332205365395,0.2561432994469619,0.2112379882611308,0.004756405475584082,0.9035050383303167,0.2691923932247455,0.09456802594113706,0.0702537880073277
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.02,2.0,0.0,0.5,80,1.0,0.13261876893483107,0.36416859960028275,0.18961375753053508,0.17231390477559094,0.012145572884295111,0.8262671115733892,0.23238474842597923,0.09469601742872405,0.166341983132791
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,4.0,1.0,10.0,80,1.0,0.1472801030296123,0.383770899143763,0.26274149681398207,0.23507046549072,7.179878691938749e-05,0.9381312411227464,0.2805818568793413,0.09473180366681588,0.06762478714568017
