galaxy_name,D_total,Vflat,v_newton_km_s,btfr_offset_dex,log10_M_bar,f_star,f_gas,log10_Sigma_b,RHI_over_Rdisk,Rdisk_kpc,A_inferred,T,taxonomy_stage,organization_label_score,curve_shape
NGC0801,-0.11263751828907141,220.1,233.65200456150845,-0.0259494687486376,11.27217203232174,0.8351130393642101,0.1648869606357899,8.59295919409849,5.159403669724771,8.72,0.0,5.0,true_falsifier_candidate,0.789187253020455,unknown
NGC0891,0.35027946625003487,216.1,185.97001889440784,0.0652118316880249,10.875665727894663,0.9209839202625252,0.0790160797374749,9.26440549866864,7.121568627450981,2.55,0.3502794662500347,3.0,mature_or_control,0.6318659252241229,unknown
NGC1003,-0.09852422363282645,109.8,115.6445870046507,-0.0225229693745119,10.050395225068138,0.3036401196751674,0.6963598803248326,8.838563604646323,20.701863354037265,1.61,0.0,6.0,failed_stalled,0.3738806087009397,steeply_rising
NGC1090,-0.019441017320483225,164.4,166.02173646450927,-0.0042631387432271,10.678553794902832,0.7551270976014745,0.2448729023985255,8.784824515769072,8.637393767705383,3.53,0.0,4.0,true_falsifier_candidate,0.5501768418325899,unknown
NGC2403,0.41629500823287574,131.2,110.24451032869754,0.0755768622359338,9.967321878328628,0.5412838794329377,0.4587161205670624,8.883112409462322,10.870503597122305,1.39,0.4162950082328754,6.0,mature_or_control,0.5105108966030939,unknown
NGC2841,0.9643135327060691,284.8,203.2050892692085,0.146605404316243,11.0296323097081,0.8785671753318778,0.1214328246681222,9.109249674051874,12.395604395604394,3.64,0.964313532706068,3.0,mature_or_control,0.5542143616632161,unknown
NGC2903,0.2825750328364454,184.6,163.0010139476626,0.0540413907490937,10.646655210876995,0.9234267464940172,0.0765732535059827,9.113763500466842,5.90557939914163,2.33,0.2825750328364455,4.0,mature_or_control,0.7517342285708569,unknown
NGC2998,0.06907977215716155,209.9,203.0053027491536,0.0145050562129409,11.027923516591635,0.7075245007001539,0.292475499299846,8.644960269237012,7.029032258064516,6.2,0.0690797721571615,5.0,mature_or_control,0.6352352489850656,unknown
NGC3109,2.2598432755076505,66.2,36.66567030775728,0.0542912627648367,8.864160893813251,0.1326205548187747,0.8673794451812253,7.679731828746212,3.846153846153846,1.56,0.8901519051983414,9.0,juvenile_forming,0.573996418462721,slowly_rising
NGC3198,-0.025976780268286863,150.1,152.08838113024217,-0.0057153449276559,10.526278135797503,0.569708176180754,0.430291823819246,8.734238971292958,11.35668789808917,3.14,0.0,5.0,true_falsifier_candidate,0.4208310953437688,unknown
