model,variable,n,pearson_r,spearman_rho,linear_slope,linear_intercept,abs_pearson_r,abs_spearman_rho
m3_scalar_q_only,stellar_to_gas_ratio,87,-0.4180715175228736,-0.37706860100605083,-0.002754181524950611,-0.04659385717611101,0.4180715175228736,0.37706860100605083
m3_scalar_q_only,star_frac,87,-0.3865556337272846,-0.37706860100605083,-0.08725448013637127,-0.008541047951240655,0.3865556337272846,0.37706860100605083
m3_scalar_q_only,gas_frac,87,0.38655563372728446,0.37706860100605083,0.08725448013637126,-0.09579552808761192,0.38655563372728446,0.37706860100605083
m3_scalar_q_only,v_flat_obs_km_s,87,-0.4210250832412153,-0.3769956987679521,-0.0003540725413950353,-0.007284539658786517,0.4210250832412153,0.3769956987679521
m3_scalar_q_only,S_star_gas,87,-0.39525604039264456,-0.3732981786635803,-0.39487367912545795,0.3449425891374204,0.39525604039264456,0.3732981786635803
m3_scalar_q_only,T,87,0.3772698054537085,0.33669962711412366,0.00903110667394029,-0.11239741049797988,0.3772698054537085,0.33669962711412366
m3_scalar_q_only,S_struct,87,-0.42233240583894904,-0.33313593572021355,-0.15382324121586063,0.10927820938147129,0.42233240583894904,0.33313593572021355
m3_scalar_q_only,log10_SBeff,87,-0.356668044845084,-0.33038374977033874,-0.030905365835904038,0.008461318010761394,0.356668044845084,0.33038374977033874
m3_scalar_q_only,SBeff,87,-0.3302222352458355,-0.33038374977033874,-3.064157035821523e-05,-0.0449662042310271,0.3302222352458355,0.33038374977033874
m3_scalar_q_only,S_internal,87,-0.344517376649465,-0.3235504209887006,-0.1788073474832244,0.13137103087704993,0.344517376649465,0.3235504209887006
m3_scalar_q_only,Q_eff,87,-0.3951690895963393,-0.2780542038481034,-0.13037249886130595,0.10107179769845714,0.3951690895963393,0.2780542038481034
m3_scalar_q_only,log10_SBdisk,87,-0.2646629702422496,-0.25305854645305786,-0.025176645424027082,0.010865745257960933,0.2646629702422496,0.25305854645305786
m3_scalar_q_only,SBdisk,87,-0.09774689838660701,-0.25305854645305786,-1.9017451455979126e-06,-0.056399328112677505,0.09774689838660701,0.25305854645305786
m3_scalar_q_only,M_star_Msun,87,-0.17011428428281125,-0.16654516293650212,-1.8549204857572282e-13,-0.05242122882068257,0.17011428428281125,0.16654516293650212
m3_scalar_q_only,M_gas_Msun,87,0.0513471344012833,0.145587096192312,2.8951030437689203e-13,-0.062217701428332724,0.0513471344012833,0.145587096192312
m3_scalar_q_only,RHI,87,0.03366583925603308,0.10634807809738357,0.0001399389427483681,-0.06263145895875223,0.03366583925603308,0.10634807809738357
m3_scalar_q_only,H_halo,87,0.10480959642337459,0.10194931251527417,0.14050345521268773,-0.2350978960690521,0.10480959642337459,0.10194931251527417
m3_scalar_q_only,r_over_Rdisk_eval,87,0.0719934488308455,0.10194931251527417,0.002430471268532937,-0.06976863958743525,0.0719934488308455,0.10194931251527417
m3_scalar_q_only,M_baryon_Msun,87,-0.13823653941326336,-0.09387985711161331,-1.300800046420041e-13,-0.053515147134546893,0.13823653941326336,0.09387985711161331
m3_scalar_q_only,log10_M_baryon_Msun,87,-0.13017271137850456,-0.09387985711161331,-0.009766567199907705,0.03901318025905046,0.13017271137850456,0.09387985711161331
m3_scalar_q_only,Reff,87,0.007823380662386258,0.08077752010370934,0.00017905748797385353,-0.0605549698314626,0.007823380662386258,0.08077752010370934
m3_scalar_q_only,Rdisk,87,-0.027214734661770344,-0.01817104843562031,-0.0006949515693163948,-0.057405182235219794,0.027214734661770344,0.01817104843562031
m4a_halo_only,S_star_gas,87,-0.4249079223320385,-0.380005563292039,-0.4338945321462296,0.43287146805671606,0.4249079223320385,0.380005563292039
m4a_halo_only,stellar_to_gas_ratio,87,-0.44400750438241093,-0.36742728001749647,-0.0029897988361787635,0.0024691351704227574,0.44400750438241093,0.36742728001749647
m4a_halo_only,star_frac,87,-0.38309249399072454,-0.36742728001749647,-0.08838713346494183,0.040059899533846824,0.38309249399072454,0.36742728001749647
m4a_halo_only,gas_frac,87,0.38309249399072454,0.36742728001749647,0.08838713346494177,-0.04832723393109495,0.38309249399072454,0.36742728001749647
m4a_halo_only,v_flat_obs_km_s,87,-0.412096218969169,-0.3592440037909163,-0.000354235910804259,0.04067564674523931,0.412096218969169,0.3592440037909163
m4a_halo_only,S_struct,87,-0.42912289563433254,-0.31873518609382706,-0.15975663956250433,0.16373476581818394,0.42912289563433254,0.31873518609382706
m4a_halo_only,T,87,0.35873744274509256,0.3111521468841634,0.008777590384869794,-0.0629840519177325,0.35873744274509256,0.3111521468841634
m4a_halo_only,S_internal,87,-0.33598591841377906,-0.30346671648888535,-0.17823992193232407,0.17870044308037233,0.33598591841377906,0.30346671648888535
m4a_halo_only,log10_SBeff,87,-0.32914415001188047,-0.29035021380903525,-0.02915180878194169,0.05252599471621351,0.32914415001188047,0.29035021380903525
m4a_halo_only,SBeff,87,-0.32899606489115013,-0.29035021380903525,-3.120362770715878e-05,0.0032412725799128785,0.32899606489115013,0.29035021380903525
m4a_halo_only,H_halo,87,0.23041181717871523,0.22891434531788427,0.315718756047711,-0.40580783249706726,0.23041181717871523,0.22891434531788427
m4a_halo_only,r_over_Rdisk_eval,87,0.18531044078686837,0.22891434531788427,0.0063945071890527515,-0.03814368604169786,0.18531044078686837,0.22891434531788427
m4a_halo_only,Q_eff,87,-0.3716130363397372,-0.2024532050566815,-0.12531516849705457,0.1427685745489899,0.3716130363397372,0.2024532050566815
m4a_halo_only,log10_SBdisk,87,-0.21693686522372876,-0.20033991448104085,-0.02109345495457606,0.04734623990958743,0.21693686522372876,0.20033991448104085
m4a_halo_only,SBdisk,87,-0.06780942345485823,-0.20033991448104085,-1.3484941313670453e-06,-0.009443321926089925,0.06780942345485823,0.20033991448104085
m4a_halo_only,M_gas_Msun,87,0.06570830185544277,0.16961771541233744,3.786846805605448e-13,-0.015036326734496213,0.06570830185544277,0.16961771541233744
m4a_halo_only,M_star_Msun,87,-0.1733391228683383,-0.15376904570970326,-1.9319273382615637e-13,-0.0041802636463697815,0.1733391228683383,0.15376904570970326
m4a_halo_only,RHI,87,0.07223320586367796,0.14440373997696143,0.0003068991682458423,-0.018112031964848455,0.07223320586367796,0.14440373997696143
m4a_halo_only,M_baryon_Msun,87,-0.13862273827689553,-0.07791426696799592,-1.3333121667554984e-13,-0.005422896698477473,0.13862273827689553,0.07791426696799592
m4a_halo_only,log10_M_baryon_Msun,87,-0.12063697798668857,-0.07791426696799592,-0.009251499279309792,0.08173964957651653,0.12063697798668857,0.07791426696799592
m4a_halo_only,Reff,87,-0.0004455472449487871,0.07267607432615998,-1.0423209477104782e-05,-0.011786068269900226,0.0004455472449487871,0.07267607432615998
