object_name,taxonomy_stage,quality_quarantined,measurement_limited,a_r_mismatch_status,a_r_mismatch_source,h_i_asymmetry_status,h_i_asymmetry_source,warp___pa_twist_status,warp___pa_twist_source,lopsidedness_status,lopsidedness_source,vrot_sigma_status,vrot_sigma_source,centroid_offset_status,centroid_offset_source,sfe_depletion_status,sfe_depletion_source,burstiness_status,burstiness_source,external_morphology_status,external_morphology_source,existing_tier_a_label_count,missing_target_label_count,context_lead_count,acquisition_priority_score,target_role,acquisition_priority_rank,priority_bin
NGC5585,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,12,minimum_25_pool
UGC00128,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,13,minimum_25_pool
UGC00731,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,14,minimum_25_pool
UGC01230,disturbed_or_measurement_contaminated,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,15,minimum_25_pool
UGC01281,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,16,minimum_25_pool
UGC04278,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,17,minimum_25_pool
UGC04499,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,18,minimum_25_pool
UGC05005,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,19,minimum_25_pool
UGC05721,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,20,minimum_25_pool
UGC06446,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,21,minimum_25_pool
