f_star,f_gas,log10_Sigma_b,RHI_Rd,rotation_coherence,stable_activation_score,phase_region
0.05040654512881465,0.24959345487118545,7.663242860299144,3.6277892632586113,0.85,0.5665467689511473,transition
0.05040654512881465,0.24959345487118545,7.663242860299144,5.127789263258611,0.85,0.5630165969848223,transition
0.05040654512881465,0.24959345487118545,7.663242860299144,6.627789263258611,0.85,0.4666138389772406,transition
0.05040654512881465,0.24959345487118545,7.663242860299144,8.127789263258611,0.85,0.37021108096965893,transition
0.05040654512881465,0.24959345487118545,7.663242860299144,9.627789263258611,0.85,0.3666809090033339,transition
0.05040654512881465,0.24959345487118545,7.963242860299144,3.6277892632586113,0.85,0.5726194812070057,transition
0.05040654512881465,0.24959345487118545,7.963242860299144,5.127789263258611,0.85,0.5690893092406807,transition
0.05040654512881465,0.24959345487118545,7.963242860299144,6.627789263258611,0.85,0.47268655123309894,transition
0.05040654512881465,0.24959345487118545,7.963242860299144,8.127789263258611,0.85,0.37628379322551725,transition
0.05040654512881465,0.24959345487118545,7.963242860299144,9.627789263258611,0.85,0.3727536212591922,transition
0.05040654512881465,0.24959345487118545,8.263242860299144,3.6277892632586113,0.85,0.6663366070006915,activated_mature
0.05040654512881465,0.24959345487118545,8.263242860299144,5.127789263258611,0.85,0.6628064350343665,activated_mature
0.05040654512881465,0.24959345487118545,8.263242860299144,6.627789263258611,0.85,0.5664036770267848,transition
0.05040654512881465,0.24959345487118545,8.263242860299144,8.127789263258611,0.85,0.47000091901920327,transition
0.05040654512881465,0.24959345487118545,8.263242860299144,9.627789263258611,0.85,0.4664707470528782,transition
0.05040654512881465,0.24959345487118545,8.563242860299145,3.6277892632586113,0.85,0.7600537327943776,activated_mature
0.05040654512881465,0.24959345487118545,8.563242860299145,5.127789263258611,0.85,0.7565235608280526,activated_mature
0.05040654512881465,0.24959345487118545,8.563242860299145,6.627789263258611,0.85,0.6601208028204709,activated_mature
0.05040654512881465,0.24959345487118545,8.563242860299145,8.127789263258611,0.85,0.5637180448128893,transition
0.05040654512881465,0.24959345487118545,8.563242860299145,9.627789263258611,0.85,0.5601878728465642,transition
0.05040654512881465,0.24959345487118545,8.863242860299144,3.6277892632586113,0.85,0.766126445050236,activated_mature
0.05040654512881465,0.24959345487118545,8.863242860299144,5.127789263258611,0.85,0.762596273083911,activated_mature
0.05040654512881465,0.24959345487118545,8.863242860299144,6.627789263258611,0.85,0.6661935150763292,activated_mature
0.05040654512881465,0.24959345487118545,8.863242860299144,8.127789263258611,0.85,0.5697907570687476,transition
0.05040654512881465,0.24959345487118545,8.863242860299144,9.627789263258611,0.85,0.5662605851024225,transition
0.05040654512881465,0.42459345487118544,7.663242860299144,3.6277892632586113,0.85,0.5626190149804661,transition
0.05040654512881465,0.42459345487118544,7.663242860299144,5.127789263258611,0.85,0.559088843014141,transition
0.05040654512881465,0.42459345487118544,7.663242860299144,6.627789263258611,0.85,0.4626860850065594,transition
0.05040654512881465,0.42459345487118544,7.663242860299144,8.127789263258611,0.85,0.3662833269989777,transition
0.05040654512881465,0.42459345487118544,7.663242860299144,9.627789263258611,0.85,0.3627531550326527,transition
0.05040654512881465,0.42459345487118544,7.963242860299144,3.6277892632586113,0.85,0.5686917272363244,transition
0.05040654512881465,0.42459345487118544,7.963242860299144,5.127789263258611,0.85,0.5651615552699993,transition
0.05040654512881465,0.42459345487118544,7.963242860299144,6.627789263258611,0.85,0.46875879726241776,transition
0.05040654512881465,0.42459345487118544,7.963242860299144,8.127789263258611,0.85,0.372356039254836,transition
0.05040654512881465,0.42459345487118544,7.963242860299144,9.627789263258611,0.85,0.36882586728851097,transition
0.05040654512881465,0.42459345487118544,8.263242860299144,3.6277892632586113,0.85,0.6624088530300105,activated_mature
0.05040654512881465,0.42459345487118544,8.263242860299144,5.127789263258611,0.85,0.6588786810636854,activated_mature
0.05040654512881465,0.42459345487118544,8.263242860299144,6.627789263258611,0.85,0.5624759230561037,transition
0.05040654512881465,0.42459345487118544,8.263242860299144,8.127789263258611,0.85,0.466073165048522,transition
0.05040654512881465,0.42459345487118544,8.263242860299144,9.627789263258611,0.85,0.46254299308219693,transition
0.05040654512881465,0.42459345487118544,8.563242860299145,3.6277892632586113,0.85,0.7561259788236965,activated_mature
0.05040654512881465,0.42459345487118544,8.563242860299145,5.127789263258611,0.85,0.7525958068573715,activated_mature
0.05040654512881465,0.42459345487118544,8.563242860299145,6.627789263258611,0.85,0.6561930488497898,activated_mature
