galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,_Vflat,_L36,_MHI,_Rdisk,_T,M_star_Msun,M_gas_Msun,M_baryon_Msun,star_frac,gas_frac,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,v_m5_bdvr_km_s,v_flat_obs_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,log10_SBeff,log10_SBdisk,stellar_to_gas_ratio,log10_M_baryon_Msun,RHI_over_Rdisk,Reff_over_Rdisk,log10_M_star_Msun,log10_M_gas_Msun,ugc07125_hard_analog,ugc07125_regime_score,ugc07125_analog_distance,sample_btfr_log10_v_residual,M_part_required_Msun,participation_fraction_required,missing_or_excess_mass_fraction,gas_participation_required,gas_participation_required_clipped_0_1,gas_participation_required_status,log10_participation_fraction_required,bdvr_overpredicts_with_total_mass,bdvr_underpredicts_with_total_mass
NGC1003,1.0,6.0,109.8,4.2,6.82,5.88,1.61,33.33,2.76,140.87,1345.33,11.4,67.0,"Sa96,Br92",109.8,6.82,5.88,1.61,6.0,3410000000.0,7820400000.0,11230400000.0,0.3036401196751674,0.6963598803248326,11.20807453416149,1.3416529489421265,1.0,1.0,1.0,1.2078224110562814,127.09452762483886,109.8,1.1575093590604633,0.0635245111991767,0.0635245111991767,2.1488185146020182,3.1288288267921383,0.4360390772850493,10.050395225068138,20.701863354037265,1.714285714285714,9.532754378992498,9.893228967043225,False,1.5,7.068691849048315,-0.0588490965089123,6256006341.354944,0.5570599748321471,-0.44294002516785297,0.3639208149653399,0.3639208149653399,partial_gas_participation_can_match_observed_vflat,-0.2540980447967069,True,False
NGC4559,1.0,6.0,121.2,5.1,19.377,5.811,2.1,21.16,3.82,211.27,1602.62,9.0,67.0,Ba05,121.2,19.377,5.811,2.1,6.0,9688500000.0,7728630000.000001,17417130000.0,0.5562627137766096,0.4437372862233905,5.947619047619048,1.301798339438632,1.0,1.0,1.0,1.1719433183444343,139.70886203436353,121.2,1.1527133831218113,0.0617213353931001,0.0617213353931001,2.324837832312843,3.2048305582449266,1.253585693712857,10.240976593389751,10.076190476190476,1.8190476190476188,9.98625654359883,9.888102516405858,False,1.5,4.313285263461174,-0.065455484613885,9864867395.914824,0.5663888020537725,-0.43361119794622743,0.022820007674687948,0.022820007674687948,partial_gas_participation_can_match_observed_vflat,-0.2468853415724004,True,False
NGC4157,1.0,3.0,184.7,7.2,105.62,8.226,2.32,24.09,4.44,848.85,23813.87,18.0,82.0,"VS01,SV98",184.7,105.62,8.226,2.32,3.0,52810000000.0,10940580000.000002,63750580000.0,0.828384620186985,0.171615379813015,6.148706896551724,1.3049233583441573,1.0,1.2,1.2,1.4097079381027504,211.93960028992663,184.7,1.1474802397938637,0.0597452154969878,0.0597452154969878,2.9288309529910093,4.376829978482175,4.826983578567132,10.804484140316246,10.383620689655173,1.9137931034482762,10.722716167488494,10.039040346140242,False,1.5,6.201432977633201,-0.0288716300602476,36770816906.060394,0.5767918802630564,-0.42320811973694367,-1.4660267640234432,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.23898086198795124,True,False
UGC03546,1.0,1.0,196.9,7.4,101.336,2.675,3.79,18.37,2.58,2403.42,922.21,28.7,55.0,"No07,No05",196.9,101.336,2.675,3.79,1.0,50668000000.0,3557750000.0,54225750000.0,0.9343900268783742,0.0656099731216258,2.763852242744063,1.21069732641967,1.1363764990649612,1.4,1.5909270986909456,1.7339986571099069,225.7367528112344,196.9,1.146453797923994,0.0593565573555587,0.0593565573555587,3.3808296708221524,2.9648298271886078,14.241585271590193,10.734205567483997,4.846965699208443,0.6807387862796834,10.70473376187689,9.551175427324333,False,0.5,10.518746533554694,0.0171632142499715,31389134290.448788,0.5788603069657642,-0.4211396930342358,-5.418836542632622,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.23742622942223532,True,False
NGC1090,1.0,4.0,164.4,3.7,72.045,8.783,3.53,30.49,6.36,283.68,2055.09,37.0,64.0,Ge04,164.4,72.045,8.783,3.53,4.0,36022500000.0,11681390000.0,47703890000.0,0.7551270976014745,0.2448729023985255,5.219546742209632,1.2885585775508177,1.0,1.1,1.1,1.2760266520988337,187.54039426852225,164.4,1.1407566561345637,0.057193011491666,0.057193011491666,2.4528287182568427,3.312830845991887,3.0837511631749304,10.678553794902832,8.637393767705383,1.8016997167138813,10.556573850030663,10.067494523719215,False,1.5,5.181599267229583,-0.0467242187621157,28169669322.958393,0.5905109483305951,-0.40948905166940486,-0.6722513910623313,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.22877204596666414,True,False
UGC00731,1.0,10.0,73.3,2.3,0.323,1.807,2.3,11.57,1.4,25.63,82.57,12.5,57.0,"Sw09,Sw02",73.3,0.323,1.807,2.3,10.0,161500000.0,2403310000.0,2564810000.0,0.0629676272316467,0.9370323727683532,2.819565217391305,1.2132604417332014,1.0,1.0,1.0,1.0922371192407492,83.55044525791908,73.3,1.139842363682389,0.0568447940412088,0.0568447940412088,1.408748606184244,1.916822284595912,0.0671989880622974,9.409055198294674,5.030434782608697,0.6086956521739131,8.208172526667122,9.380809793528018,True,4.0,3.818442264351378,-0.0677487648190175,1519413644.613062,0.5924078760660875,-0.4075921239339125,0.5650180977955661,0.5650180977955661,partial_gas_participation_can_match_observed_vflat,-0.2273791761648352,True,False
UGC07524,1.0,9.0,79.5,3.6,2.436,1.779,3.46,12.11,3.61,29.71,106.86,4.74,46.0,"Sw09,Sw02",79.5,2.436,1.779,3.46,9.0,1218000000.0,2366070000.0,3584070000.0,0.3398371125563953,0.6601628874436046,2.2716763005780347,1.185861969872389,1.0,1.0,1.0,1.0675716583491848,89.80885136279126,79.5,1.1296710863244184,0.0529520132288566,0.0529520132288566,1.472902651803664,2.028815169846887,0.5147776692997249,9.554376483221354,3.5,1.0433526011560694,9.085647288296856,9.37402758905101,False,1.5,3.934347532241419,-0.0702352221301587,2200738445.199149,0.6140333322728487,-0.3859666677271512,0.4153463106328845,0.4153463106328845,partial_gas_participation_can_match_observed_vflat,-0.2118080529154265,True,False
F574-1,1.0,7.0,97.8,4.1,6.537,3.524,4.46,16.19,5.87,29.98,128.48,96.8,65.0,"dB01,dB96",97.8,6.537,3.524,4.46,7.0,3268500000.0,4686920000.000001,7955420000.000001,0.4108519726174104,0.5891480273825895,2.473094170403588,1.1965202815377989,1.0,1.0,1.0,1.07716679821278,110.11177428999484,97.8,1.1258872626788838,0.0514949059259186,0.0514949059259186,1.476831628512261,2.108835527934606,0.697366287455301,9.90066311281571,3.6300448430493275,1.3161434977578477,9.514348489301938,9.670887540707096,False,0.5,4.001023290822023,-0.0702171850359794,4950892415.934836,0.6223294830360729,-0.377670516963927,0.35895479673961495,0.35895479673961495,partial_gas_participation_can_match_observed_vflat,-0.20597962370367456,True,False
DDO064,1.0,10.0,46.1,3.9,0.157,0.211,0.69,3.49,1.2,17.41,151.65,6.8,60.0,"dB02,Sw02",46.1,0.157,0.211,0.69,10.0,78500000.0,280630000.0,359130000.0,0.2185837997382563,0.7814162002617436,3.3985507246376816,1.2372601544216606,1.0,1.0,1.0,1.113842848849803,51.61208276794634,46.1,1.119567955920745,0.0490504596709066,0.0490504596709066,1.2407987711173312,2.1808424146466825,0.279727755407476,8.555251685522226,5.057971014492754,1.7391304347826089,7.894869656745253,8.448134096264779,True,4.0,4.365672222146655,-0.0473622064943761,228586115.16618925,0.6364996384768448,-0.36350036152315524,0.5348184982581664,0.5348184982581664,partial_gas_participation_can_match_observed_vflat,-0.19620183868362664,True,False
UGC04499,1.0,8.0,72.8,2.4,1.552,1.1,1.73,8.67,2.69,33.79,127.3,12.5,50.0,"Sw09,Sw02",72.8,1.552,1.1,1.73,8.0,776000000.0,1463000000.0000002,2239000000.0,0.3465832961143367,0.6534167038856633,3.283236994219653,1.2328423078983566,1.0,1.0,1.0,1.109865684678054,81.40952833469596,72.8,1.1182627518502193,0.0485438592494414,0.0485438592494414,1.5287881917748962,2.1048284036536558,0.530416951469583,9.35005409357903,5.011560693641618,1.5549132947976878,8.889861721258189,9.165244326125311,False,2.0,4.10021991452648,-0.0553948457141237,1431787796.7919824,0.6394764612737751,-0.3605235387262249,0.44824866492958465,0.44824866492958465,partial_gas_participation_can_match_observed_vflat,-0.19417543699776585,True,False
