model_id,n_rows,organization_balanced_accuracy,organization_auc_like,residual_clean_balanced_accuracy,residual_clean_auc_like,organization_score_rmse,spearman_vs_organization_score,trained_on_endpoint_residuals,trained_on_A_inferred,uses_quality_as_physical_feature,claims_map_level_dynamical_maturity,notes
m51_pseudotime_baseline,85,0.5552721088435374,0.5510204081632653,0.716297786720322,0.8158953722334004,0.41897190364057196,0.14231633040762107,False,False,False,False,M51 pseudotime baseline on H I structural endpoint subset
m54_hi_sfr_augmented,85,0.5552721088435374,0.5510204081632653,0.716297786720322,0.8158953722334004,0.23693365121498403,0.14231633040762107,False,False,False,False,M54 H I + SFR/SFE augmented model restricted to same subset
m56_hi_structural_subset,85,0.5691609977324263,0.7193877551020408,0.7092555331991952,0.8430583501006036,0.21690038618368984,0.471936681649404,False,False,False,False,M56 fixed H I structural endpoint blend; not endpoint-trained
gas_fraction_only,85,0.7414965986394557,0.814625850340136,0.8234406438631792,0.8370221327967807,0.20698143350697162,0.6807113543091654,False,False,False,False,1 - gas fraction from SPARC endpoint masses
stellar_fraction_only,85,0.7414965986394557,0.814625850340136,0.8234406438631792,0.8370221327967807,0.20698143350697162,0.6807113543091654,False,False,False,False,stellar fraction from SPARC endpoint masses
rhi_over_rd_only,85,0.6111111111111112,0.800453514739229,0.5291750503018109,0.448692152917505,0.17176686965742405,0.6370725034199727,False,False,False,False,compact H I extent indicator from R_HI/Rd
quality_only_baseline,85,0.5138888888888888,0.623015873015873,0.5357142857142857,1.0,0.36931631228319256,0.3851845583810815,False,False,True,False,"quality-only baseline; diagnostic separator, not physical model"
