model_id,organization_auc_like,organization_score_rmse,delta_auc_vs_m51,delta_auc_vs_m54,delta_rmse_vs_m51,delta_rmse_vs_m54,comparison_role
m51_pseudotime_baseline,0.5510204081632653,0.41897190364057196,0.0,0.0,0.0,0.18203825242558794,required_M56_comparison
m54_hi_sfr_augmented,0.5510204081632653,0.23693365121498403,0.0,0.0,-0.18203825242558794,0.0,required_M56_comparison
m56_hi_structural_subset,0.7193877551020408,0.21690038618368984,0.16836734693877553,0.16836734693877553,-0.20207151745688212,-0.020033265031294184,required_M56_comparison
gas_fraction_only,0.814625850340136,0.20698143350697162,0.26360544217687076,0.26360544217687076,-0.21199047013360034,-0.029952217708012402,required_M56_comparison
stellar_fraction_only,0.814625850340136,0.20698143350697162,0.26360544217687076,0.26360544217687076,-0.21199047013360034,-0.029952217708012402,required_M56_comparison
rhi_over_rd_only,0.800453514739229,0.17176686965742405,0.24943310657596374,0.24943310657596374,-0.24720503398314791,-0.06516678155755998,required_M56_comparison
quality_only_baseline,0.623015873015873,0.36931631228319256,0.07199546485260777,0.07199546485260777,-0.0496555913573794,0.13238266106820853,required_M56_comparison
