sample,branch,n_galaxies,median_abs_log10_velocity_error,mean_abs_log10_velocity_error,max_abs_log10_velocity_error,frac_within_010_dex,n_within_010_dex,frac_within_015_dex,n_within_015_dex,frac_within_020_dex,n_within_020_dex,median_velocity_ratio_pred_over_obs,worst_galaxy,worst_abs_log10_velocity_error
reference_87,hybrid_no_governor,87,0.041613899469354995,0.04572143797277067,0.23214012979801618,0.9540229885057471,83,0.9885057471264368,86,0.9885057471264368,86,1.0215021046046753,UGC07125,0.23214012979801618
reference_87,hybrid_with_governor,87,0.10191729644432575,0.13648553224444004,0.4197536259596497,0.4942528735632184,43,0.632183908045977,55,0.6896551724137931,60,0.7951843345064479,UGC06667,0.4197536259596497
clean_86_quarantine_UGC07125,hybrid_no_governor,86,0.041029854303494914,0.04355377876550038,0.14457800847229507,0.9651162790697675,83,1.0,86,1.0,86,1.01676791969351,UGC07399,0.14457800847229507
clean_86_quarantine_UGC07125,hybrid_with_governor,86,0.10217889097337263,0.13691860160272887,0.4197536259596497,0.4883720930232558,42,0.627906976744186,54,0.686046511627907,59,0.7925307095150302,UGC06667,0.4197536259596497
