galaxy_name,r_kpc,r_over_Rd,q_eff,a_b_m_s2,a_bdvr_m_s2,a_total_m_s2,v_newton_km_s,v_bdvr_km_s,M_bdvr_eff_Msun,rho_bdvr_eff_Msun_kpc3
NGC2841,19.15949790794979,5.263598326359832,1.160830497830691,4.0652525944761913e-11,8.107803234417726e-11,1.2173055828893918e-10,155.02834199540527,268.26693131101365,213524528542.23914,2614963.6316375853
NGC2841,19.334644351464433,5.3117154811715475,1.1616977542831741,3.9919345066429595e-11,8.040359670935057e-11,1.2032294177578017e-10,154.32456813213219,267.92768232268565,215637444294.09888,2568223.012567747
NGC2841,19.50979079497908,5.359832635983263,1.1625512117220242,3.920582150900977e-11,7.974032389398433e-11,1.189461454029941e-10,153.63029271558142,267.59424262299257,217750692011.81647,2522697.737555922
NGC2841,19.684937238493724,5.407949790794979,1.1633910897048785,3.851125879134342e-11,7.908793086064816e-11,1.1759918965199157e-10,152.94530399152535,267.26645571538916,219864243579.62817,2478346.377305563
NGC2841,19.860083682008366,5.456066945606693,1.1642176042959675,3.7834991007639426e-11,7.844614432097173e-11,1.1628113532861115e-10,152.2693967564015,266.9441705928577,221978071692.43503,2435129.256529738
NGC2841,20.03523012552301,5.504184100418409,1.1650309681217006,3.717638123080129e-11,7.781470031322962e-11,1.149910815440309e-10,151.60237209904952,266.62724150585694,224092149837.12323,2393008.365053125
NGC2841,20.210376569037656,5.552301255230125,1.165831390425364,3.653482001219027e-11,7.71933438018321e-11,1.1372816381402236e-10,150.94403715478433,266.3155277417522,226206452274.2739,2351947.2741594594
NGC2841,20.3855230125523,5.600418410041841,1.1666190771209513,3.5909723971224976e-11,7.658182829740469e-11,1.1249155226862966e-10,150.29420487111602,266.0088934150715,228320954020.25488,2311911.05782976
NGC2841,20.560669456066943,5.648535564853556,1.1673942308461356,3.5300534468722186e-11,7.597991549623087e-11,1.1128044996495306e-10,149.65269378446976,265.7072072679775,230435630829.686,2272866.218547247
NGC2841,20.73581589958159,5.696652719665272,1.1681570510143993,3.470671635834362e-11,7.538737493791237e-11,1.1009409129625598e-10,149.0193278073005,265.41034248038113,232550459178.27115,2234780.617366695
NGC2841,20.910962343096234,5.7447698744769875,1.1689077338663347,3.4127756810937706e-11,7.480398368018128e-11,1.0893174049111899e-10,148.39393602503546,265.1181764891629,234665416245.9902,2197623.4079693486
NGC2841,21.08610878661088,5.7928870292887025,1.169646472520129,3.356316420695265e-11,7.42295259898666e-11,1.0779269019681924e-10,147.7763525023128,264.830590815998,236780479900.64218,2161364.974444076
