formation_index,formation_label,source_galaxy_name,seed_galaxy_name,initialization_mode,initialization_class,step,time_gyr,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,disk_compaction_factor,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,organization_score,v_newton_km_s,v_bdvr_full_km_s,v_bdvr_governed_km_s,A_gov,A_star,A_gas,A_sigma,A_HI,limiting_gate,alpha_BTFR,BTFR_offset_dex,c_coherence,c_fstar,c_sigma,c_org,claim_boundary
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,0,0.0,12011621358.556293,548522319.0462655,11463099039.510027,1.2172166146875782,1.0,0.04566596820466157,0.9543340317953384,1290286108.7880177,9.110686021687313,0.3625011856912357,117.60530474014875,123.44308179965255,117.87819241913942,0.04566596820466157,0.13047419487046163,0.04566596820466157,1,0.6875999448115268,A_gas,1.0046461216970006,-0.1443674207972383,0.40424639874359447,0.0,0.8442744086749251,0.3625011856912357,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,1,0.1,12006616516.323563,597102724.0648413,11409513792.258722,1.2124453220973506,0.9960801614662051,0.04973113976390034,0.9502688602360997,1299919464.958231,9.113916446916326,0.3648605065825204,117.59305227295746,123.45435345985506,117.89142740489386,0.04973113976390034,0.14208897075400098,0.04973113976390034,1,0.6895273196703697,A_gas,1.005081144978223,-0.1442645452121032,0.4054064545430417,0.0,0.8455665787665303,0.3648605065825204,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,2,0.2,12001611674.09083,644796064.6826257,11356815609.408203,1.207768507430451,0.9922379409358026,0.05372578968494842,0.9462742103150515,1309460190.6465313,9.117092299824755,0.36721955836821313,117.5807959746751,123.46520150672,117.90440580565203,0.05372578968494842,0.15350225624270977,0.05372578968494842,1,0.6914318134609917,A_gas,1.005512042221426,-0.14416259765346728,0.4065587894859296,0.0,0.846836919929902,0.36721955836821313,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,3,0.30000000000000004,11996606831.858099,691618076.3105783,11304988755.547522,1.2031842998986544,0.9884718014693502,0.05765114136056561,0.9423488586394344,1318907217.7239592,9.120214244941515,0.3695780721271533,117.5685358425055,123.47563106485643,117.91712513292376,0.05765114136056561,0.16471754674447317,0.05765114136056561,1,0.6933135447850657,A_gas,1.0059387670253246,-0.1440615869544417,0.40770341592995807,0.0,0.8480856979766059,0.3695780721271533,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,4,0.4,11991601989.625366,737584215.3687892,11254017774.256577,1.1986908657578246,0.9847802365608453,0.06150839696038246,0.9384916030396175,1328259544.4098306,9.123282945281666,0.3719357793069171,117.55627187364912,123.48564726483447,117.92958314796506,0.06150839696038246,0.17573827702966419,0.06150839696038246,1,0.6951726363135807,A_gas,1.0063612772219945,-0.14396152103081583,0.4088403461315083,0.0,0.8493131781126664,0.3719357793069171,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,5,0.5,11986597147.392635,782709664.2307217,11203887483.161913,1.194286407574392,0.981161769535103,0.06529873779907414,0.9347012622009259,1337516234.556029,9.126299062121536,0.37429241190786977,117.5440040653033,123.49525523991767,117.94177785258067,0.06529873779907414,0.18656782228306898,0.06529873779907414,1,0.69700921463325,A_gas,1.0067795347273854,-0.14386240691559538,0.40996959226937596,0.0,0.8505196248486143,0.37429241190786977,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,6,0.6000000000000001,11981592305.159903,827009336.0798733,11154582969.08003,1.189969163506356,0.9776149529570661,0.06902332469814715,0.9309766753018529,1346676416.8709457,9.129263254780486,0.3766477026668391,117.53173241466209,123.50446012292134,117.95370748012711,0.06902332469814715,0.1972094991375633,0.06902332469814715,1,0.6988234100944084,A_gas,1.007193505394848,-0.14376425079276034,0.4110911664693198,0.0,0.8517053019121945,0.3766477026668391,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,7,0.7000000000000001,11976587462.927172,870497879.6804062,11106089583.246765,1.185737406598526,0.9741383680528121,0.07268329834145007,0.92731670165855,1355739284.086436,9.132176180409338,0.3790013852402845,117.51945691891636,123.5132670431955,117.96537048671775,0.07268329834145007,0.20766656668985736,0.07268329834145007,1,0.7006153566605045,A_gas,1.007603158871704,-0.1436670580302173,0.41220508082939267,0.0,0.8528704721637353,0.3790013852402845,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,8,0.8,11971582620.694439,913189684.0632685,11058392936.63117,1.1815894440917143,0.9707306241420239,0.07627977962451692,0.9237202203754831,1364704092.0711486,9.13503849378546,0.38135319438683535,117.50717757525376,123.52168112373059,117.97676554263003,0.07627977962451692,0.21794222749861977,0.07627977962451692,1,0.7023851917592813,A_gas,1.0080084684588804,-0.14357083321197495,0.413311347446015,0.0,0.8540153975141841,0.38135319438683535,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,9,0.9,11966577778.461706,955098883.1293051,11011478895.332401,1.1775236167456111,0.9673903580817002,0.07981386999785016,0.9201861300021499,1373570158.8935618,9.13785084711454,0.38370286614907423,117.49489438085871,123.52970747838393,117.98789152391532,0.07981386999785016,0.22803962856528617,0.07981386999785016,1,0.7041330561357376,A_gas,1.0084094109736186,-0.14347558016951822,0.4144099784407579,0.0,0.8551403388458162,0.38370286614907423,response_organization_visualization_not_model_promotion
