variable,corr_with_signed_residual,corr_with_abs_residual,abs_corr_signed
Inc_deg,-0.6680007552672756,0.5710711916105956,0.6680007552672756
stellar_to_gas_ratio,-0.606368247443264,0.6211616673073693,0.606368247443264
T,0.5769032345085852,-0.5665772182867248,0.5769032345085852
early_type_proxy,-0.5769032345085852,0.5665772182867248,0.5769032345085852
log10_stellar_to_gas_ratio,-0.5403859254727794,0.4819215753278323,0.5403859254727794
log10_SBeff,-0.499576179242482,0.4989511422605462,0.499576179242482
SBeff_Lsun_pc2,-0.49549402835208955,0.5503371934166325,0.49549402835208955
star_frac,-0.4729289486224333,0.4367810715707068,0.4729289486224333
gas_frac,0.4729289486224331,-0.4367810715707068,0.4729289486224331
log10_SBdisk,-0.41096681647485633,0.530875906175211,0.41096681647485633
SBdisk_Lsun_pc2,-0.4108972890868601,0.7218120977196548,0.4108972890868601
compact_outer_proxy,-0.3836113141964471,0.08481691837338973,0.3836113141964471
Reff_over_Rdisk,0.3746785341429391,-0.3011669868774096,0.3746785341429391
D_Mpc,-0.33881234169351027,0.3902512355514727,0.33881234169351027
mass_times_compactness,-0.3159848386871933,0.4345868921015561,0.3159848386871933
outer_extent_proxy,0.29947579988140227,0.07549198052289934,0.29947579988140227
RHI_over_Rdisk,0.29947579988140227,0.07549198052289934,0.29947579988140227
q_eff_at_r_eval,-0.27899468793317495,0.5536977304649868,0.27899468793317495
log10_sigma_proxy,-0.27242477257212633,0.555424754306432,0.27242477257212633
r_eval_multiple_actual,-0.2684728633749182,0.5506570452571175,0.2684728633749182
sigma_proxy_Msun_kpc2,-0.24987001133843587,0.5451157649422826,0.24987001133843587
MHI_1e9_Msun,0.19860350570377555,0.022402439723018273,0.19860350570377555
M_gas_1e9_Msun,0.19860350570377552,0.02240243972301833,0.19860350570377552
L36_1e9_Lsun,-0.19650551672307823,0.3198627423241022,0.19650551672307823
M_star_1e9_Msun,-0.19650551672307823,0.3198627423241022,0.19650551672307823
Rdisk_kpc,-0.16815221621846166,0.14938635756388716,0.16815221621846166
M_baryon_Msun,-0.1510394216804411,0.29103320904988267,0.1510394216804411
RHI_kpc,-0.05597731158794228,0.2696352595861684,0.05597731158794228
Reff_kpc,0.024181296132432476,0.020677706204452695,0.024181296132432476
