object_name,source_type,m40_stratum,taxonomy_stage,phase_region_m42,f_star,f_gas,M_star_Msun,M_gas_Msun,M_baryon_Msun,R_d_star_kpc,R_HI_kpc,R_HI_over_Rd,log10_Sigma_b,Sigma_baryon_1Rd,Sigma_baryon_2p2Rd,baryonic_concentration_2p2Rd,composition_maturity,radial_distribution_maturity,dynamical_settling_maturity,star_formation_maturity,shape_symmetry_maturity,baryonic_maturity_score,quality_reliability_separate,maturity_inputs_baryon_only,quarantine_flag,testability_class,measurement_uncertainty_penalty_separate
UGC01230,direct_sparc_m36_m41,measurement_contaminated_candidates,disturbed_or_measurement_contaminated,measurement_limited,0.3082050493856122,0.6917949506143878,3810000000.0,8551900000.0,12361900000.0,4.34,26.29,6.057603686635945,8.01892589871753,29842145.087274816,17458695.249644607,0.4044839109501572,0.07880418261935619,0.29537408178303265,0.52,0.5,0.7802423209976004,0.43488411707999786,True,True,False,measurement_limited,0.4857142857142856
UGC10310,direct_sparc_m36_m41,measurement_contaminated_candidates,disturbed_or_measurement_contaminated,measurement_limited,0.3536921314166375,0.6463078685833624,870500000.0,1590680000.0,2461180000.0,1.8,9.58,5.322222222222222,8.082418498709004,39802613.31160059,22763792.314656492,0.45566060446301443,0.22344230580462116,0.37461640239580585,0.52,0.5,0.9479086925855759,0.5131934801572006,True,True,False,measurement_limited,0.4857142857142856
NGC3741,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.0546746856205576,0.9453253143794424,14000000.0,242060000.0,256060000.0,0.2,4.2,21.0,9.008101881468578,47318940.70921934,30841217.07443406,0.07325630217696495,9.907679165225541e-05,0.3332664200050156,1.0,0.5,1.3470879927405862e-14,0.3666730993593363,True,True,False,testable_direct,0.0
F583-1,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,pre_activation,0.1484680387161279,0.8515319612838721,493000000.0,2827580000.0,3320580000.0,2.36,15.65,6.63135593220339,7.97721007350196,19747380.342285715,12521818.139426004,0.3193542384772779,0.0012070595997262844,0.178244085091432,1.0,0.5,0.49801852762596077,0.43549393446342377,True,True,False,testable_direct,0.0
UGC00731,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.0629676272316467,0.9370323727683532,161500000.0,2403310000.0,2564810000.0,2.3,11.57,5.030434782608697,7.887419657901373,20023585.82189184,12572862.21194194,0.3943028027995183,0.00012359570691146003,0.3350207235165528,1.0,0.5,0.9720686475031909,0.561442593345331,True,True,False,testable_direct,0.0
UGC08550,direct_sparc_m36_m41,measurement_contaminated_candidates,juvenile_forming,measurement_limited,0.2739128786442734,0.7260871213557266,144500000.0,383040000.0,527540000.0,0.45,5.59,12.42222222222222,8.617650499095362,74991364.63934116,42710265.11436792,0.2492855666667151,0.03314475070019668,0.3276422559837497,0.84,0.5,2.5573979453404762e-06,0.34015791281637836,True,True,False,measurement_limited,0.4285714285714285
NGC3109,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.1326205548187747,0.8673794451812253,97000000.0,634410000.0,731410000.0,1.56,6.0,3.846153846153846,7.679731828746212,18623860.949920587,10464883.923880737,0.5294414664840776,0.0007913648699381791,0.4452503865380903,1.0,0.5,0.9979367593682973,0.5887957021552651,True,True,False,testable_direct,0.0
F563-1,direct_sparc_m36_m41,measurement_contaminated_candidates,juvenile_forming,measurement_limited,0.1827172347575612,0.8172827652424388,951500000.0,4256000000.0,5207500000.0,3.52,23.47,6.667613636363636,7.825364083305407,14705404.214299943,9144698.819557171,0.33084203938003937,0.0030032625697791193,0.16027033858297637,0.52,0.5,0.4778897770035106,0.3322326756312532,True,True,False,measurement_limited,0.6857142857142857
UGCA442,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.1667500416875104,0.8332499583124896,70000000.0,349790000.00000006,419790000.00000006,1.18,4.37,3.703389830508475,7.681088205881671,19807963.49662731,10920592.2081365,0.5507738980884054,0.0019639334466454578,0.5024422670130589,1.0,0.5,0.9984968159506866,0.6005806032820782,True,True,False,testable_direct,0.0
UGC06446,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,pre_activation,0.2121929323430996,0.7878070676569003,494000000.0,1834070000.0,2328070000.0,1.49,10.33,6.932885906040268,8.222443629281738,37263503.429598965,22842314.267405514,0.3312164049686656,0.006567520885839078,0.23110119445335173,1.0,0.5,0.3367094941461767,0.4148756418970735,True,True,False,testable_direct,0.0
