mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,n,repeat,uses_angular_momentum
0.01028162068690869,0.10139832684472012,0.9615389665098286,0.9075692709344508,0.9601473988707423,0.9615394643770793,-1.5840620414809714,1.8551964678133226,0.51774628486658,0.3584452294863106,87,0,True
0.010691453315452445,0.10339948411598796,0.958509088880713,0.9243693915218516,0.9521661420557878,0.9596052806593877,-1.3884526915747997,1.704183414193743,0.5168249615170603,0.3585649641040313,87,1,True
0.011524368984020485,0.10735161379327507,0.9590384048520644,0.9184542855087862,0.9550732905003181,0.9557037099708103,-1.3343402262166122,1.813920122676191,0.5126633743150066,0.3577389558757112,87,2,True
0.014405526931972192,0.12002302667393533,0.9416439868969602,0.9051142755033474,0.9362660550726853,0.9424657054954466,-1.425813893478353,1.7581677487879013,0.5244673167262063,0.3550219878331281,87,3,True
0.009317263502675055,0.0965259732024239,0.965408448783157,0.9280790047739068,0.9613695832363974,0.96590498539917,-1.3403194204073963,1.779548865058907,0.515618673301874,0.35900871035145565,87,4,True
0.01191624880360755,0.10916157200960212,0.9541924258729666,0.908440847649991,0.9507668877347543,0.9546502371551039,-1.5626915503912606,1.8844357107030425,0.5290695075897911,0.35972626819594566,87,5,True
0.00964637360531446,0.09821595392457612,0.9660381522663166,0.9294298595804444,0.95985464847099,0.9642958666358641,-1.3130338608425096,1.759490801384161,0.5116082605301185,0.35757438730782376,87,6,True
0.012837643594308874,0.11330332561010234,0.9525497211342895,0.9101578552891179,0.9494199377181144,0.9513455176372859,-1.5152897899257403,1.662778625824895,0.5134505269226173,0.3581469256014277,87,7,True
0.010355309319123679,0.10176104028125733,0.9632546803480025,0.9140398729334162,0.95642170508058,0.961850953057685,-1.5529197485209283,1.856633422947993,0.522075901734306,0.3584349796043339,87,8,True
0.008687332767303381,0.09320586230116312,0.9700354004637645,0.9303388182005159,0.9651013672029426,0.9674344301878918,-1.3365901596659457,1.671254286184161,0.5110442179563567,0.35598321347531703,87,9,True
0.01179412723290142,0.10860076994617221,0.9591022878141241,0.9142238521227875,0.9543776498377301,0.9571981796233117,-1.5632667856391915,1.6494193831477033,0.5195222320321924,0.3626440184127491,87,10,True
0.00975612520242062,0.09877309958901066,0.9571310421277114,0.922433783248524,0.9526376267323665,0.9622904468730401,-1.3098991421228454,1.6930641589845346,0.5036858283741158,0.3550445339335752,87,11,True
0.011507716708163754,0.10727402625129605,0.9573865739759502,0.9083159382397125,0.9517376649639061,0.9568798791349985,-1.621895772861165,1.6898502902197954,0.507632126694181,0.35951966261568685,87,12,True
0.010454744178589733,0.10224844340423836,0.9599418924583368,0.9200100150834326,0.9562952706492978,0.9605426960877061,-1.397865826780652,1.7201447659998128,0.5151443260414004,0.3586149458320668,87,13,True
0.010968066173549998,0.10472853562210252,0.9603343163681319,0.9167952998211818,0.9564941190848152,0.9579596727778797,-1.4559245642972174,1.7409246508841787,0.516372771083551,0.3575561114270034,87,14,True
0.010825143899114369,0.10404395176613761,0.9542380565601521,0.9192390657518216,0.9494620208924732,0.9582972273783843,-1.412072456829826,1.7060022476330174,0.5171132432334878,0.3574382662684999,87,15,True
0.01029552287953281,0.10146685606410012,0.9539916508493504,0.9093423950607139,0.9533652115015193,0.9611546638098291,-1.5926200844902287,1.813774321053249,0.5357658318076939,0.35680227383322244,87,16,True
0.01157408970852239,0.1075829433903088,0.9529421450440846,0.908302816341585,0.9486129665030677,0.9552706949923064,-1.5695248816779412,1.5999375598769878,0.5055315773135053,0.35679561215637967,87,17,True
0.01036004921333139,0.10178432695327602,0.9611374164625963,0.9105967877673186,0.9584159827345261,0.9601617902300558,-1.5815690802924258,1.8752435975567883,0.5268837864244658,0.35669722900227613,87,18,True
0.01093204843372748,0.10455643659635441,0.9630630314618235,0.9219012133452863,0.9579244794964622,0.9587305533081137,-1.3824461583844814,1.7203926088935384,0.510768369155197,0.35682263392761526,87,19,True
0.012482841940488818,0.11172663935019624,0.9492643116569349,0.9065924693685161,0.9421899587575273,0.9506721074543248,-1.4924953965873788,1.741411444256559,0.5211091635249588,0.3555317697046717,87,20,True
