mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,n,repeat,uses_angular_momentum
0.10523717812551647,0.3244028022775335,0.42484907610911105,0.39824586106664556,0.4320654339850938,0.4221618253351136,-0.17888769748435318,1.0018492771498244,0.2918288183192115,0.27426298421327844,87,0,False
0.10249387671742256,0.32014664876806465,0.4334458975748551,0.4010785449519664,0.4437101010340127,0.44090452203406977,-0.3288936226858194,0.9815779720265903,0.3057463086313058,0.2742536264728074,87,1,False
0.10614884795384331,0.32580492315777443,0.37532152823799325,0.34705531661459466,0.3832271950756055,0.40146558615650624,-0.33144932149182493,1.0461723899257493,0.29317811750403305,0.26210487700398144,87,2,False
0.10659517247827549,0.32648916134885014,0.4293573880030363,0.344597174349727,0.4369542924763172,0.4151769498763104,-0.5459395323567898,0.958601361269117,0.33288112126925445,0.27163356944403083,87,3,False
0.10932133647329229,0.3306377723027003,0.3866014341102434,0.3369515204790518,0.3968291006352668,0.38741291081507795,-0.37981148139029386,0.9764549247274281,0.2885856778137478,0.26097479898210424,87,4,False
0.1055485409457656,0.32488234939092275,0.42488558065885945,0.38520371612746984,0.4272150793562958,0.4309920352331879,-0.4377349886753803,1.0769894981821309,0.3239829548940511,0.27787086933579036,87,5,False
0.10344610543103698,0.3216303863614832,0.42097959383578254,0.382243353185954,0.432437663348855,0.42703547314807244,-0.28056183669601586,1.0027004471943823,0.29781930489973124,0.26548342190887336,87,6,False
0.11675975868680992,0.34170127112261367,0.35151143566461085,0.33549554389064795,0.35372932196346596,0.3754741986862636,-0.3309869180298882,1.0490200241946956,0.3151613160306995,0.2803403282773291,87,7,False
0.11104988720385386,0.33324148481822286,0.39683183417722756,0.3523184566370262,0.39917603856796097,0.39556182606276513,-0.36877798453909233,1.0820436736462629,0.30834636737633175,0.2769523159132862,87,8,False
0.09957135815161991,0.31554929591368114,0.43610160356904987,0.40258729875013305,0.4479790933326362,0.4475544499869433,-0.3936676362267172,1.046452394663004,0.30280165214231025,0.26692786874402324,87,9,False
