mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,n_oob,bootstrap
0.007532428004514833,0.08678956161033902,0.977158556387677,0.9607903452165836,0.973339720643406,0.9691147493176377,-0.4140010210022918,1.3952158444703804,0.4416483597175996,0.3437392146041118,32,0
0.01023577673184457,0.10117201555689483,0.9593844674557928,0.8574019238850014,0.9510797135366601,0.9656031729565038,-1.5802424865645193,1.871228408624174,0.643619300959078,0.371570322041084,25,1
0.011403228548724366,0.10678590051464831,0.9586281368992888,0.9110182574704573,0.9470648040470698,0.961804191078088,-1.346984778611854,1.6348388333573878,0.5746699170064378,0.35571134309389174,32,2
0.009912176603966781,0.0995599146442321,0.9414004320654549,0.8791643893008476,0.9408689315928802,0.9639690471010307,-1.5468255487395284,1.7803595428916328,0.6053348826135333,0.3655487816448398,30,3
0.01441030724174343,0.12004293915821718,0.9403213066951366,0.8451071685226347,0.9225166694108099,0.9199433674589362,-1.4587763646959924,0.9049506352254144,0.46140719737264646,0.2722494053491939,29,4
0.023181642321936313,0.1522551881609829,0.9306931318827077,0.8564303759973781,0.9020313712961411,0.9187740180718343,-1.7135619536699418,1.1967577237560778,0.5345369921451475,0.3313191349292956,32,5
0.010645775065130062,0.10317836529588004,0.9444789751099911,0.9408617829943798,0.9420639043316161,0.9545036317188439,-0.6255083107848121,1.6761618822046267,0.47897295953115954,0.33776988833725663,34,6
0.0076613338150884605,0.08752904555111098,0.9544798361580049,0.93799671639826,0.9552041359419915,0.9590341951864156,-0.1325480738843619,1.7008383694287221,0.39455736865950924,0.30707373394060217,30,7
0.011611502520087389,0.10775668202059392,0.9610739668887038,0.9578260739639671,0.9563777787031633,0.9564155461443907,-0.37887498099375155,1.162462540945189,0.42620663898782846,0.3479260921732459,32,8
0.012994567671002653,0.11399371768217165,0.9876852181676722,0.9388347781171554,0.965674181526614,0.9718174794433471,-1.5998597471365217,1.8482389373184411,0.7125562800155457,0.4142310471679895,31,9
0.011518950362608938,0.10732637309910802,0.9323992340206548,0.9299715017071558,0.9385395551061371,0.9610653302713523,-0.7378731506175217,1.242047348922997,0.47508395093407524,0.35263988893413195,35,10
0.014449841719145914,0.12020749443834987,0.9475386459890783,0.8911378031029101,0.9374977714516479,0.9609528602008135,-1.3977697551143828,1.2204821326635087,0.5296235854083714,0.35324613417138784,31,11
0.010745720888708824,0.1036615690056292,0.9151282255901263,0.8949799433427653,0.9111748040649287,0.9405684009302946,-0.8876405300499489,1.2766463343453727,0.46938708912864885,0.3010321703513371,31,12
0.011284121643931867,0.1062267463680022,0.9494968870479662,0.9454453080827138,0.9451505705546291,0.9497642921657931,-0.43733028378159655,1.7662812660523737,0.45220412219151546,0.3206902345767938,31,13
0.011421215294266993,0.10687008605904176,0.9442545360952597,0.9372059839940685,0.9456348270549251,0.9554976152376288,-0.5259213304523769,1.6811474168109062,0.49324626209246925,0.35947616418372835,33,14
0.020233720358898272,0.14224528237835612,0.944999292016628,0.9193466741842472,0.9472939112394344,0.9209054578864806,-0.2534992160360321,1.4738989047615356,0.43383638131684144,0.3582135844623323,31,15
0.014489485352305171,0.12037227817194943,0.941641445007459,0.9294257283247175,0.9381234639232949,0.9486668727002798,-0.3675432597941497,1.8972826818259338,0.48334077463881986,0.357698070458982,32,16
0.00883833014186457,0.09401239355459774,0.9587120057311652,0.9362048589891362,0.9622236931040078,0.9636439121240141,-0.6457325819852853,1.4066788268657102,0.47695125693930485,0.35108718698187624,30,17
0.012664283809890974,0.11253570015728775,0.9408727221556574,0.885233828515968,0.9330583034738082,0.9559822560921749,-1.5218354207276445,1.306244054507316,0.6340476663503639,0.3775548991949978,30,18
0.019335347778569534,0.1390516011363031,0.9244173391737727,0.8867369801142679,0.9209405150150842,0.9387006759297712,-1.3144045821844204,1.1722952598345768,0.4882553472551403,0.3509298134303778,34,19
0.021122396222146227,0.14533546099333852,0.8952437662403463,0.9066027772495304,0.8957110390592036,0.919548156897988,-0.6791323282301904,1.6848173219786793,0.5166686516553815,0.3694972954121989,33,20
0.009205419840113577,0.09594487917608514,0.9491129825750559,0.8799244641187525,0.9570485957756392,0.9625711125391211,-1.4970882250379882,1.2801485867995568,0.5343855460038938,0.3464283321684379,35,21
0.024333897420357613,0.15599326081711867,0.8787442028778489,0.8875343131025738,0.8777665152969683,0.8885641561918327,-0.3172129432097572,1.683044923968637,0.4709179441368501,0.33824078236769384,35,22
0.008734580409879775,0.09345897714976222,0.9664070617117151,0.903700593257562,0.9568285189357437,0.9744583293389606,-1.5378307110541345,1.7679119245762938,0.6177783561013283,0.36179275966917135,33,23
0.007204991064483768,0.08488221877686615,0.9733509397287341,0.9168561546893318,0.9662246498280724,0.972841820858114,-1.2224308866523048,1.2722866578868528,0.5187878821648472,0.3347003710652431,31,24
0.01300455615463863,0.11403752081941552,0.9375720072064131,0.8878169001576949,0.9328850579299187,0.9645561421953157,-1.609974342052159,1.1475188917869026,0.5764160208372315,0.3787325060480035,30,25
0.011335732662280365,0.1064693977736343,0.9698793479206724,0.9361196594859958,0.9585036146529234,0.9636170977006094,-0.44239962034729335,1.8231534499942137,0.5061430349955548,0.3779067131876942,35,26
