model_label,placement,activation_name,disorder_name,alpha,beta,gamma,floor,median_abs_log10_error,mean_abs_log10_error,max_abs_log10_error,frac_within_010_dex,frac_within_015_dex,frac_within_020_dex,n_above_020_dex,n_above_030_dex,delta_median_abs_vs_frozen_m4c,delta_frac010_vs_frozen_m4c,target_gate,target_new_pred_km_s,target_new_log10_error,target_new_abs_log10_error,hard_analog_median_abs_log10_error,hard_analog_mean_abs_log10_error,objective
star_frac__gas__low_v_for_mass_symptom,source,star_frac,low_v_for_mass_symptom,1.0,0.25,0.5,0.2,0.04639569618753346,0.05363159970373568,0.1743744373881394,0.8390804597701149,0.9885057471264368,1.0,0,0,0.004781796718178563,-0.11494252873563215,0.36309280977636377,86.3758109297116,0.12214454199500313,0.12214454199500313,0.08477822398238583,0.08046640197692223,0.12490541092384896
stellar_to_gas__gas__low_v_for_mass_symptom,source,stellar_to_gas,low_v_for_mass_symptom,1.0,0.5,0.5,0.3,0.05006609933022044,0.05956643219760114,0.19603954997461667,0.8045977011494253,0.9655172413793104,1.0,0,0,0.008452199860865539,-0.14942528735632177,0.3326394287227128,84.50475696494452,0.11263356132992776,0.11263356132992776,0.08985603303186428,0.0865943926944963,0.12598683499264599
stellar_to_gas__gas__hi_extent,source,stellar_to_gas,hi_extent,1.0,0.5,0.0,0.3,0.04451134409299869,0.05524611254460455,0.19603954997461667,0.8160919540229885,0.9770114942528736,1.0,0,0,0.0028974446236437953,-0.13793103448275856,0.36856650174671235,86.6995195197695,0.12376909493355204,0.12376909493355204,0.08985603303186428,0.08267560783953701,0.1259998465572364
stellar_to_gas__gas__low_sigma_baryon,source,stellar_to_gas,low_sigma_baryon,1.0,0.5,0.0,0.3,0.04451134409299869,0.05524611254460455,0.19603954997461667,0.8160919540229885,0.9770114942528736,1.0,0,0,0.0028974446236437953,-0.13793103448275856,0.36856650174671235,86.6995195197695,0.12376909493355204,0.12376909493355204,0.08985603303186428,0.08267560783953701,0.1259998465572364
stellar_to_gas__gas__hi_plus_low_sigma,source,stellar_to_gas,hi_plus_low_sigma,1.0,0.5,0.0,0.3,0.04451134409299869,0.05524611254460455,0.19603954997461667,0.8160919540229885,0.9770114942528736,1.0,0,0,0.0028974446236437953,-0.13793103448275856,0.36856650174671235,86.6995195197695,0.12376909493355204,0.12376909493355204,0.08985603303186428,0.08267560783953701,0.1259998465572364
stellar_to_gas__gas__low_v_for_mass_symptom,source,stellar_to_gas,low_v_for_mass_symptom,1.0,0.5,0.0,0.3,0.04451134409299869,0.05524611254460455,0.19603954997461667,0.8160919540229885,0.9770114942528736,1.0,0,0,0.0028974446236437953,-0.13793103448275856,0.36856650174671235,86.6995195197695,0.12376909493355204,0.12376909493355204,0.08985603303186428,0.08267560783953701,0.1259998465572364
star_frac__gas__low_v_for_mass_symptom,source,star_frac,low_v_for_mass_symptom,1.0,0.5,1.0,0.2,0.058069999284603574,0.06800614956540123,0.19461013675368644,0.7586206896551724,0.9540229885057471,1.0,0,0,0.016456099815248676,-0.1954022988505747,0.2908021399773679,81.71224168659299,0.09803952932769495,0.09803952932769495,0.09913123518360134,0.09709367424803769,0.1265507776238197
mixed_star_org__gas__hi_extent,source,mixed_star_org,hi_extent,1.0,0.25,0.5,0.2,0.04220444952028141,0.05480858950848844,0.19296745621246802,0.8390804597701149,0.9885057471264368,1.0,0,0,0.0005905500509265152,-0.11494252873563215,0.3962992061419193,88.2863426525401,0.13164593038943065,0.13164593038943065,0.08867929627741401,0.07902402857341793,0.12732416033624355
star_frac__gas__low_v_for_mass_symptom,source,star_frac,low_v_for_mass_symptom,1.0,0.5,0.5,0.2,0.051721895075967944,0.059988201215512064,0.19461013675368644,0.8160919540229885,0.9655172413793104,1.0,0,0,0.010107995606613046,-0.13793103448275856,0.3324449946705791,84.49240559914858,0.11257007943547095,0.11257007943547095,0.09428932059442606,0.08904096538233866,0.12746794846907206
star_frac__gas__low_v_for_mass_symptom,source,star_frac,low_v_for_mass_symptom,1.0,0.25,0.25,0.2,0.040276755675898175,0.04929170561029886,0.1743744373881394,0.8620689655172413,0.9885057471264368,1.0,0,0,-0.001337143793456723,-0.09195402298850575,0.42726487104756844,89.96260495633791,0.1398144266406537,0.1398144266406537,0.07174664775971099,0.07142979444683059,0.12762141273503896
star_frac__gas__low_v_for_mass_symptom,source,star_frac,low_v_for_mass_symptom,1.0,0.5,0.25,0.2,0.04586680933337405,0.05612330746857235,0.19461013675368644,0.8275862068965517,0.9885057471264368,1.0,0,0,0.004252909864019154,-0.12643678160919536,0.3718514786900458,86.89206206528594,0.12473250800436282,0.12473250800436282,0.08641381535960281,0.08284328638515526,0.1276940770109241
stellar_to_gas__gas__low_v_for_mass_symptom,source,stellar_to_gas,low_v_for_mass_symptom,1.0,0.25,1.0,0.3,0.055110785796666686,0.06118580233154174,0.1770378849115709,0.7931034482758621,0.9655172413793104,1.0,0,0,0.013496886327311788,-0.16091954022988497,0.3249293898934406,84.01077175163002,0.11008737857245907,0.11008737857245907,0.08985603303186428,0.08737495834255077,0.12785826357405333
mixed_star_org__gas__hi_extent,source,mixed_star_org,hi_extent,1.0,0.25,0.0,0.0,0.04297763850423543,0.054773728617689824,0.19598804903758582,0.8160919540229885,0.9425287356321839,1.0,0,0,0.0013637390348805317,-0.13793103448275856,0.3945758890649862,88.19020689589249,0.13117276573540235,0.13117276573540235,0.11258812401474325,0.09080125923597285,0.1281628262756952
mixed_star_org__gas__low_sigma_baryon,source,mixed_star_org,low_sigma_baryon,1.0,0.25,0.0,0.0,0.04297763850423543,0.054773728617689824,0.19598804903758582,0.8160919540229885,0.9425287356321839,1.0,0,0,0.0013637390348805317,-0.13793103448275856,0.3945758890649862,88.19020689589249,0.13117276573540235,0.13117276573540235,0.11258812401474325,0.09080125923597285,0.1281628262756952
mixed_star_org__gas__hi_plus_low_sigma,source,mixed_star_org,hi_plus_low_sigma,1.0,0.25,0.0,0.0,0.04297763850423543,0.054773728617689824,0.19598804903758582,0.8160919540229885,0.9425287356321839,1.0,0,0,0.0013637390348805317,-0.13793103448275856,0.3945758890649862,88.19020689589249,0.13117276573540235,0.13117276573540235,0.11258812401474325,0.09080125923597285,0.1281628262756952
mixed_star_org__gas__low_v_for_mass_symptom,source,mixed_star_org,low_v_for_mass_symptom,1.0,0.25,0.0,0.0,0.04297763850423543,0.054773728617689824,0.19598804903758582,0.8160919540229885,0.9425287356321839,1.0,0,0,0.0013637390348805317,-0.13793103448275856,0.3945758890649862,88.19020689589249,0.13117276573540235,0.13117276573540235,0.11258812401474325,0.09080125923597285,0.1281628262756952
star_frac__gas__hi_extent,source,star_frac,hi_extent,1.0,0.25,1.0,0.2,0.04476250247702142,0.05978392892391684,0.19812909019823385,0.7586206896551724,0.9655172413793104,1.0,0,0,0.00314860300766652,-0.1954022988505747,0.3811978870451983,87.43299326696491,0.12742775097482317,0.12742775097482317,0.08069448754456057,0.08280760433475975,0.1282892869842564
mixed_star_org__gas__low_v_for_mass_symptom,source,mixed_star_org,low_v_for_mass_symptom,1.0,0.25,0.5,0.3,0.04305508566105162,0.05039252002940068,0.17379575133298172,0.8620689655172413,0.9885057471264368,1.0,0,0,0.001441186191696725,-0.09195402298850575,0.41148278428127916,89.12009545227913,0.13572804725006637,0.13572804725006637,0.06922415551459693,0.06609330020998022,0.12829868441938297
star_frac__gas__hi_extent,source,star_frac,hi_extent,1.0,0.25,0.25,0.1,0.03950466086947627,0.05377649848733979,0.1868513918267572,0.8620689655172413,0.9770114942528736,1.0,0,0,-0.0021092385998786253,-0.09195402298850575,0.43270965542884565,90.2478515946489,0.14118927632284362,0.14118927632284362,0.08300825764117191,0.08518640423698451,0.1287844382135738
sigma_star__gas__low_v_for_mass_symptom,source,sigma_star,low_v_for_mass_symptom,1.0,0.25,0.5,0.3,0.04445156073038035,0.054493433029953804,0.1859719868457804,0.8390804597701149,0.9425287356321839,1.0,0,0,0.0028376612610254495,-0.11494252873563215,0.39788438087947986,88.3744956473919,0.13207935256463782,0.13207935256463782,0.06662958175678813,0.07008268552498612,0.1290884356972773
star_frac__gas__hi_extent,source,star_frac,hi_extent,1.0,0.5,0.25,0.2,0.04192645071205428,0.05603822314523947,0.19956845851721,0.8045977011494253,0.9770114942528736,1.0,0,0,0.0003125512426993826,-0.14942528735632177,0.40832670911232843,88.94871382192929,0.13489207693448446,0.13489207693448446,0.08009355422106432,0.08010399446066935,0.1293293350310175
star_frac__gas__hi_extent,q_eff,star_frac,hi_extent,1.0,0.25,0.0,0.3,0.04438596588925294,0.05567604305977802,0.1957641715503745,0.8160919540229885,0.9655172413793104,1.0,0,0,0.0027720664198980435,-0.13793103448275856,0.627859509505158,88.16961892411236,0.13107136801019215,0.13107136801019215,0.10397315136312801,0.09168830290647473,0.12949806704938646
star_frac__gas__low_sigma_baryon,q_eff,star_frac,low_sigma_baryon,1.0,0.25,0.0,0.3,0.04438596588925294,0.05567604305977802,0.1957641715503745,0.8160919540229885,0.9655172413793104,1.0,0,0,0.0027720664198980435,-0.13793103448275856,0.627859509505158,88.16961892411236,0.13107136801019215,0.13107136801019215,0.10397315136312801,0.09168830290647473,0.12949806704938646
star_frac__gas__hi_plus_low_sigma,q_eff,star_frac,hi_plus_low_sigma,1.0,0.25,0.0,0.3,0.04438596588925294,0.05567604305977802,0.1957641715503745,0.8160919540229885,0.9655172413793104,1.0,0,0,0.0027720664198980435,-0.13793103448275856,0.627859509505158,88.16961892411236,0.13107136801019215,0.13107136801019215,0.10397315136312801,0.09168830290647473,0.12949806704938646
star_frac__gas__low_v_for_mass_symptom,q_eff,star_frac,low_v_for_mass_symptom,1.0,0.25,0.0,0.3,0.04438596588925294,0.05567604305977802,0.1957641715503745,0.8160919540229885,0.9655172413793104,1.0,0,0,0.0027720664198980435,-0.13793103448275856,0.627859509505158,88.16961892411236,0.13107136801019215,0.13107136801019215,0.10397315136312801,0.09168830290647473,0.12949806704938646
star_frac__gas__hi_plus_low_sigma,source,star_frac,hi_plus_low_sigma,1.0,0.25,0.25,0.1,0.0429193348157405,0.05611626118097276,0.19869282890474854,0.8045977011494253,0.9655172413793104,1.0,0,0,0.0013054353463856014,-0.14942528735632177,0.4034230330631011,88.68045201222105,0.1335803023541147,0.1335803023541147,0.09418666294812089,0.08633964270381055,0.1295787688832727
stellar_to_gas__gas__hi_extent,source,stellar_to_gas,hi_extent,1.0,0.25,0.0,0.3,0.04230366443003223,0.05220713901469694,0.1770378849115709,0.8505747126436781,0.9770114942528736,1.0,0,0,0.0006897649606773318,-0.10344827586206895,0.4248988893310369,89.8378033855246,0.1392115287635978,0.1392115287635978,0.08985603303186428,0.08219449032492734,0.12961321730298822
