galaxy_name,step,time_gyr,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,A_gov_star_sigma,A_gov,maturity_class,star_formation_rate_Msun_per_gyr,v_newton_km_s,v_bdvr_full_km_s,v_bdvr_governed_km_s
UGC07125,0,0.0,7512569999.999999,751257000.0,6761312999.999999,3.38,0.10000000000000002,0.9,104658682.36615317,8.019775262749231,0.007679023963790345,0.00022508932237181778,juvenile,676131300.0,79.83207120362623,105.83065726999256,79.8388758169406
UGC07125,1,0.1,7512569999.999999,798586191.0,6713983808.999999,3.38,0.10630000000000002,0.8936999999999999,104658682.36615317,8.019775262749231,0.008272468086079055,0.00025776117972033325,juvenile,671398380.9,79.83207120362623,105.83065726999256,79.8398634626631
UGC07125,2,0.2,7512569999.999999,845584077.663,6666985922.336999,3.38,0.11255590000000001,0.8874441,104658682.36615317,8.019775262749231,0.008906342558730749,0.00029483437232205454,juvenile,666698592.2336999,79.83207120362623,105.83065726999256,79.8409841426495
UGC07125,3,0.30000000000000004,7512569999.999999,892252979.119359,6620317020.88064,3.38,0.11876800870000001,0.8812319913,104658682.36615317,8.019775262749231,0.009582932760900857,0.00033684922488488644,juvenile,662031702.0880641,79.83207120362623,105.83065726999256,79.84225418431981
UGC07125,4,0.4,7512569999.999999,938595198.2655236,6573974801.734475,3.38,0.12493663263910003,0.8750633673609,104658682.36615317,8.019775262749231,0.01030461250719859,0.00038440454120092536,juvenile,657397480.1734476,79.83207120362623,105.83065726999256,79.84369168095785
UGC07125,5,0.5,7512569999.999998,984613021.8776649,6527956978.122334,3.38,0.13106207621062635,0.8689379237893737,104658682.36615315,8.019775262749231,0.011073843643029314,0.0004381627898864649,juvenile,652795697.8122334,79.83207120362623,105.83065726999256,79.84531664795924
UGC07125,6,0.6000000000000001,7512569999.999999,1030308720.7245213,6482261279.275477,3.38,0.13714464167715196,0.862855358322848,104658682.36615317,8.019775262749231,0.011893175164659165,0.0004988555847309392,juvenile,648226127.9275478,79.83207120362623,105.83065726999256,79.84715118786171
UGC07125,7,0.7000000000000001,7512569999.999998,1075684549.6794496,6436885450.320549,3.38,0.1431846291854119,0.8568153708145881,104658682.36615315,8.019775262749231,0.012765241815990822,0.0005672894512676379,juvenile,643688545.0320549,79.83207120362623,105.83065726999256,79.8492196638781
UGC07125,8,0.8,7512569999.999999,1120742747.8316934,6391827252.168305,3.38,0.149182336781114,0.850817663218886,104658682.36615317,8.019775262749231,0.013692762112470858,0.0006443518661692508,juvenile,639182725.2168306,79.83207120362623,105.83065726999256,79.85154888149499
UGC07125,9,0.9,7512569999.999999,1165485538.5968716,6347084461.403128,3.38,0.1551380604236462,0.8448619395763538,104658682.36615317,8.019775262749231,0.014678535741321792,0.0007310175503868412,juvenile,634708446.1403128,79.83207120362623,105.83065726999256,79.85416827752374
UGC07125,10,1.0,7512569999.999999,1209915129.8266935,6302654870.1733055,3.38,0.16105209400068068,0.8389479059993193,104658682.36615317,8.019775262749231,0.015725440286480524,0.000828354990571894,juvenile,630265487.0173305,79.83207120362623,105.83065726999256,79.85711011579042
