source_id,title,doi,pdf_path,pdf_page,matched_alias,evidence_type,snippet
garcia_ruiz_2002_warps,Neutral hydrogen and optical observations of edge-on galaxies: Hunting for warps,10.1051/0004-6361:20020976,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/fulltext/aah3389.pdf,9,UGC 7125,one_side_warped_other_flat,"al density profiles, and the warp curves in the combined Sect. 3), which is more representative than R25 , particularly in plots of Fig. 7. edge-on galaxies. We found that all the galaxies in our sample Finally, we study the influence of the environment on warp- that have HI disks more extended than the optical are warped. If ing and lopsidedness, and we compare the optical and HI warps we consider each side of the galaxy independently, there is only of a number of galaxies. one exception to this rule: one side of UGC 7125 is warped, while the other remains flat, and both sides have HI more ex- tended than the optical. 5.1. Warp statistics and shapes One of the most striking characteristics of the warps ob- The first question to address is how common warps are. Table 4 served here is their asymmetry. To begin with, a considerable already shows that the outer parts of the majority of galaxies percentage of the warped galaxies show a warp only on one"
van_der_kruit_2007_truncations_warps,Truncations of stellar disks and warps of HI-layers in edge-on spiral galaxies,10.1051/0004-6361:20066941,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/fulltext/aa6941-06.pdf,5,UGC 7125,table_side_specific_asymmetry,"companion on SW side. Rdeep for main body UGC 6126 SBcd 1.05 1.22 yes 2.0 3.1 1.6 0.8 Symmetric warp UGC 6283 Sab 1.13 1.22 no 2.1 3.5 3.0 – Warp sets in beyond Rdeep UGC 6964 SBcd 1.05 1.30 yes 2.2 2.8 1.7 0.8 Symmetric warp UGC 7089 Sc 1.26 0.97 no 2.1 2.1 – – No HI beyond Rdeep UGC 7090 SBc 1.20 1.02 no 3.6 3.8 2.3 – Asymmetric, small warp on N side only UGC 7125 SBd W 1.03 1.30 yes 2.5 5.8 2.3 0.9 Optical and HI asymmetric, warp on W side E 1,40 0.92 no 2.0 3.5 – – No warp on E side UGC 7151 SBc 1.06 1.14 yes 3.4 3.3 – – No HI beyond Rdeep UGC 7321 Sc 1.07 1.39 yes 2.9 3.3 2.5 0.9 Somewhat asymmetric UGC 7483 SBc 1.10 1.22 yes 2.1 2.5 – – RHI /Rdeep ∼ 1.2 UGC 7774 Sc 1.07 1.12 yes 1.8 2.7 2.0 1.1 Rather symmetrical warp UGC 8246 SBc W 1.07 1.27 yes 1.7 2.1 1.5 0.9 Not precisely edge-on?; very asymmetric E 1.14 1.19 no 1.8 2.4 – – No warp on E side UGC 8286 Sc 1.09 1.17 yes 3.4 4.2 3.3 1.0 Warp asymmetric, bends back on NE side UGC 8396 SBc 1.33 0.91 no 1.4 1.8"
van_der_kruit_2007_truncations_warps,Truncations of stellar disks and warps of HI-layers in edge-on spiral galaxies,10.1051/0004-6361:20066941,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/fulltext/aa6941-06.pdf,5,UGC 7125,two_sides_entirely_different,"as described above. The results have been collected in Table 3. I looked into the possibility of applying the same method In this table I also note the diameter in HI (at 1 M /pc2 , RHI ) to images from the STScI Digital Sky Survey, available as given by García-Ruiz et al. in their Table 4. Galaxies with at http://archive.stsci.edu/cgi-bin/dss_form. For an asterix in the third column are the ones for which the DSS2 these I used the “POSS2/UKSTU Red” images. Usually an area had to be used. of 152 min of arc was retrieved at the standard pixel (about First I note that there are two galaxies, UGC 7125 and 1 arcsec). In these images the sky background does not always UGC 8246, for which the two sides on the sky are entirely have the same pixel value. “Shallow” clips were produced with diﬀerent both in the properties of the stellar disks and the the value of the clip set such that the noise of the background HI-distributions. One possibility would be to treat each side as"
van_der_kruit_2007_truncations_warps,Truncations of stellar disks and warps of HI-layers in edge-on spiral galaxies,10.1051/0004-6361:20066941,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/fulltext/aa6941-06.pdf,6,UGC 7125,excluded_from_bona_fide_warped_set,"th these cation radius. included we then find that the method applied here has provided So, we are left with 12 galaxies with both a truncation and evidence for truncations in 17 out of 23 galaxies. This is a signif- a warp. The distribution of the ratio of the truncation radius icant fraction, similar to the conclusion reached in Kregel et al. and that where on the sky the warps starts (Rwarp ) is given in (2002). The range in Hubble types for this sample is very small Table 4. These include all the “bona fide warped” galaxies of (by design it consists of late types due to the requirement to con- García-Ruiz et al. except UGC 7125, which I do not consider, tain observable amounts of HI) and therefore a dependence of and none of their “non-warped” galaxies. I illustrate two cases the occurence of truncation upon Hubble type is not possible; the in Figs. 4 and 5. In UGC 7774 the warp starts just beyond the only early type UGC 6283 shows no evidence for a truncation. truncation radius and for UGC 6126 well within this radius."
