label,Q4_scatter,Q1_scatter,Q4_Q1_ratio,N_Q4,N_Q1,spearman_rho,spearman_p,N,spearman_incl_vs_abs,spearman_incl_p
all,0.0550202781457659,0.13398308315982826,0.41065093329829017,80,80,-0.21313245246535611,0.00012206372167265573,320,-0.3517971966691154,5.150509134441335e-12
mid_45_75,0.048042246855650186,0.11465281076636716,0.4190237163356412,51,51,-0.1467402457899632,0.03531658422524294,206,-0.2311724568714061,0.0003962580752043191
mid_50_80,0.04425967805245573,0.1297614440374276,0.34108496850335407,50,50,-0.09239840401950644,0.1920304302760868,201,-0.18301102677926293,0.006014816739729516
