galaxy_name,T,v_flat_obs_km_s,M_baryon_Msun,gas_frac,stellar_to_gas_ratio,RHI_over_Rdisk,log10_velocity_error,participation_fraction_required,gas_participation_required,gas_participation_required_status
UGC07125,9.0,65.2,7512569999.999999,0.8195025137868931,0.2202525107324371,6.816568047337278,0.2321401297980161,0.1178798245567547,-0.0764093588523579,stellar_mass_alone_exceeds_required_participating_mass
DDO161,10.0,66.3,2106740000.0,0.8699412362227897,0.1495029300391763,8.762295081967213,0.0921411828030931,0.4279916230551355,0.3424746946949246,partial_gas_participation_can_match_observed_vflat
UGC12632,9.0,71.7,2970020000.0000005,0.7809779058726878,0.2804459543353796,5.206611570247934,0.086732754937078,0.4498513004054623,0.295564323321304,partial_gas_participation_can_match_observed_vflat
UGC00731,10.0,73.3,2564810000.0,0.9370323727683532,0.0671989880622974,5.030434782608697,0.0568447940412088,0.5924078760660875,0.5650180977955661,partial_gas_participation_can_match_observed_vflat
DDO064,10.0,46.1,359130000.0,0.7814162002617436,0.279727755407476,5.057971014492754,0.0490504596709066,0.6364996384768448,0.5348184982581664,partial_gas_participation_can_match_observed_vflat
F583-1,9.0,85.8,3320580000.0,0.8515319612838721,0.1743540412649686,6.63135593220339,0.0248825125352315,0.7951882421645622,0.7594784844873715,partial_gas_participation_can_match_observed_vflat
NGC3741,10.0,50.1,256060000.0,0.9453253143794424,0.0578368999421631,21.0,-0.006183480835373,1.0586049571555414,1.0619944861986612,more_than_total_gas_required
F563-1,9.0,109.9,5207500000.0,0.8172827652424388,0.2235667293233082,6.667613636363636,-0.0343972706855351,1.3727425098900066,1.4560753337058765,more_than_total_gas_required
