model,n,median_abs_log10_velocity_error,mean_abs_log10_velocity_error,max_abs_log10_velocity_error,median_log10_velocity_error,median_velocity_ratio_pred_over_obs,frac_within_010_dex,frac_within_015_dex,frac_within_020_dex,n_above_020_dex,n_above_030_dex
newtonian_outer,87,0.249744254895621,0.244855937569254,0.4488248070936664,-0.249744254895621,0.5626725713839824,0.0689655172413793,0.2068965517241379,0.3448275862068966,57,31
mond_simple_btfr,87,0.0472257873570313,0.0561133985763764,0.2052260404052944,-0.039505288087067,0.913050317677887,0.8390804597701149,0.9655172413793104,0.9885057471264368,1,0
m3_scalar_q_only,87,0.0641311041319905,0.069254645624326,0.2113536326710781,-0.0623238410448768,0.8663156479085586,0.7586206896551724,0.896551724137931,0.9885057471264368,1,0
m4a_halo_only,87,0.0416138994693549,0.0503710092326627,0.2321401297980161,-0.0165283895662435,0.96265708260826,0.896551724137931,0.9770114942528736,0.9885057471264368,1,0
m4b_halo_star_gas,87,0.0404458091376348,0.0464391851444796,0.2321401297980161,-0.006183480835373,0.9858628900488806,0.9310344827586208,0.9885057471264368,0.9885057471264368,1,0
m4c_full_frozen,87,0.0416138994693549,0.0457214379727706,0.2321401297980161,0.0092392657479627,1.0215021046046753,0.9540229885057472,0.9885057471264368,0.9885057471264368,1,0
