object_name,S1_compact_stellar_disk,quality_quarantine_flag
NGC5055,0.9137092515394302,False
NGC3198,0.6738753780983324,False
NGC4559,0.6805902307785896,False
UGC09133,0.7873498295531053,False
NGC6946,0.8795612728705616,False
NGC4088,0.9237768680482403,False
NGC1090,0.7834182594350615,False
NGC5371,0.8501377275688506,False
NGC0801,0.7858146113351536,False
DDO161,0.2175102672036313,False
UGC07125,0.09330683312870507,True
NGC1003,0.4318251078932417,False
NGC0100,0.395490492185494,False
UGC12632,0.06805893288226622,False
UGC01230,0.15083863766453168,False
UGC10310,0.20789329937052511,False
NGC3741,0.35968702232569816,False
F583-1,0.068579518386254,False
UGC00731,0.0,False
UGC08550,0.36128514622058416,False
NGC3109,0.0030562807150428797,False
F563-1,0.047295115128100716,False
UGCA442,0.0307340698230642,False
UGC06446,0.1788002894742451,False
UGC05721,0.45131957951509294,False
D631-7,0.043154669995594114,False
DDO064,0.11206779633392859,False
UGC08490,0.43961815514778524,False
NGC5585,0.4136365224708046,False
UGC07603,0.38533192719645476,False
UGC06667,0.07760873663544123,False
UGC01281,0.1006775391623048,False
UGC05005,0.16673155447706633,False
UGC07524,0.1499961483533643,False
UGC04278,0.12367425353687664,False
UGC04499,0.1973308320191697,False
UGC00128,0.18434159002609882,False
F563-V2,0.19278897742539702,False
F568-V1,0.20392077463718314,False
UGC07399,0.19888049666985727,False
UGC06614,0.7271880481342712,False
NGC4157,0.9383399550274806,False
NGC2841,0.9382023477567362,False
NGC4100,0.928548183103719,False
NGC2403,0.6920933110947816,False
NGC2998,0.7199994225998183,False
ESO563-G021,0.8801549898196939,False
NGC3893,0.8587210428558092,False
NGC6674,0.7641073418151441,False
NGC5907,0.6989666555757833,False
UGC03205,0.8802153429213808,False
NGC6503,0.6971073320340413,False
NGC5033,0.7676089841820407,False
NGC4183,0.5223420186900231,False
UGC07151,0.5486443518110533,False
UGC08286,0.4329126069402312,False
UGC11455,0.9207251704026411,False
NGC3521,0.9423941175805348,False
NGC3992,0.8693251360003766,False
NGC0891,0.9861587896198534,False
NGC4217,0.9060183661742186,False
NGC7331,0.8930193765917179,False
F571-8,0.47726303944059123,False
IC4202,0.8588025939702116,False
UGC02885,0.7395363619022738,False
ESO116-G012,0.5909756243282346,False
F579-V1,0.5045609091956138,False
NGC2903,0.9466810653529429,False
NGC3917,0.7498599185337941,False
F574-1,0.275373203205783,False
UGC06786,0.8232541954083665,False
NGC5985,0.8051046356493106,False
NGC6195,0.6847401582046768,False
UGC06930,0.3995576217810542,False
ESO079-G014,0.6845121894913831,False
NGC0024,0.6463516292664353,False
NGC3953,0.8529165710303607,False
NGC3972,0.7444986893923095,False
NGC5005,0.671729151445765,False
NGC7814,0.9264484085536278,False
UGC02487,0.8752100542987465,False
UGC03546,0.871437676558157,False
UGC04325,0.4322062084913072,False
UGC06399,0.4172730639601614,False
UGC06917,0.4646013194339463,False
UGC06983,0.25984073657116985,False
UGC11914,1.0,False
xGASS_xCOLD:GASS101026,0.21206530156885528,False
xGASS_xCOLD:GASS102001,0.21206530156885528,False
xGASS_xCOLD:GASS112113,0.21206530156885528,False
xGASS_xCOLD:GASS108119,0.21206530156885528,False
xGASS_xCOLD:GASS122004,0.21206530156885528,False
xGASS_xCOLD:GASS113134,0.21206530156885528,False
xGASS_xCOLD:GASS123001,0.21206530156885528,False
xGASS_xCOLD:GASS101001,0.21206530156885528,False
xGASS_xCOLD:GASS109127,0.21206530156885528,False
xGASS_xCOLD:GASS124028,0.21206530156885528,False
xGASS_xCOLD:GASS110082,0.21206530156885528,False
xGASS_xCOLD:GASS113114,0.21206530156885528,False
xGASS_xCOLD:GASS113137,0.21206530156885528,False
xGASS_xCOLD:GASS108148,0.21206530156885528,False
xGASS_xCOLD:GASS114117,0.21206530156885528,False
xGASS_xCOLD:GASS111071,0.21206530156885528,False
xGASS_xCOLD:GASS122005,0.21206530156885528,False
xGASS_xCOLD:GASS108140,0.21206530156885528,False
xGASS_xCOLD:GASS109082,0.21206530156885528,False
xGASS_xCOLD:GASS111075,0.21206530156885528,False
xGASS_xCOLD:GASS101033,0.21206530156885528,False
xGASS_xCOLD:GASS110036,0.21206530156885528,False
xGASS_xCOLD:GASS113091,0.21206530156885528,False
xGASS_xCOLD:GASS109080,0.21206530156885528,False
xGASS_xCOLD:GASS44856,0.21206530156885528,False
xGASS_xCOLD:GASS112100,0.21206530156885528,False
xGASS_xCOLD:GASS109065,0.21206530156885528,False
xGASS_xCOLD:GASS111044,0.21206530156885528,False
xGASS_xCOLD:GASS124000,0.21206530156885528,False
xGASS_xCOLD:GASS111054,0.21206530156885528,False
xGASS_xCOLD:GASS114142,0.21206530156885528,False
xGASS_xCOLD:GASS114129,0.21206530156885528,False
xGASS_xCOLD:GASS110059,0.21206530156885528,False
xGASS_xCOLD:GASS109102,0.21206530156885528,False
xGASS_xCOLD:GASS107026,0.21206530156885528,False
xGASS_xCOLD:GASS112117,0.21206530156885528,False
xGASS_xCOLD:GASS111093,0.21206530156885528,False
xGASS_xCOLD:GASS113057,0.21206530156885528,False
xGASS_xCOLD:GASS114078,0.21206530156885528,False
xGASS_xCOLD:GASS114000,0.21206530156885528,False
THINGS:NGC2841,0.493460545588919,False
M17_analog_synthesis:DDO161,0.43019469670007604,False
M17_analog_synthesis:12700-12701,0.47377012842235544,False
M17_analog_synthesis:9091-6103,0.47377012842235544,False
M17_analog_synthesis:GASS102001,0.47377012842235544,False
M17_analog_synthesis:UGC07125,0.43023801683274404,False
M17_analog_synthesis:8611-6104,0.47377012842235544,False
M17_analog_synthesis:GASS108119,0.47377012842235544,False
M17_analog_synthesis:8139-3703,0.47377012842235544,False
M17_analog_synthesis:8617-12705,0.47377012842235544,False
M17_analog_synthesis:8619-12704,0.47377012842235544,False
M17_analog_synthesis:9894-9102,0.47377012842235544,False
M17_analog_synthesis:8619-12705,0.47377012842235544,False
M17_analog_synthesis:8982-12702,0.47377012842235544,False
M17_analog_synthesis:8655-12703,0.47377012842235544,False
M17_analog_synthesis:8977-12704,0.47377012842235544,False
M17_analog_synthesis:11824-12702,0.47377012842235544,False
M17_analog_synthesis:10498-12701,0.47377012842235544,False
M17_analog_synthesis:GASS110082,0.47377012842235544,False
M17_analog_synthesis:GASS122005,0.47377012842235544,False
M17_analog_synthesis:11751-12702,0.47377012842235544,False
M17_analog_synthesis:9001-12704,0.47377012842235544,False
