quality_quarantine_flag,quality_measurement_limited_flag,count,mean,median
False,False,150,0.4702533318034934,0.47377012842235544
False,True,14,0.23997566241741558,0.1983548760312901
True,True,1,0.09330683312870507,0.09330683312870507
