galaxy_name,inner_slope,outer_slope,D_at_Rd,D_at_Rlast,rlast_over_rd,baryon_fraction_at_2p2Rd,curve_flatness,f_gas,f_star,taxonomy_stage,cluster,cluster_name
DDO064,0.5967911675953801,0.0471415347609529,,,4.3188405797101455,0.33188837419580175,1.017353579175705,0.7814162002617436,0.2185837997382563,juvenile_forming,3.0,mature_flat
DDO161,0.42078318015342814,-0.1420988504492439,,,10.959016393442623,0.8975797991336781,0.9969834087481146,0.8699412362227897,0.1300587637772103,failed_stalled,3.0,mature_flat
F563-1,1.2023900652716188,-0.39624316015142824,,,5.710227272727273,0.1854154749846033,0.9645131938125568,0.8172827652424388,0.1827172347575612,juvenile_forming,2.0,irregular_or_unconverged
F563-V2,0.9614208959430011,0.048742803533487235,,,4.308641975308642,0.1899013330404625,1.012006861063465,0.658958784952156,0.341041215047844,juvenile_forming,0.0,slowly_rising
F568-V1,0.8613343849234868,0.10345403735686004,,,6.185964912280701,0.2106850454164128,1.0507569011576137,0.6340084163711625,0.3659915836288376,juvenile_forming,0.0,slowly_rising
F583-1,-0.28192572083858725,0.04162118847597912,,,6.889830508474577,0.16570676237714232,1.0,0.8515319612838721,0.1484680387161279,juvenile_forming,3.0,mature_flat
NGC0100,0.980554009778409,0.3141720386697886,,,5.795180722891566,0.6380279178650842,1.0351872871736665,0.620897553193985,0.3791024468060149,failed_stalled,0.0,slowly_rising
NGC1003,0.4970964035000832,0.4693149268571211,,,18.782608695652172,1.0571890240184143,1.0473588342440803,0.6963598803248326,0.3036401196751674,failed_stalled,1.0,slowly_rising
NGC3109,0.8287807693489827,0.17657513263160074,,,4.134615384615385,0.18790335980685768,1.0166163141993956,0.8673794451812253,0.1326205548187747,juvenile_forming,0.0,slowly_rising
NGC3741,0.5123174653849091,0.18941114773179057,,,35.0,0.7484730397478322,1.029940119760479,0.9453253143794424,0.0546746856205576,juvenile_forming,1.0,slowly_rising
NGC5585,0.7209752050805545,-0.12523048119079278,,,7.163398692810458,0.6419872784727648,0.9900332225913622,0.6033575119477936,0.3966424880522063,juvenile_forming,3.0,mature_flat
UGC00128,0.6662375524327471,-0.3174496417459209,,,9.033613445378151,0.2644989929079103,0.9667440061871616,0.621851568246354,0.378148431753646,juvenile_forming,2.0,irregular_or_unconverged
UGC00731,0.49594354101353205,-0.007742019480534236,,,4.743478260869566,0.13225642337777027,1.00818553888131,0.9370323727683532,0.0629676272316467,juvenile_forming,3.0,mature_flat
UGC01230,0.9295125814887105,-0.058548188693026845,,,8.419354838709678,0.3298700328122873,0.9932497589199614,0.6917949506143878,0.3082050493856122,disturbed_or_measurement_contaminated,3.0,mature_flat
UGC01281,1.0903664180456425,0.12930248913122086,,,3.0613496932515343,0.24351364274039466,1.0307971014492754,0.6889977445728784,0.3110022554271215,juvenile_forming,0.0,slowly_rising
UGC04278,0.9684785902366576,0.5627696879903056,,,3.0271493212669687,0.21707129145034887,1.0153172866520788,0.6943090495747926,0.3056909504252074,juvenile_forming,0.0,slowly_rising
UGC04499,0.7231239873726417,0.08081925039460605,,,4.728323699421965,0.5008718396983692,1.0206043956043955,0.6534167038856633,0.3465832961143367,juvenile_forming,0.0,slowly_rising
UGC05005,0.7482644117320008,-0.016764685650999433,,,8.940624999999999,0.5375080650546536,1.0020222446916076,0.6674070240391713,0.3325929759608286,juvenile_forming,3.0,mature_flat
UGC05721,0.674061312221756,0.08146711010230398,,,17.736842105263158,0.6404252565159178,0.9974905897114178,0.7378968567366925,0.2621031432633075,juvenile_forming,3.0,mature_flat
UGC06446,0.6302992890437402,-0.3710203227330233,,,6.859060402684564,0.2679537427798607,0.9744525547445254,0.7878070676569003,0.2121929323430996,juvenile_forming,2.0,irregular_or_unconverged
UGC06667,0.7013931526731613,0.08015408634750516,,,1.524271844660194,,1.022673031026253,0.6063613360609084,0.3936386639390917,juvenile_forming,,
UGC07125,0.5795820653352189,-0.05602366941817774,,,5.5266272189349115,0.5440172562796655,0.995398773006135,0.8195025137868931,0.1804974862131068,failed_stalled,3.0,mature_flat
UGC07399,0.5228830224421437,0.2623687069453799,,,3.7378048780487805,0.18666313505156631,1.029126213592233,0.6315772699748223,0.3684227300251776,juvenile_forming,0.0,slowly_rising
UGC07524,0.6678428580846143,-0.5866147939320426,,,3.0895953757225434,0.33076334329466633,0.9937106918238994,0.6601628874436046,0.3398371125563953,juvenile_forming,2.0,irregular_or_unconverged
UGC07603,0.6956546803897558,0.21721447661974352,,,7.754716981132075,0.5154913689694604,1.0389610389610389,0.6460443574198893,0.3539556425801107,juvenile_forming,0.0,slowly_rising
