galaxy_name,provisional_curve_class,f_gas,f_star,D_total,btfr_offset_dex,taxonomy_stage
D631-7,compact_steep_rise,0.7973950795947902,0.2026049204052098,0.6803146597867303,0.039505288087067,unknown
DDO064,mature_flat,0.7814162002617436,0.2185837997382563,0.4240206706521405,-0.0256384992124591,juvenile_forming
DDO161,mature_flat,0.8699412362227897,0.1300587637772103,-0.1122452927791978,-0.0599157101031501,failed_stalled
ESO079-G014,mature_flat,0.1390088107926385,0.8609911892073615,0.8060005825300754,0.0730768052058808,mature_or_control
ESO116-G012,mature_flat,0.4016267054057144,0.5983732945942856,0.7477768031364452,0.098633868639843,mature_or_control
ESO563-G021,mature_flat,0.1719824779393654,0.8280175220606345,0.809236941843291,0.1287477233958003,mature_or_control
F563-1,irregular_or_unconverged,0.8172827652424388,0.1827172347575612,1.8472513474060104,0.0613138695469941,juvenile_forming
F563-V2,slowly_rising,0.658958784952156,0.341041215047844,1.6318884069673911,0.105858812002349,juvenile_forming
F568-V1,slowly_rising,0.6340084163711625,0.3659915836288376,1.3987835646073277,0.0703206666933114,juvenile_forming
F571-8,compact_steep_rise,0.3180409175449473,0.6819590824550527,2.2514981009707284,0.1266008171563595,mature_or_control
F574-1,mature_flat,0.5891480273825895,0.4108519726174104,0.870107159670272,-0.0353534266378766,mature_or_control
F579-V1,mature_flat,0.3351178751606368,0.6648821248393632,0.6576306596509802,0.0116115112183184,mature_or_control
F583-1,mature_flat,0.8515319612838721,0.1484680387161279,0.8246924215370125,0.0026572976770827,juvenile_forming
IC4202,mature_flat,0.1542662669731117,0.8457337330268883,0.4306294786657141,0.0777635848019734,mature_or_control
NGC0024,mature_flat,0.3161789012442063,0.6838210987557938,0.8570470787116998,0.1125403985503548,mature_or_control
NGC0100,slowly_rising,0.620897553193985,0.3791024468060149,0.0541251456134189,-0.0129717870535531,failed_stalled
NGC0801,mature_flat,0.1648869606357899,0.8351130393642101,-0.1126375182890714,-0.0259494687486376,true_falsifier_candidate
NGC0891,mature_flat,0.0790160797374749,0.9209839202625252,0.3502794662500348,0.0652118316880249,mature_or_control
NGC1003,slowly_rising,0.6963598803248326,0.3036401196751674,-0.0985242236328264,-0.0225229693745119,failed_stalled
NGC1090,mature_flat,0.2448729023985255,0.7551270976014745,-0.0194410173204832,-0.0042631387432271,true_falsifier_candidate
NGC2403,mature_flat,0.4587161205670624,0.5412838794329377,0.4162950082328757,0.0755768622359338,mature_or_control
NGC2841,mature_flat,0.1214328246681222,0.8785671753318778,0.9643135327060692,0.146605404316243,mature_or_control
NGC2903,mature_flat,0.0765732535059827,0.9234267464940172,0.2825750328364454,0.0540413907490937,mature_or_control
NGC2998,mature_flat,0.292475499299846,0.7075245007001539,0.0690797721571615,0.0145050562129409,mature_or_control
NGC3109,slowly_rising,0.8673794451812253,0.1326205548187747,2.2598432755076505,0.0542912627648367,juvenile_forming
NGC3198,mature_flat,0.430291823819246,0.569708176180754,-0.0259767802682868,-0.0057153449276559,true_falsifier_candidate
NGC3521,mature_flat,0.1152376935691309,0.8847623064308691,0.6527008484393424,0.1090971250223889,mature_or_control
NGC3741,slowly_rising,0.9453253143794424,0.0546746856205576,0.2429440357042694,0.0472257873570314,juvenile_forming
NGC3893,mature_flat,0.2085905216933418,0.7914094783066582,0.2476431899354932,0.0480452002059045,mature_or_control
NGC3917,mature_flat,0.1860851160956985,0.8139148839043014,0.259838599793253,0.0501574552139444,mature_or_control
NGC3953,mature_flat,0.0506142005610004,0.9493857994389996,0.4161487635736915,0.0755544387551291,mature_or_control
NGC3972,mature_flat,0.1836648800152881,0.8163351199847119,0.5228992349385587,0.086333367574277,mature_or_control
NGC3992,mature_flat,0.1628761629086988,0.8371238370913012,0.2500951219965041,0.0484715302586026,mature_or_control
NGC4088,mature_flat,0.1694018820263602,0.8305981179736397,-0.0807650540351265,-0.0182867368556962,true_falsifier_candidate
NGC4100,mature_flat,0.1219791701776264,0.8780208298223735,0.0783408856113494,0.016378035962242,mature_or_control
NGC4157,mature_flat,0.171615379813015,0.828384620186985,0.0706282885139775,0.0148193571396292,mature_or_control
NGC4183,mature_flat,0.4625063727561451,0.5374936272438549,0.1805534727470313,-0.0076578341470746,mature_or_control
NGC4217,mature_flat,0.0739836063865266,0.9260163936134734,0.2136542116052662,0.0420474836566353,mature_or_control
NGC4559,mature_flat,0.4437372862233905,0.5562627137766096,-0.118009440717293,-0.0272680317387209,true_falsifier_candidate
NGC5005,compact_steep_rise,0.0186948729662297,0.9813051270337704,1.4881418066224943,0.1282714110838463,mature_or_control
NGC5033,mature_flat,0.2140421938911657,0.7859578061088343,0.1270968444785352,0.0259806169474733,mature_or_control
NGC5055,mature_flat,0.1693649820762909,0.830635017923709,-0.1631681777849981,-0.0386809066203296,true_falsifier_candidate
NGC5371,mature_flat,0.080346514403788,0.919653485596212,-0.1915524553631154,-0.0461740768174391,true_falsifier_candidate
NGC5585,mature_flat,0.6033575119477936,0.3966424880522063,0.1727972423312641,0.0128209888998675,juvenile_forming
NGC5907,mature_flat,0.2417382208457693,0.7582617791542307,0.0769678812548522,0.0161013756964449,unknown
NGC5985,mature_flat,0.1286544639551793,0.8713455360448207,0.9736900117743555,0.1476394716471765,mature_or_control
NGC6195,mature_flat,0.1244997466020065,0.8755002533979934,0.3790224919045619,0.0131129891502334,mature_or_control
