quantum_family,template_name,bias,drive_scale,eq_scale,eq_reservoir,k_on,k_off,k_coherent,A0,Omega0,Delta0,gamma_phi,gamma_relax,w0,gas_c,gas_k,RHI_Rd_c,RHI_k,n_steps,tau_final,mse,rmse,spearman_A_pred_A_inferred,pearson_A_pred_A_inferred,prediction_min,prediction_max,prediction_std,rank_score
two_channel_master,dyn_early_hi,0.8,1.2,0.8,0.8,1.0,1.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.10150513698388643,0.3185987083838954,0.2891069078697512,0.27170525293752446,0.13093036323715715,0.6896181781058428,0.12047399896169665,-0.05750366234447675
two_channel_master,dyn_early_hi,0.8,1.2,0.8,0.8,1.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.11654496024653595,0.3413868190872869,0.31463271428130757,0.28343741698313174,0.026002994254213232,0.5980026062239454,0.14566581965286496,-0.05650303260818322
bloch_lindblad,gas_hi,0.0,1.2,0.8,0.8,1.0,1.0,0.0,0.2,4.0,1.0,0.6,4.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.10060257531520751,0.3171790902868717,0.28217104341755855,0.28915319442978904,0.013701126549375775,0.5951509108649518,0.15678289458756445,-0.05459149856444971
two_channel_master,dyn_early_hi,0.8,2.5,0.8,0.8,1.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.11206313441536009,0.3347583223989511,0.30187437414424795,0.2754499737670046,0.002998524798433281,0.6268190575955155,0.15849006828618842,-0.05396777136397629
two_channel_master,gas_hi,0.4,1.2,0.8,0.8,1.0,4.0,8.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.1353000130761889,0.3678315009296905,0.3408703594129574,0.3344638353260649,0.009015255985423682,0.9691422138505341,0.25813570318793855,-0.052178684600937664
two_channel_master,gas_hi,0.4,1.2,0.8,0.8,1.0,4.0,8.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.134189467511388,0.36631880583910514,0.3357871008604952,0.33377363641192465,0.003771772322230882,0.9630323451688501,0.2581585305758258,-0.05049343796188438
two_channel_master,dyn_early_hi,0.4,1.2,0.8,0.8,1.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.12062037457429063,0.34730444076385003,0.308846743146189,0.2777274315789772,0.019666383724092067,0.6596298689906395,0.16822950618776633,-0.04924533415611333
two_channel_master,gas_hi,0.8,1.2,0.8,0.8,1.0,4.0,8.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.13989771721351957,0.3740290325810546,0.3421845232038992,0.3350426812543887,0.006372050182514821,0.965061193976892,0.24416172013425855,-0.048303770548625
bloch_lindblad,gas_hi,0.8,1.2,0.8,0.8,1.0,1.0,0.0,0.2,4.0,1.0,0.6,4.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.10921549674876029,0.33047767965289315,0.2852556778712969,0.25752329275498426,0.02450799613347343,0.5902676362500242,0.12145972955806758,-0.04767512608045303
two_channel_master,dyn_early_hi,0.4,1.2,0.8,0.8,1.0,1.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.10018813520228459,0.3165250941114852,0.2685457202239749,0.25581227464108564,0.11084193994112758,0.6825581826611135,0.12689924846511735,-0.0475120109209016
