object_name,m48_primary_score,quality_quarantine_flag,quality_measurement_limited_flag
xGASS_xCOLD:GASS113057,0.33933284250135787,False,False
xGASS_xCOLD:GASS114078,0.33933284250135787,False,False
xGASS_xCOLD:GASS114000,0.33933284250135787,False,False
THINGS:NGC2841,0.9602024814921599,False,False
M17_analog_synthesis:DDO161,0.9602024814921599,False,False
M17_analog_synthesis:12700-12701,0.9602024814921599,False,False
M17_analog_synthesis:9091-6103,0.9602024814921599,False,False
M17_analog_synthesis:GASS102001,0.9602024814921599,False,False
M17_analog_synthesis:UGC07125,0.9602024814921599,False,True
M17_analog_synthesis:8611-6104,0.9602024814921599,False,False
M17_analog_synthesis:GASS108119,0.9602024814921599,False,False
M17_analog_synthesis:8139-3703,0.9602024814921599,False,False
M17_analog_synthesis:8617-12705,0.9602024814921599,False,False
M17_analog_synthesis:8619-12704,0.9602024814921599,False,False
M17_analog_synthesis:9894-9102,0.9602024814921599,False,False
M17_analog_synthesis:8619-12705,0.9602024814921599,False,False
M17_analog_synthesis:8982-12702,0.9602024814921599,False,False
M17_analog_synthesis:8655-12703,0.9602024814921599,False,False
M17_analog_synthesis:8977-12704,0.9602024814921599,False,False
M17_analog_synthesis:11824-12702,0.9602024814921599,False,False
M17_analog_synthesis:10498-12701,0.9602024814921599,False,False
M17_analog_synthesis:GASS110082,0.9602024814921599,False,False
M17_analog_synthesis:GASS122005,0.9602024814921599,False,False
M17_analog_synthesis:11751-12702,0.9602024814921599,False,False
M17_analog_synthesis:9001-12704,0.9602024814921599,False,False
M17_analog_synthesis:11941-9101,0.9602024814921599,False,False
M17_analog_synthesis:8553-12703,0.9602024814921599,False,False
M17_analog_synthesis:10838-6103,0.9602024814921599,False,False
M17_analog_synthesis:8598-12704,0.9602024814921599,False,False
M17_analog_synthesis:11022-12702,0.9602024814921599,False,False
M17_analog_synthesis:GASS112113,0.9602024814921599,False,False
M17_analog_synthesis:GASS109080,0.9602024814921599,False,False
THINGS:NGC5055,0.9602024814921599,False,False
M17_analog_synthesis:GASS101026,0.9602024814921599,False,False
M17_analog_synthesis:GASS111054,0.9602024814921599,False,False
THINGS:NGC6946,0.9602024814921599,False,False
THINGS:NGC3521,0.9602024814921599,False,False
THINGS:NGC7331,0.9602024814921599,False,False
THINGS:NGC2403,0.9602024814921599,False,False
THINGS:NGC2903,0.9602024814921599,False,False
THINGS:NGC3198,0.9602024814921599,False,False
