permutation,rmse_logj,spearman_pred_obs,rmse_improvement_vs_baseline
0,0.06453628415409902,0.988299190785157,-0.0020648600345845036
1,0.06494055904741984,0.9891557920828169,-0.00246913492790532
2,0.06455670228089003,0.9879346795946635,-0.002085278161375506
3,0.06584999736400206,0.9880622585113362,-0.003378573244487537
4,0.066942711671004,0.9882080629875336,-0.004471287551489483
5,0.0671660413275791,0.9874425894874972,-0.004694617208064578
6,0.062234741698349326,0.9893927243566375,0.00023668242116519495
7,0.06418947293854936,0.9885907997375517,-0.0017180488190348397
8,0.06311633496335302,0.9885543486185024,-0.0006449108438384976
9,0.0671686067836294,0.9874243639279725,-0.004697182664114882
10,0.06361820361206802,0.9887001530946999,-0.0011467794925534985
11,0.06644129496287351,0.9886272508566011,-0.003969870843358994
12,0.06350516785110558,0.9885361230589778,-0.0010337437315910553
13,0.06389346836171933,0.9888277320113726,-0.001422044242204809
14,0.06437461103988153,0.9885178974994531,-0.001903186920367006
15,0.0650403347750932,0.9870963038565281,-0.0025689106555786823
16,0.06384995670592444,0.9878982284756139,-0.0013785325864099224
17,0.06406566085730449,0.9886272508566011,-0.0015942367377899669
18,0.06323442408550325,0.9896296566304584,-0.0007629999659887338
19,0.06585646348399712,0.9894291754756869,-0.0033850393644826032
20,0.06525400419383952,0.9894474010352116,-0.0027825800743249973
21,0.06858833464701188,0.9872056572136764,-0.0061169105274973545
22,0.0631567705085261,0.9896296566304584,-0.0006853463890115763
23,0.06107081754053814,0.9888824086899467,0.0014006065789763794
24,0.06235954068036181,0.9898665889042793,0.00011188343915271431
25,0.06316307041103461,0.9898848144638038,-0.0006916462915200899
26,0.06307462661759088,0.9900123933804765,-0.0006032024980763551
27,0.061868616860468115,0.9903769045709704,0.0006028072590464062
28,0.06315032615561296,0.9891375665232921,-0.0006789020360984388
29,0.06358580818513739,0.9869687249398554,-0.0011143840656228643
30,0.06413504305116302,0.9889188598089961,-0.0016636189316485
31,0.06432537961229501,0.9883720930232557,-0.0018539554927804874
32,0.06280790834422072,0.9890464387256688,-0.0003364842247061961
33,0.06479486532507056,0.988299190785157,-0.00232344120555604
34,0.06382535950639641,0.9888459575708974,-0.0013539353868818882
35,0.06653820360735527,0.9870598527374789,-0.0040667794878407465
36,0.06060859656708031,0.9892651454399648,0.0018628275524342139
37,0.06403857867330415,0.9883356419042063,-0.0015671545537896264
38,0.06331158169198903,0.9883174163446816,-0.0008401575724745064
39,0.06338682522759911,0.9899394911423779,-0.0009154011080845931
40,0.06402637588267912,0.988353867463731,-0.0015549517631645998
41,0.06553849126371868,0.9885907997375517,-0.0030670671442041553
42,0.06334303295461116,0.9876066195232193,-0.0008716088350966406
43,0.06351735242248573,0.9886272508566011,-0.0010459283029712052
44,0.06318201482409373,0.988572574178027,-0.0007105907045792115
45,0.06333738800227293,0.9880440329518115,-0.0008659638827584054
46,0.06609615224698427,0.9879164540351388,-0.0036247281274697507
47,0.06424402951894542,0.9889188598089961,-0.0017726053994309016
48,0.06528486192682463,0.9883720930232557,-0.0028134378073101096
49,0.0635777041428425,0.9878982284756139,-0.0011062800233279796
50,0.0637114605084565,0.988463220820879,-0.0012400363889419758
51,0.06627499131688568,0.9871509805351023,-0.003803567197371155
52,0.06480625419113331,0.9889553109280453,-0.0023348300716187903
53,0.06394009783483202,0.9881716118684843,-0.0014686737153175033
54,0.06618348968368955,0.9870963038565281,-0.0037120655641750266
55,0.06636644411656502,0.9874790406065466,-0.0038950199970504973
56,0.06485775704304272,0.9885361230589778,-0.0023863329235282033
57,0.063788308431351,0.9888459575708974,-0.0013168843118364776
58,0.0649451977963992,0.9875337172851205,-0.0024737736768846857
