variable,spearman_residual_variable,pearson_residual_variable
A_inferred,-0.7569218390327084,-0.7608370427985693
log_M_baryon,-0.022763723846322078,-0.027235810228280866
log_Rdisk,-0.08509591288456493,-0.03889805566803233
log_v_newton,-0.011226944667201283,-0.005656549643549052
log_Sigma_b,0.030965225632426912,0.006111218598654003
f_gas,0.006415396952686447,0.008557245929435223
RHI_over_Rdisk,0.06564966192061278,0.00988156328390208
D_maturity,0.03151199241816723,0.0026033125323446297
R_reservoir,0.010789531238609023,0.027191761420883177
