galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,Mbar_msun,logMbar,logVflat,btfr_intercept,btfr_slope,btfr_pred_logV,btfr_residual_dex,btfr_abs_residual,btfr_mcgaugh2012_residual_dex,btfr_mcgaugh2012_abs_residual,sparc_current_org_proxy,sparc_current_org_proxy_quartile
UGC07399,1.0,8.0,103.0,3.3,1.156,0.745,1.64,7.85,1.27,113.98,135.78,8.43,55.0,"Sw09,Sw02",1568850000.0,9.19558142205319,2.012837224705172,-0.5113052299953077,0.2597665671999075,1.877399389418693,0.1354378352864786,0.1354378352864786,0.1386843702758793,0.1386843702758793,0.5890429538657511,Q2
UGC07524,1.0,9.0,79.5,3.6,2.436,1.779,3.46,12.11,3.61,29.71,106.86,4.74,46.0,"Sw09,Sw02",3584070000.0,9.554376483221354,1.9003671286564705,-0.5113052299953077,0.2597665671999075,1.970602350786628,-0.0702352221301576,0.0702352221301576,-0.0634844910648635,0.0634844910648635,0.614588499931609,Q2
UGC07603,1.0,7.0,61.6,2.8,0.376,0.258,0.53,4.37,0.85,81.81,520.99,4.7,78.0,"Sw09,Sw02",531140000.0,8.725209009242763,1.7895807121644254,-0.5113052299953077,0.2597665671999075,1.755212362437391,0.0343683497270344,0.0343683497270344,0.0330209609377394,0.0330209609377394,0.5300878899303098,Q1
UGC08286,1.0,6.0,82.4,2.3,1.255,0.642,1.05,8.07,2.25,39.52,1488.78,6.5,90.0,"Sw09,Sw02",1481360000.0,9.170660613561282,1.915927211697116,-0.5113052299953077,0.2597665671999075,1.870925796544904,0.045001415152212,0.045001415152212,0.0480045593908,0.0480045593908,0.6067683164514719,Q2
UGC08490,1.0,9.0,78.6,3.8,1.017,0.72,0.67,7.8,1.14,124.98,576.54,4.65,50.0,"Sw09,Sw02",1466100000.0,9.166163593747834,1.895422546039408,-0.5113052299953077,0.2597665671999075,1.869757621145335,0.025664924894073,0.025664924894073,0.028624148686454,0.028624148686454,0.4229253056519908,Q1
UGC08550,1.0,7.0,56.9,1.9,0.289,0.288,0.45,5.59,1.01,45.38,1284.78,6.7,90.0,"Sw09,Sw02",527540000.0,8.722255395004163,1.7551122663950711,-0.5113052299953077,0.2597665671999075,1.7544451122057971,0.0006671541892739,0.0006671541892739,-0.000709081271965,0.000709081271965,0.4155055698176395,Q1
UGC09133,1.0,2.0,226.8,4.2,282.926,33.428,6.97,60.35,5.92,1284.78,864.63,57.1,53.0,"No07,No05",185922240000.0,11.269331343142351,2.355643050220869,-0.5113052299953077,0.2597665671999075,2.416090287651104,-0.0604472374302349,0.0604472374302349,-0.0369472844807146,0.0369472844807146,0.6245825187722419,Q2
UGC10310,1.0,9.0,71.4,3.9,1.741,1.196,1.8,9.58,3.12,28.37,158.79,15.2,34.0,"Sw09,Sw02",2461180000.0,9.391143377273732,1.8536982117761744,-0.5113052299953077,0.2597665671999075,1.928199847201236,-0.0745016354250611,0.0745016354250611,-0.0693451314582538,0.0693451314582538,0.5750962577113155,Q2
UGC11455,1.0,6.0,269.4,7.4,374.322,13.335,5.93,43.44,10.06,571.26,9568.2,78.6,90.0,SG06,204896550000.0,11.311534645914245,2.430397591386966,-0.5113052299953077,0.2597665671999075,2.427053294736657,0.0033442966503089,0.0033442966503089,0.0272564309924105,0.0272564309924105,0.800355161375306,Q4
UGC11914,1.0,2.0,288.1,10.5,150.028,0.888,2.44,9.26,3.12,2425.66,3168.33,16.9,31.0,"No07,No05",76195040000.0,10.881926701382376,2.459543258280413,-0.5113052299953077,0.2597665671999075,2.3154555137438053,0.1440877445366077,0.1440877445366077,0.1638040840188237,0.1638040840188237,0.883668616733969,Q4
UGC12632,1.0,9.0,71.7,2.8,1.301,1.744,2.42,12.6,3.94,13.09,66.81,9.77,46.0,"Sw09,Sw02",2970020000.0000005,9.472759373849332,1.8555191556678,-0.5113052299953077,0.2597665671999075,1.9494009544602784,-0.0938817987924787,0.0938817987924787,-0.0879281867105281,0.0879281867105281,0.5140639616812338,Q1
UGCA442,1.0,9.0,56.4,2.1,0.14,0.263,1.18,4.37,1.71,7.6,116.1,4.35,64.0,Co00,419790000.00000006,8.623032088852037,1.7512791039833422,-0.5113052299953077,0.2597665671999075,1.728670214580434,0.0226088894029081,0.0226088894029081,0.0202635828543376,0.0202635828543376,0.5745577298130391,Q2
