variant,Q4_scatter,Q1_scatter,Q4_Q1_ratio,N_Q4,N_Q1,spearman_rho,spearman_p,N,bootstrap_Q4_Q1_ratio,bootstrap_Q4_Q1_ci_95_low,bootstrap_Q4_Q1_ci_95_high,n_bootstrap
full,0.0550202781457659,0.13398308315982826,0.41065093329829017,80,80,-0.21313245246535611,0.00012206372167265573,320,0.40675344603400443,0.25164554554895296,0.6294546876590953,1000
incl_fatm_no_w50,0.0595636286210192,0.09479996615035095,0.6283085431333637,80,80,-0.14150455570855183,0.011271445834529145,320,0.6021831126493015,0.29170052425941656,1.0541326323404223,1000
w50_fatm_no_incl,0.06106831914282,0.13289224933546287,0.4595325871011776,80,80,-0.046955292532153636,0.40251576695703634,320,0.48471032864208263,0.3141256989103766,0.7436314043586055,1000
incl_only,0.05790807572642803,0.12622961441377553,0.45875190220107714,90,90,-0.3517971966691154,5.150509134441335e-12,363,0.454859312479671,0.20682402745191833,0.8102708739308585,1000
w50_only,0.06895620424103953,0.14340163022598992,0.48086067175366043,90,90,-0.23741922779312885,4.798759785959446e-06,363,0.4706001448661448,0.32209854469840415,0.679038054905322,1000
gas_only,0.12509848556222658,0.08134396882021269,1.5378950323744418,80,80,0.2250996103477573,4.840185159610502e-05,320,1.7571777798486798,0.9419434679225929,2.9445765566031166,1000
no_raw_w50,0.0595636286210192,0.09479996615035095,0.6283085431333637,80,80,-0.14150455570855183,0.011271445834529145,320,0.6021831126493015,0.29170052425941656,1.0541326323404223,1000
no_incl,0.06106831914282,0.13289224933546287,0.4595325871011776,80,80,-0.046955292532153636,0.40251576695703634,320,0.48471032864208263,0.3141256989103766,0.7436314043586055,1000
no_gas,0.04010118718827459,0.1381440267037074,0.29028535033428543,90,90,-0.35331393869816774,4.114546253993211e-12,363,0.30622794530482134,0.19964857195110844,0.45430786044586097,1000
