galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,Mbar_msun,logMbar,logVflat,btfr_intercept,btfr_slope,btfr_pred_logV,btfr_residual_dex,btfr_abs_residual,btfr_mcgaugh2012_residual_dex,btfr_mcgaugh2012_abs_residual
D631-7,1.0,10.0,57.7,2.7,0.196,0.29,0.7,0.0,1.22,20.93,115.04,7.72,59.0,"Tr09,dB01",483700000.0,8.684576087388455,1.7611758131557314,-0.5113052299953077,0.25976656719990754,1.7446572878119957,0.016518525343735657,0.016518525343735657,0.01477429239262218,0.01477429239262218
DDO064,1.0,10.0,46.1,3.9,0.157,0.211,0.69,3.49,1.2,17.41,151.65,6.8,60.0,"dB02,Sw02",359130000.0,8.555251685522226,1.6637009253896482,-0.5113052299953077,0.25976656719990754,1.7110631318840235,-0.04736220649437528,0.04736220649437528,-0.05036949490690357,0.05036949490690357
DDO161,1.0,10.0,66.3,1.9,0.548,1.378,1.22,10.69,2.04,20.74,169.37,7.5,70.0,Co00,2106740000.0,9.32361094114549,1.8215135284047728,-0.5113052299953077,0.25976656719990754,1.9106571780935555,-0.08914364968878274,0.08914364968878274,-0.08464670579759481,0.08464670579759481
ESO079-G014,1.0,4.0,175.0,3.5,51.733,3.14,5.08,17.67,7.23,157.34,2295.25,28.7,79.0,Ge04,30042700000.0,10.477738961035453,2.2430380486862944,-0.5113052299953077,0.25976656719990754,2.2104610519295975,0.0325769967566969,0.0325769967566969,0.048345809511435966,0.048345809511435966
ESO116-G012,1.0,7.0,109.1,3.1,4.292,1.083,1.51,9.58,2.75,90.54,1320.78,13.0,74.0,Ge04,3586390000.0,9.554657514907792,2.037824750588342,-0.5113052299953077,0.25976656719990754,1.9706753534230885,0.06714939716525326,0.06714939716525326,0.0739028729453981,0.0739028729453981
ESO563-G021,1.0,4.0,314.6,11.7,311.177,24.298,5.45,55.71,10.59,429.37,6558.89,60.8,83.0,SG06,187904840000.0,11.273937966679668,2.497758718287268,-0.5113052299953077,0.25976656719990754,2.417286934433775,0.08047178385349296,0.08047178385349296,0.10401672770135573,0.10401672770135573
F563-1,1.0,9.0,109.9,12.5,1.903,3.2,3.52,23.47,4.61,14.22,41.77,48.9,25.0,"KN08,dB96",5207500000.0,9.716629278619784,2.0409976924234905,-0.5113052299953077,0.25976656719990754,2.0127502024658677,0.02824748995762283,0.02824748995762283,0.0365828738525491,0.0365828738525491
F563-V2,1.0,10.0,116.6,9.4,2.986,2.169,2.43,11.37,4.49,23.6,146.16,59.7,29.0,"dB01,dB96",4377770000.0,9.641252940796385,2.0666985504229958,-0.5113052299953077,0.25976656719990754,1.9931699499413824,0.07352860048161336,0.07352860048161336,0.08112781630790433,0.08112781630790433
F568-V1,1.0,7.0,112.3,15.8,3.825,2.491,2.85,14.38,4.4,31.39,90.54,80.6,40.0,"dB01,dB96",5225530000.0,9.718130345386385,2.050379756261458,-0.5113052299953077,0.25976656719990754,2.013140129426965,0.03723962683449278,0.03723962683449278,0.045589670998866794,0.045589670998866794
F571-8,1.0,5.0,139.7,4.3,10.164,1.782,3.56,24.55,1.4,825.71,87.26,53.3,85.0,"dB01,dB96",7452060000.0,9.872276342945089,2.1451964061141817,-0.5113052299953077,0.25976656719990754,2.053182106060395,0.09201430005378652,0.09201430005378652,0.1018698214619147,0.1018698214619147
F574-1,1.0,7.0,97.8,4.1,6.537,3.524,4.46,16.19,5.87,29.98,128.48,96.8,65.0,"dB01,dB96",7955420000.000001,9.90066311281571,1.9903388547876013,-0.5113052299953077,0.25976656719990754,2.06055603982358,-0.07021718503597874,0.07021718503597874,-0.06008442233232136,0.06008442233232136
F579-V1,1.0,5.0,112.1,13.4,11.848,2.245,3.37,20.96,5.76,56.6,201.76,89.5,26.0,"dB01,dB96",8909850000.0,9.949870392620417,2.049605612594973,-0.5113052299953077,0.25976656719990754,2.073338445979694,-0.023732833384721097,0.023732833384721097,-0.01311948447612643,0.01311948447612643
F583-1,1.0,9.0,85.8,3.6,0.986,2.126,2.36,15.65,3.74,11.19,60.93,35.4,63.0,"KN08,dB96",3320580000.0,9.521213947800288,1.9334872878487053,-0.5113052299953077,0.25976656719990754,1.9619878328006526,-0.028500544951947315,0.028500544951947315,-0.022073698017361698,0.022073698017361698
IC4202,1.0,4.0,242.6,11.0,179.749,12.326,4.78,32.13,8.55,391.59,8888.53,100.4,90.0,SG06,106268080000.0,11.02640283402812,2.384890796530554,-0.5113052299953077,0.25976656719990754,2.352985582763509,0.031905213767045026,0.031905213767045026,0.053032589107528505,0.053032589107528505
NGC0024,1.0,5.0,106.3,7.9,3.889,0.676,1.34,7.29,2.01,151.65,1182.58,7.3,64.0,"Di08,Ch06",2843580000.0,9.453865451005566,2.0265332645232967,-0.5113052299953077,0.25976656719990754,1.9444929449822137,0.08204031954108304,0.08204031954108304,0.08780940285590999,0.08780940285590999
NGC0100,1.0,6.0,88.1,6.4,3.232,1.99,1.66,16.36,2.81,64.99,1193.52,13.5,89.0,"dB02,Rh96",4262700000.0,9.6296847689762,1.944975908412048,-0.5113052299953077,0.25976656719990754,1.990164925658874,-0.04518901724682611,0.04518901724682611,-0.037702782747997654,0.037702782747997654
NGC0801,1.0,5.0,220.1,6.2,312.57,23.201,8.72,44.99,7.76,818.14,1558.94,80.7,80.0,"Sa96,Br92",187142330000.0,11.27217203232174,2.342620042553348,-0.5113052299953077,0.25976656719990754,2.416828203727716,-0.07420816117436768,0.07420816117436768,-0.05068046444308205,0.05068046444308205
NGC0891,1.0,3.0,216.1,5.7,138.34,4.462,2.55,18.16,3.68,1617.45,5067.92,9.91,90.0,Fr11,75104460000.0,10.875665727894663,2.3346547668832414,-0.5113052299953077,0.25976656719990754,2.3138291221535727,0.020825644729668635,0.020825644729668635,0.04048083599358021,0.04048083599358021
NGC1003,1.0,6.0,109.8,4.2,6.82,5.88,1.61,33.33,2.76,140.87,1345.33,11.4,67.0,"Sa96,Br92",11230400000.0,10.050395225068138,2.040602340114073,-0.5113052299953077,0.25976656719990754,2.0994514366229846,-0.05884909650891146,0.05884909650891146,-0.04725396506895674,0.04725396506895674
NGC1090,1.0,4.0,164.4,3.7,72.045,8.783,3.53,30.49,6.36,283.68,2055.09,37.0,64.0,Ge04,47703890000.0,10.678553794902832,2.215901813204032,-0.5113052299953077,0.25976656719990754,2.2626260319661466,-0.046724218762114855,0.046724218762114855,-0.028994134437671626,0.028994134437671626
NGC2403,1.0,6.0,131.2,4.9,10.041,3.199,1.39,15.11,2.16,341.06,1408.74,3.16,63.0,"Da06,Fr02",9275170000.0,9.967321878328628,2.1179338350396413,-0.5113052299953077,0.25976656719990754,2.077871758514654,0.040062076524987056,0.040062076524987056,0.05084586654148904,0.05084586654148904
NGC2841,1.0,3.0,284.8,8.6,188.121,9.775,3.64,45.12,5.51,983.63,4751.49,14.1,76.0,"Di08,Be91",107061250000.0,11.0296323097081,2.4545399849648186,-0.5113052299953077,0.25976656719990754,2.353824492574753,0.10071549239006572,0.10071549239006572,0.12187440862179821,0.12187440862179821
NGC2903,1.0,4.0,184.6,5.6,81.863,2.552,2.33,13.76,4.54,632.16,1193.52,6.6,66.0,"Be91,Be87",44325660000.0,10.646655210876997,2.266231696689893,-0.5113052299953077,0.25976656719990754,2.2543398462952173,0.011891850394675885,0.011891850394675885,0.029310395054649163,0.029310395054649163
NGC2998,1.0,5.0,209.9,8.1,150.902,23.451,6.2,43.58,7.06,479.55,774.16,68.1,58.0,"Sa96,Br92",106640830000.0,11.027923516591636,2.3220124385824006,-0.5113052299953077,0.25976656719990754,2.353380605252834,-0.03136816667043352,0.03136816667043352,-0.01022593948150341,0.01022593948150341
NGC3109,1.0,9.0,66.2,2.6,0.194,0.477,1.56,6.0,1.64,11.4,140.87,1.33,70.0,"Be91,JC90",731410000.0,8.864160893813251,1.8208579894397,-0.5113052299953077,0.25976656719990754,1.7913074164982246,0.02955057294147534,0.02955057294147534,0.029560267070391832,0.029560267070391832
