variant,Q4_scatter,Q1_scatter,Q4_Q1_ratio,N_Q4,N_Q1,spearman_rho,spearman_p,N
full,0.0550202781457659,0.13398308315982826,0.41065093329829017,80,80,-0.21313245246535611,0.00012206372167265573,320
incl_only,0.05790807572642803,0.12622961441377553,0.45875190220107714,90,90,-0.3517971966691154,5.150509134441335e-12,363
w50_only,0.06895620424103953,0.14340163022598992,0.48086067175366043,90,90,-0.23741922779312885,4.798759785959446e-06,363
gas_only,0.12509848556222658,0.08134396882021269,1.5378950323744418,80,80,0.2250996103477573,4.840185159610502e-05,320
