variant,Q4_scatter,Q1_scatter,Q4_Q1_ratio,N_Q4,N_Q1,spearman_rho,spearman_p,N,bootstrap_Q4_Q1_ratio,bootstrap_Q4_Q1_ci_95_low,bootstrap_Q4_Q1_ci_95_high,n_bootstrap
full,0.0550202781457659,0.1339830831598282,0.4106509332982901,80,80,-0.2131324524653561,0.0001220637216726,320,0.4067534460340044,0.2516455455489529,0.6294546876590953,1000
incl_fatm_no_w50,0.0595636286210192,0.0947999661503509,0.6283085431333637,80,80,-0.1415045557085518,0.0112714458345291,320,0.6021831126493015,0.2917005242594165,1.0541326323404223,1000
w50_fatm_no_incl,0.06106831914282,0.1328922493354628,0.4595325871011776,80,80,-0.0469552925321536,0.4025157669570363,320,0.4847103286420826,0.3141256989103766,0.7436314043586055,1000
incl_only,0.057908075726428,0.1262296144137755,0.4587519022010771,90,90,-0.3517971966691154,5.150509134441335e-12,363,0.454859312479671,0.2068240274519183,0.8102708739308585,1000
w50_only,0.0689562042410395,0.1434016302259899,0.4808606717536604,90,90,-0.2374192277931288,4.798759785959446e-06,363,0.4706001448661448,0.3220985446984041,0.679038054905322,1000
gas_only,0.1250984855622265,0.0813439688202126,1.5378950323744418,80,80,0.2250996103477573,4.840185159610502e-05,320,1.7571777798486798,0.9419434679225928,2.944576556603117,1000
no_gas,0.0401011871882745,0.1381440267037074,0.2902853503342854,90,90,-0.3533139386981677,4.114546253993211e-12,363,0.3062279453048213,0.1996485719511084,0.4543078604458609,1000
