f_star_c,k_star,log10_sigma_c,k_sigma,f_gas_c,k_gas,RHI_Rd_c,k_HI,drive_power,A0,lambda_seed,lambda_feedback,lambda_reservoir,disturbance_weight,failed_weight,n_steps,tau_final,n_primary_fit,n_mature_control,primary_fit_rmse,primary_fit_spearman,primary_cv_rmse,primary_cv_spearman,train_fit_rmse,train_fit_spearman,m37_static_primary_rmse,m37_static_primary_spearman,mature_control_median_A_pred,mature_control_fraction_A_pred_gt_0p5,ugc07125_A_pred,rank_score
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.1,2.0,10.0,1.75,0.4,0.4,80,1.0,41,46,0.4110725014768682,-0.3004461373279816,,,0.4110725014768682,-0.3004461373279816,0.5117710280218454,-0.3627661375280108,0.9762853215133855,0.9565217391304348,0.6009421378375862,0.4200858855967076
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,4.0,0.0,1.75,0.4,0.4,80,1.0,41,46,0.4072817936892022,-0.42809591046497314,,,0.4072817936892022,-0.42809591046497314,0.5117710280218454,-0.3627661375280108,0.9664826383118732,1.0,0.5354142570900576,0.4201246710031514
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.1,4.0,4.0,1.25,0.4,0.4,80,1.0,41,46,0.4076923649083468,-0.42508613772804,,,0.4076923649083468,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9935388134866323,1.0,0.5928368485353963,0.42044494904018803
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,2.0,0.0,0.5,0.4,0.4,80,1.0,41,46,0.4092808222239838,-0.3905622739808647,,,0.4092808222239838,-0.3905622739808647,0.5117710280218454,-0.3627661375280108,0.8517276921466613,1.0,0.4867885223516334,0.42099769044340973
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.05,0.75,10.0,0.5,0.4,0.4,80,1.0,41,46,0.4139331899858102,-0.2742434099711511,,,0.4139331899858102,-0.2742434099711511,0.5117710280218454,-0.3627661375280108,0.9909456445706606,0.9347826086956522,0.666308627514281,0.42216049228494473
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,4.0,0.0,1.75,0.4,0.4,80,1.0,41,46,0.40967103605645216,-0.42508613772804,,,0.40967103605645216,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9654257675834557,1.0,0.5324747269266817,0.4224236201882934
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.05,4.0,4.0,1.75,0.4,0.4,80,1.0,41,46,0.4143669422263015,-0.3000920464177541,,,0.4143669422263015,-0.3000920464177541,0.5117710280218454,-0.3627661375280108,0.962593032210629,0.9565217391304348,0.5515729418426273,0.42336970361883414
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,0.75,4.0,0.5,0.4,0.4,80,1.0,41,46,0.4127142084998684,-0.3905622739808647,,,0.4127142084998684,-0.3905622739808647,0.5117710280218454,-0.3627661375280108,0.9558266888039414,1.0,0.5074941740963327,0.4244310767192943
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.1,0.75,10.0,0.5,0.4,0.4,80,1.0,41,46,0.4127509440095223,-0.39782113764052723,,,0.4127509440095223,-0.39782113764052723,0.5117710280218454,-0.3627661375280108,0.9981033551498723,1.0,0.6347952655198817,0.4246855781387381
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.1,2.0,4.0,0.5,0.4,0.4,80,1.0,41,46,0.4136091354495551,-0.3942802285382528,,,0.4136091354495551,-0.3942802285382528,0.5117710280218454,-0.3627661375280108,0.9884380956712043,1.0,0.5452312740011567,0.42543754230570263
