model,features,rmse_logV,mae_logV,spearman_pred_obs,pearson_pred_obs
m26_best_proxy_activation,log_vnewton;log_mass;log_rdisk;eta_m26_best,0.06443833681587015,0.05180777130872816,0.944393817890209,0.9571142529602489
baryonic_baseline,log_vnewton;log_mass;log_rdisk;log10_Sigma_b,0.06494873936443459,0.05219125860418732,0.9404206459138295,0.9563010441331403
m26_noJ_activation,log_vnewton;log_mass;log_rdisk;eta_noJ,0.0653009060805639,0.05247065713678244,0.9426623897353648,0.9559479273392926
newton_only,log_vnewton,0.07572079915294404,0.06036666219484934,0.9331304221039586,0.9399820083911431
