proxy_name,rho_median,rho_p05,rho_mean,rmse_median,pred_std_median,n
J_size_mass,0.4918942447907338,0.43806646095925655,0.49247603605234863,0.2986056290506902,0.2970240131198494,24
J_newton_lambda,0.4695762756883165,0.3923362988757143,0.46133005000244753,0.30544613933322984,0.30509156414446,24
J_mix_newton_lambda,0.4652550496118518,0.4065552773095811,0.466102639626322,0.30350028203395074,0.31292931784016875,24
J_surface_compactness_inverse,0.46223429812017314,0.3488374773955419,0.4477488364731432,0.3079357174992032,0.30584475908973097,24
J_hi_newton_lambda,0.4264780916416326,0.3430323413718054,0.4188923701527734,0.3091214651340731,0.2905859405643852,24
J_dyn_frequency,0.4113834603206765,0.31968494396648367,0.401816226240788,0.3192558349445036,0.2813963116291252,24
J_gas_extent,0.4112693836027128,0.29737108162591314,0.39958336461451194,0.3163602834457006,0.28957056696829836,24
no_J_baseline,0.4086045514710809,0.3320029479722035,0.40078763450048194,0.31797649112339876,0.24622951920695385,24
