mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,n,endpoint_delta,repeat
0.07808975912347173,0.2794454492803054,0.5096308928997291,0.5237141722571618,0.5094735068597999,0.5243951241560962,-0.030090721695992473,1.2945103497914712,0.2301076616675578,0.2168699095948856,87,0.1,0
0.08973239655677873,0.29955366223229307,0.48241675106230997,0.44648276027362643,0.47866151734953083,0.44870557371345027,-0.18805531513213847,1.3894164749351297,0.24969658421730406,0.2227305748848229,87,0.1,1
0.0750354012016146,0.2739259045829996,0.5481158144719612,0.5432098574841678,0.5479586037855377,0.5441643124506821,0.004349295054373009,1.0952519218893237,0.21490128915193343,0.21015000305371095,87,0.1,2
0.08400343508147677,0.28983346094175666,0.48050938833795703,0.48060734544478373,0.48050938833795703,0.4820064075410886,-0.05041387131140272,1.5344318289919219,0.2399648109867811,0.21550626109837687,87,0.1,3
0.08178116636390573,0.2859740658939298,0.48192393964070684,0.49035061906542304,0.4817664273562334,0.4918113077189685,0.03511734791343693,1.2024505768710139,0.22106011259648553,0.20955575015389388,87,0.1,4
0.0797907517572122,0.2824725681499218,0.5086087655067744,0.5101569557235055,0.5086087655067744,0.5083746535804539,0.013250779676823005,1.261017614771577,0.22230860921302903,0.21237822375345772,87,0.1,5
0.0798589609574919,0.2825932783303451,0.5106530202926838,0.5043679003779039,0.5102150521255712,0.5153770314546987,-0.1400940575068739,1.4733002396175274,0.2470757096587782,0.22096445840502923,87,0.1,6
0.0883974714056413,0.29731712262438115,0.4437858112910844,0.46400893692727113,0.44342780339041316,0.4597547276269792,-0.11923265264065194,1.4625873168998782,0.2557167265103428,0.2246634230551643,87,0.1,7
0.08185003557181005,0.2860944521863541,0.5136646456469254,0.5235224669022821,0.5139100330185503,0.5220543230437492,-0.11817952052668829,1.3308182403079436,0.26312588831073935,0.24255673651174098,87,0.25,0
0.09119815047740146,0.30199031520464603,0.4859850708002144,0.45233948995639034,0.48799933369499876,0.4650187406126259,-0.31222413359250323,1.4519343462475038,0.28686197716993156,0.24421172502293018,87,0.25,1
0.07825957945714213,0.27974913665129,0.5465826233825292,0.5419840391448852,0.5466909026519777,0.5431544096928465,-0.0854849478687133,1.13822784570705,0.24802131958872384,0.2363090596854907,87,0.25,2
0.08688859346780506,0.29476871181963166,0.48849475859541575,0.49584773021446077,0.488920814109125,0.494888221985148,-0.08919369547925524,1.6205153896513351,0.2756136492939708,0.24606486057448868,87,0.25,3
0.08626296631142762,0.293705577596728,0.48721709935422225,0.48875274860313217,0.48744266860470703,0.4888626992646202,-0.056105497176160146,1.2401833091247356,0.2547373231136243,0.2386221950516674,87,0.25,4
0.0838263155591214,0.2895277457500773,0.5158549186318282,0.5135273405712287,0.5158869982301573,0.5114716686194233,-0.07229568936444647,1.2989633950681347,0.26030590651561025,0.24577884410710724,87,0.25,5
0.08300761032369175,0.2881104134245962,0.5157727833948944,0.5129072283077665,0.5177742097455261,0.5214754988902723,-0.18231281116695275,1.537993368116311,0.28143122562327594,0.248704889247798,87,0.25,6
0.09342824500867045,0.30566034255145114,0.44627724681141145,0.46756888228780374,0.44566890297163775,0.45626621390559885,-0.24480643020721887,1.5112607237014632,0.2918217745641722,0.24807888655287372,87,0.25,7
0.0852665279350609,0.29200432862384235,0.5081707109097938,0.5221403732278602,0.5054461406749273,0.5170192926812315,-0.17690538641381898,1.3550235006522584,0.28583647017054764,0.2572318872724277,87,0.35,0
0.09295140890535032,0.3048793349923053,0.48721709935422225,0.45476083201822365,0.4908072679744374,0.4709658125142555,-0.39500334589941344,1.4936129271224197,0.31212345180092615,0.2570736412620541,87,0.35,1
0.08137702931665032,0.2852665934115846,0.5471666961785032,0.5405315619833685,0.5461661360281622,0.5402527636315179,-0.14537444315077075,1.1668784615855383,0.2705022342620281,0.252026022185177,87,0.35,2
0.08891902922131727,0.2981929395899864,0.4992453484963143,0.5031314246464033,0.5010801081669102,0.5030536680643987,-0.11504691159115388,1.6779044300909451,0.29989136588833964,0.26289427435473556,87,0.35,3
0.09032674752457445,0.3005440858253152,0.48666953110799654,0.4868955639115466,0.4873746221568106,0.4830959904234256,-0.11692072723589209,1.265338463960552,0.277762445833887,0.25502969720126695,87,0.35,4
0.08807445362172231,0.2967734045053942,0.5198430406918391,0.513840509162094,0.5207635101314454,0.507303204402176,-0.12932666872529258,1.324260581932507,0.28643546330828645,0.26456019885394216,87,0.35,5
0.08613948775586763,0.29349529426528737,0.5162838470913718,0.516542462076907,0.5199745324599734,0.5190681899560456,-0.2104586469403369,1.5811221204488413,0.30491616232197505,0.2629338659347127,87,0.35,6
0.09789092691056472,0.31287525774750025,0.45106846896588665,0.4687046734332396,0.44779837529631905,0.45184784416581514,-0.32852228191825883,1.5437096615691899,0.3164211475973036,0.2637914504215011,87,0.35,7
0.09055840877192069,0.30092924213495886,0.5075318812891971,0.5192162977256981,0.5028610525133009,0.5117844796452544,-0.2649941852445147,1.3913313911687297,0.3206533241354,0.2776748399055752,87,0.5,0
0.09674358289262565,0.3110363047822965,0.49050250883157676,0.457061923588118,0.4939027779994298,0.4761742142334703,-0.5191721643597825,1.556130798434794,0.3505330298886545,0.2764091919191402,87,0.5,1
0.08604531090174315,0.2933348102454653,0.539984426015509,0.5380057056826704,0.5425921307475713,0.5329571259484603,-0.23836053282371017,1.218925773855928,0.3046474998420818,0.2685437332917774,87,0.5,2
0.09211513012327519,0.3035047448117989,0.5026493977603509,0.5112544496533549,0.49966862699352405,0.5077448317363688,-0.17867446808988574,1.7639879907503593,0.3368544212873816,0.28034207661642696,87,0.5,3
0.09696368281167592,0.3113899208575575,0.4873357391409046,0.4836826776011166,0.48240031303838904,0.475295974133654,-0.2335773172585322,1.3052473521369996,0.31290743598592013,0.2772193119011601,87,0.5,4
0.09421534600077412,0.30694518403254695,0.5124873739175401,0.512933801905819,0.5056536999999082,0.5040096032516587,-0.2148731377665628,1.362206362229064,0.3264438028590948,0.28826055443384757,87,0.5,5
0.09166941428642995,0.30276957292044715,0.5154989992717816,0.5200883232375834,0.5200871996588796,0.5098382556932474,-0.2526774006004152,1.6458152489476228,0.3407751919678951,0.28004556030233435,87,0.5,6
0.10306923858113319,0.3210439823157151,0.4446162897978601,0.46935023263710307,0.444920155515274,0.45064526257617943,-0.4540960594848234,1.5923830683707731,0.3538935183995516,0.2821925639665446,87,0.5,7
0.0994658954177343,0.31538214188145514,0.49901719506038694,0.5136554627494615,0.4882984622205011,0.5014938286573933,-0.4351472875252054,1.4518445420295176,0.3800690611227286,0.3034335448227753,87,0.75,0
0.10426040632751045,0.32289380038568477,0.49836923930235316,0.45889452638623424,0.5020624265065176,0.478857549832082,-0.7261201951270617,1.6603272506220879,0.4155020172168062,0.30452584787142634,87,0.75,1
0.09269519124278261,0.3044588498348876,0.5385242440255736,0.5337133583508382,0.5248336495086827,0.5263287234230115,-0.3936567328376833,1.3299490176020865,0.3623304282411087,0.2902368635080089,87,0.75,2
0.09911502842605333,0.3148253935534002,0.5120401931831223,0.520130528502759,0.5041916299950503,0.5085226144999851,-0.3147158203827096,1.9074605918493839,0.3994655759136386,0.30677576111547933,87,0.75,3
0.10735425108849463,0.32764958582072806,0.485656529852479,0.4782523613994285,0.4839254716321779,0.4666420549000075,-0.43635235738564015,1.4230936883324634,0.37259041563942996,0.30684069516717444,87,0.75,4
0.10436026477631728,0.3230483938612252,0.513728528608985,0.5099735494624442,0.5113750558771705,0.4985783419011568,-0.4056090700149996,1.4254493293899904,0.3945575650391489,0.3190052417296383,87,0.75,5
0.1005285905579834,0.31706243952569246,0.5196331395307858,0.5230452144813409,0.5015124465684001,0.5026233465912904,-0.35627500248224386,1.753637129778932,0.4017210762510472,0.3071896920180779,87,0.75,6
