mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,n,proxy_name,repeat,uses_observed_Vflat_in_activation
0.0908841576009923,0.3014699945284643,0.4757911752829786,0.448166541373289,0.4793966092080088,0.4907002880791837,-0.7805857540564753,1.7183056436727513,0.3347522531391643,0.2593885158498357,87,J_newton_lambda,0,False
0.10524055900913722,0.324408013170355,0.413295386113748,0.4237731108908396,0.4116580664435528,0.41451841588582594,-0.15029549549873264,1.5510562955050458,0.30517956508860916,0.26710693636444705,87,J_newton_lambda,1,False
0.0938530993588619,0.306354532133706,0.46560640590317987,0.46869240727617145,0.464121972590003,0.46974803051826375,-0.06962727296753392,1.751014471757351,0.30145706174011194,0.25913135924007463,87,J_newton_lambda,2,False
0.10079890661241013,0.3174884353994805,0.43424899766931957,0.44670432955556133,0.4325313240821052,0.4407323173029284,-0.15324825671074221,1.4119539245552484,0.2946264160102706,0.2649444852689483,87,J_newton_lambda,3,False
0.08980452494324222,0.29967403114591395,0.4764482571784495,0.48612903696841786,0.47553095264873496,0.4837139201786105,-0.13918271426671414,1.4890995639784717,0.27690792474123754,0.2487550987723747,87,J_newton_lambda,4,False
0.09412996360132268,0.306806068390641,0.47354614547345314,0.3860372620465091,0.47690949681961414,0.47817081147276597,-1.5514226922713377,1.8140430534391743,0.4297195272936664,0.2630118906886702,87,J_newton_lambda,5,False
0.09709966564111137,0.3116081925128275,0.4430100896089313,0.42515016704123504,0.4434782472481293,0.47185287947120064,-0.7742727745632586,1.608005449843377,0.3393646166933592,0.26948730879935406,87,J_newton_lambda,6,False
0.08995081593351745,0.29991801535339196,0.5031695875942653,0.4548742995699251,0.5028687821723773,0.49454538488128674,-0.6660902055981971,1.567914531975249,0.3222598744706428,0.26122690651542424,87,J_newton_lambda,7,False
0.10638822600260926,0.32617208035423456,0.3896586901516705,0.36768285810307133,0.39125064028219103,0.40818570533642085,-0.9678753001311385,1.8226600063113938,0.36977262005488243,0.26707680549952284,87,J_newton_lambda,8,False
0.10054043441671666,0.31708111646188686,0.40950803907735334,0.42318162186487857,0.410322579035899,0.4209388468261825,-0.14317544845882604,1.866236362845635,0.3050035632003108,0.2524442799182985,87,J_newton_lambda,9,False
0.09645487408082422,0.3105718501101222,0.46089731898563857,0.4519397599479786,0.46071406694763,0.45653347020133317,-0.1161886814313043,2.0847959001702554,0.32927670424645106,0.26161838138807125,87,J_newton_lambda,10,False
0.0884901084992921,0.2974728701903622,0.48185093054121014,0.43223048622172633,0.48070269591227255,0.4961330371120768,-0.9131524046876183,1.413385639380878,0.31770794853368284,0.2512862885875666,87,J_newton_lambda,11,False
0.10271184298673433,0.32048688426632116,0.3893484014788092,0.41008175212552306,0.38976449375163563,0.4101400882104064,-0.08425664338825534,1.5688613350923193,0.28177362131873457,0.2494170676923787,87,J_newton_lambda,12,False
0.09402369252839059,0.30663283015422627,0.46518660358107355,0.47219814044786756,0.4617195671373199,0.4702980368964185,-0.1701308184392135,1.6968920703035915,0.30370060457067494,0.25972950625389685,87,J_newton_lambda,13,False
0.09931616296162979,0.3151446698924635,0.4075094149786294,0.42543231536981363,0.41019134257411194,0.4235277440712653,-0.07819286565211492,1.6442081290994424,0.28793852997222175,0.249834245534675,87,J_newton_lambda,14,False
0.08586586177984863,0.2930287729555728,0.5056792753894667,0.5115579760963872,0.50537310328307,0.517317277540924,-0.1252813325918977,1.492229989333087,0.2929655298812796,0.25839491182467655,87,J_newton_lambda,15,False
0.09176020503982425,0.3029194695621664,0.48149501118116333,0.48854557588698405,0.4793991808037938,0.48221915283942324,-0.1429491902950206,1.5900765128821037,0.2916008564414331,0.25784257403286326,87,J_newton_lambda,16,False
0.08949625073392074,0.2991592397602333,0.49984767356716264,0.5011697773858499,0.5006416412868545,0.5020535163204257,-0.173328785005409,1.535763569445445,0.29324573588381,0.2619738728364582,87,J_newton_lambda,17,False
0.08848317388587443,0.2974612140866006,0.4946914059152036,0.49695585150111865,0.493175234050709,0.49845160557513724,-0.1349282742598199,1.524442532466252,0.28450007324300614,0.2569908626533852,87,J_newton_lambda,18,False
