mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,n,permutation
0.09352783691974793,0.30582321187206823,0.4339660874087696,0.4280565231855114,0.43688942656566915,0.43889766507796063,-0.2913992818270078,0.9680859642052724,0.2589568833579719,0.23602439415117626,87,0
0.10039179327091825,0.3168466399867896,0.4162431285059299,0.3294040818575831,0.4163077282284804,0.38206960797863904,-0.5083288680631802,0.8885381697993742,0.2412577053155511,0.2219477157594656,87,1
0.09637092042470394,0.31043666089027555,0.44703471621869045,0.40555428777964336,0.44803451631463564,0.435418402867908,-0.2961152666871387,1.1998048299601973,0.27142099246791096,0.24716745629518222,87,2
0.09629474125694415,0.3103139398366502,0.4316115439499989,0.410668651047294,0.4326213234411769,0.42970851262753873,-0.2929007282349884,0.9514831591668267,0.2548101703485018,0.24263951049974414,87,3
0.09665876623776981,0.31089992962007856,0.4258073205400061,0.41358890860162706,0.42573660509782935,0.41829495932468075,-0.2522401556381364,0.9733920799320097,0.24580397592138634,0.23426003777613533,87,4
0.09631690796329004,0.310349654363091,0.4305072813201103,0.41372042112709523,0.43307130013894274,0.4255507707331562,-0.29480888609594724,1.0399095956065818,0.26687405811456777,0.2385437301960274,87,5
0.09175292827685788,0.30290745827208987,0.49709158006115983,0.4759277577076754,0.49894555795814655,0.47718132729225043,-0.53835281948449,1.1650476618049104,0.31903376027069663,0.258867192320919,87,6
0.0997446271500532,0.31582372797187547,0.4110138517544741,0.40953176502533767,0.4128219436860592,0.41325657533155613,-0.17530786935991077,1.0165935660191934,0.2584067509465191,0.2459016597880672,87,7
0.10118803091047772,0.31810066160018863,0.4052461328942298,0.3696339904595689,0.40628067783923416,0.3929893783906645,-0.23423773946261595,0.9684721168369813,0.25009438753601215,0.23805543943987034,87,8
0.10739667573635601,0.32771432031016895,0.3712695232159228,0.3483193446657428,0.3747166302495366,0.3724924231329337,-0.34994648287247065,0.9012864296465863,0.2693236979962139,0.2500602675980881,87,9
0.09966620655477017,0.31569955108420755,0.42209298260310824,0.3825552542256246,0.4233671171966866,0.40030789112281634,-0.160029541785431,0.9137981513075949,0.2417507035277744,0.23531881104789085,87,10
0.1020795214794116,0.3194988599031483,0.4113788972519579,0.39089626633737384,0.4097878588826641,0.3967246209660139,-0.199677854087376,1.0291763057029437,0.2571138023661705,0.244328789800685,87,11
0.09737914370693407,0.31205631496083214,0.45543076266081833,0.41297442737294876,0.45639791337329955,0.4274158884533138,-0.20145897013237557,0.8508768038392331,0.25027604850155455,0.24264762073345061,87,12
0.10142480148040638,0.31847260711151654,0.4087688219449487,0.37453862120731873,0.4087473132619978,0.3866610728758212,-0.1458176285289462,1.0265647245525706,0.24624224814171264,0.23461313859287222,87,13
0.09710094384884087,0.31161024349151434,0.42201084736617434,0.41706966132848705,0.4210596658056601,0.4243987298685262,-0.21441071015043472,0.9682028875104363,0.25880651169444385,0.2422765093522772,87,14
0.09702840765710267,0.3114938324543564,0.4734640102365192,0.4379546184356257,0.47082383292407975,0.43306133704408145,-0.1380063397871097,1.0176390352270857,0.2547443255638837,0.24612642296919046,87,15
0.10804481747767755,0.32870171505131757,0.3777855853460091,0.3442221758198623,0.3771811289772519,0.35894888469730146,-0.3046533549218736,0.9398273136103727,0.257405865643279,0.24588449490964698,87,16
0.09495699542175928,0.3081509296136542,0.4408289427614654,0.42782432112868785,0.4379108157661433,0.43009381095518456,-0.3168973355680904,0.9823365726639147,0.2533202479072611,0.23367750207302412,87,17
0.09578784316926095,0.3094961117191312,0.4316480484997473,0.44186759572781314,0.427326136677101,0.43464362016827035,-0.27754686262164724,0.8774412469492971,0.27565296593182903,0.245155749191675,87,18
0.09835363196888346,0.31361382617621225,0.46244876234994486,0.44389788257800505,0.4634018789154561,0.434931050561431,-0.1879622628698958,0.8648486116034915,0.26553971253442776,0.2558282114445933,87,19
