object_name,f_star,log10_Sigma_b,hi_compactness_proxy,m50_primary_score,quality_quarantine_flag
NGC5055,0.830635017923709,9.15554991251676,0.0836382645060115,0.6905354186507213,False
NGC3198,0.569708176180754,8.734238971292958,0.0809278350515464,0.6707595726339804,False
NGC4559,0.5562627137766096,8.798358135563797,0.0902837489251934,0.7040605556100294,False
UGC09133,0.7608718569655787,8.78468591858822,0.1035353535353535,0.7088021407697682,False
NGC6946,0.8143848024495663,9.0358616469088,0.102997045166737,0.6899811206330625,False
NGC4088,0.8305981179736397,9.188702834895674,0.1039065646395489,0.7234161107683843,False
NGC1090,0.7551270976014745,8.784824515769072,0.1037624926513815,0.7088858735695971,False
NGC5371,0.919653485596212,8.726000664142939,0.1985588470776621,0.8077162946911842,False
NGC0801,0.8351130393642101,8.59295919409849,0.1623533792589834,0.7929586942698653,False
DDO161,0.1300587637772103,8.352711411437879,0.1024349286314021,0.07943805497379182,False
UGC07125,0.1804974862131068,8.019775262749231,0.1279333838001514,0.05424880282258544,True
NGC1003,0.3036401196751674,8.838563604646323,0.046078992558672,0.32472582952787243,False
NGC0100,0.3791024468060149,8.391288724537977,0.0921198668146503,0.5183416155329902,False
UGC12632,0.2190220941273122,7.906948773530353,0.1611185086551265,0.1370707961348245,False
UGC01230,0.3082050493856122,8.01892589871753,0.1416911524649036,0.2818896001493136,False
UGC10310,0.3536921314166375,8.082418498709004,0.1581722319859402,0.5139083182751842,False
NGC3741,0.0546746856205576,9.008101881468578,0.0454545454545454,0.17227725834094437,False
F583-1,0.1484680387161279,7.97721007350196,0.1310383120488617,0.09811868864176984,False
UGC00731,0.0629676272316467,7.887419657901373,0.1658255227108867,0.12733683537257037,False
UGC08550,0.2739128786442734,8.617650499095362,0.0745033112582781,0.21301317171537443,False
NGC3109,0.1326205548187747,7.679731828746212,0.2063492063492063,0.11302270794809591,False
F563-1,0.1827172347575612,7.825364083305407,0.1304186735828084,0.046343751031992765,False
UGCA442,0.1667500416875104,7.681088205881671,0.2126126126126126,0.11977576219080131,False
UGC06446,0.2121929323430996,8.222443629281738,0.1260575296108291,0.1362458459923299,False
UGC05721,0.2621031432633075,9.04784523458566,0.0533707865168539,0.21741704755643335,False
D631-7,0.2026049204052098,8.196200139001826,1.0,0.5879386819393859,False
DDO064,0.2185837997382563,8.0793736356896,0.1650717703349282,0.13713719661163318,False
UGC08490,0.3468385512584407,8.715834119988067,0.0791027154663518,0.48625570559508224,False
NGC5585,0.3966424880522063,8.401798302775038,0.1228915662650602,0.6227163437687215,False
UGC07603,0.3539556425801107,8.47847740168307,0.1081632653061224,0.4934132980503963,False
UGC06667,0.3936386639390917,7.027274334924381,0.3748180494905385,0.6601868687224527,False
UGC01281,0.3110022554271215,7.531426093961837,0.2365747460087082,0.3267150481196534,False
UGC05005,0.3325929759608286,7.981360962953233,0.1289802498992341,0.4104637615557843,False
UGC07524,0.3398371125563953,7.678044417277685,0.2222222222222222,0.5057554835493764,False
UGC04278,0.3056909504252074,7.842998593983464,0.1989198919891989,0.34406943800203005,False
UGC04499,0.3465832961143367,8.075782018963324,0.1663461538461538,0.5650361504802197,False
UGC00128,0.378148431753646,7.85399836854531,0.1598602901665771,0.6337806679652127,False
F563-V2,0.341041215047844,8.071860525241643,0.1760869565217391,0.470069785253779,False
F568-V1,0.3659915836288376,8.010260757011247,0.1654091700522345,0.5795008970010179,False
UGC07399,0.3684227300251776,7.967713857599678,0.172813487881981,0.6263891384252108,False
UGC06614,0.6811008561659592,8.747084147182726,0.077590141487905,0.6979627223984171,False
NGC4157,0.828384620186985,9.275328302176332,0.0878455130632336,0.7288823712005287,False
NGC2841,0.8785671753318778,9.109249674051874,0.0746513535684987,0.7110217273283536,False
