object_name,phase_fraction_descriptor,texture_descriptor,defect_inverse_descriptor,porosity_inverse_descriptor,concentration_descriptor,m52_primary_score,quality_quarantine_flag
NGC5055,0.99998959027075,0.10003323140209705,0.5190630773577976,0.8306350179237091,0.5081999560045837,0.5915841745917875,False
NGC3198,0.9891717569016492,0.10001364908444707,0.335787516992069,0.569708176180754,0.41452053951876555,0.481840327735537,False
NGC4559,0.9845741493656508,0.42023481074261415,0.3371387894213641,0.5562627137766095,0.43324928431677634,0.546291949524603,False
UGC09133,0.9999331109450224,0.4254245121408543,0.4561238101848028,0.7608718569655788,0.43687901793473966,0.6158464616341995,False
NGC6946,0.9999839441333404,0.10485448255292155,0.5242121705710335,0.8143848024495663,0.49165139329383445,0.5870173586001393,False
NGC4088,0.9999895800226556,0.42585176183275814,0.5460136300752992,0.8305981179736398,0.5255990897095809,0.6656104359227867,False
NGC1090,0.9999220382859552,0.4256824941510938,0.4497740244073964,0.7551270976014746,0.43702295906119903,0.6135057227014238,False
NGC5371,0.9999990305976104,0.9184276490703918,0.978057756155942,0.919653485596212,0.47153073962341696,0.8575337322087145,False
NGC0801,0.9999907619747962,0.9015701290243598,0.931992498099214,0.8351130393642101,0.4242738909717364,0.8185880638868633,False
DDO161,0.0007391471105401,0.4243171268064419,0.2462828416715116,0.13005876377721026,0.34166783741754475,0.2286131433566497,False
UGC07125,0.0028311374457569,0.45831719475539934,0.1451809401305601,0.1804974862131069,0.2814589213682154,0.21365713598260774,True
NGC1003,0.0704080572720052,0.42000000000001303,0.3328755949336067,0.30364011967516735,0.4199573534211922,0.3093762250603969,False
NGC0100,0.3616732109984201,0.34038340036625353,0.2710004731737613,0.379102446806015,0.3449639669520048,0.33942469965929095,False
UGC12632,0.0078690427211652,0.8996147709967153,0.3364474610022983,0.21902209412731222,0.27332718984762994,0.34725611173902415,False
UGC01230,0.0788041826193561,0.6501211604988002,0.2953740817830326,0.3082050493856122,0.2881516798525385,0.32413123082786793,False
UGC10310,0.2234423058046211,0.733954346292788,0.3746164023958058,0.3536921314166376,0.31030570497083704,0.3992021781761379,False
NGC3741,9.90767916522554e-05,0.5000000000000068,0.3332664200050156,0.05467468562055755,0.45679699217224007,0.26896743491789443,False
F583-1,0.0012070595997262,0.7490092638129804,0.178244085091432,0.1484680387161279,0.2736838396459273,0.27012245737323876,False
UGC00731,0.0001235957069114,0.9860343237515954,0.3350207235165528,0.06296762723164684,0.2714011735233287,0.33110948874600704,False
UGC08550,0.0331447507001966,0.42000127869897264,0.3276422559837497,0.2739128786442734,0.3857595994923167,0.2880921527039018,False
NGC3109,0.0007913648699381,0.9989683796841486,0.4452503865380903,0.13262055481877466,0.24615123018441426,0.36475638321907317,False
F563-1,0.0030032625697791,0.49894488850175533,0.1602703385829763,0.1827172347575612,0.24009916694145494,0.21700697827070536,False
UGCA442,0.0019639334466454,0.9992484079753433,0.5024422670130589,0.1667500416875104,0.2495801637558279,0.3839969627756772,False
UGC06446,0.006567520885839,0.6683547470730884,0.2311011944533517,0.21219293234309966,0.3249328367656549,0.2886298463042068,False
UGC05721,0.0244090192421359,0.3400000000094981,0.3332946995880083,0.2621031432633075,0.4694642939581841,0.28585423121222675,False
D631-7,0.0050933659811907,0.9999997993227954,0.4836894257480137,0.20260492040520983,0.7561531904749075,0.4895081403864234,False
DDO064,0.0077783171424357,0.82517917540108,0.3715034095502309,0.21858379973825637,0.3130882364350688,0.3472265876534144,False
UGC08490,0.193335653817076,0.5000072436317886,0.3315254954805567,0.34683855125844076,0.4095748226468059,0.3562563533669336,False
NGC5585,0.474927333448087,0.6218826533932168,0.346863573367087,0.39664248805220637,0.3626528388079373,0.44059377741370687,False
UGC07603,0.2246639645376594,0.513370782353693,0.3119505177833128,0.3539556425801107,0.37209180428289396,0.355206542307534,False
UGC06667,0.4550028626215021,0.9199918296902732,0.6533705914233253,0.39363866393909164,0.18740902474526924,0.5218825944838923,False
UGC01281,0.084392102232543,0.9197390005930419,0.6357127901923026,0.31100225542712157,0.22876494233383163,0.43592221815576815,False
UGC05005,0.1408362282199201,0.7154078543395853,0.1532361731604249,0.3325929759608287,0.2735644159837852,0.32312752953290885,False
UGC07524,0.1658700066266732,0.9995214488940725,0.5983235534088752,0.33983711255639537,0.253717966292976,0.47145401755579847,False
UGC04278,0.0740726647731066,0.9184591691137411,0.4636708111224593,0.30569095042520744,0.2782141242126726,0.4080215439294374,False
UGC04499,0.1922763006429242,0.9865925819189794,0.3865865197785878,0.3465832961143367,0.31293837731012975,0.44499541515299157,False
UGC00128,0.3558208057142961,0.9773829667868175,0.3473606567365579,0.378148431753646,0.26109476486975985,0.46396152517221545,False
F563-V2,0.170360361524563,0.753505737386192,0.4066278570031452,0.341041215047844,0.3169494399929522,0.39769692219093933,False
F568-V1,0.2854201776806811,0.8255690311512066,0.3710292915745178,0.36599158362883755,0.2981118481156595,0.4292243864301805,False
UGC07399,0.2988245066408903,0.9917808324044165,0.3827585235772723,0.36842273002517767,0.29249046913696225,0.4668554123569438,False
UGC06614,0.9994389737215432,0.3750041890539912,0.3564163018647008,0.6811008561659593,0.41566652732687165,0.5655253696266133,False
NGC4157,0.9999889464589224,0.5001186092020135,0.5210652731342665,0.828384620186985,0.5365512827072686,0.6772217463378911,False
NGC2841,0.9999971004442962,0.3750013566164609,0.5752863563020789,0.8785671753318778,0.49356047265179936,0.6644824922693027,False
NGC4100,0.9999970578909424,0.5095550232707644,0.5989154873286422,0.8780208298223736,0.4999818277037343,0.6972940452032914,False
NGC2403,0.977173206364622,0.37504020650851594,0.3358117602369097,0.5412838794329375,0.448801295783911,0.5356220696653793,False
NGC2998,0.9997226109642958,0.6453846079985848,0.5209196669489282,0.707524500700154,0.4167664907894518,0.6580635754802829,False
ESO563-G021,0.9999888377225268,0.5001698384850475,0.5220858347573619,0.8280175220606346,0.47749933156343305,0.6655522729178008,False
NGC3893,0.999970371520492,0.5043744952821239,0.4934082281628091,0.7914094783066582,0.4871757103360941,0.6552676567216354,False
NGC6674,0.9997727690944496,0.5123635552011354,0.4172424109237649,0.7150059174672374,0.445876130039453,0.6180521565452081,False
NGC5907,0.999928289828136,0.9199997993227954,0.9860610180665108,0.7582617791542308,0.8906541606218673,0.9109810093987081,False
UGC03205,0.9999843407823984,0.5027569579018691,0.520907124184442,0.8153228640373326,0.49066693705261544,0.6659276447917315,False
NGC6503,0.9998654839672168,0.7839990484625365,0.6545695977478375,0.7346700190573803,0.3837694737455094,0.7113747245960962,False
NGC5033,0.99996573551711,0.9409702395611466,0.8682998488385557,0.7859578061088344,0.42416041795861514,0.8038708095968523,False
NGC4183,0.9748065628223472,0.9365549004230159,0.5616573053340995,0.5374936272438549,0.35596791896131347,0.6732960629569262,False
UGC07151,0.9922306326571512,0.9033514448782374,0.64327191451578,0.582272801435797,0.3608239806847651,0.6963901548343461,False
UGC08286,0.6498587519951898,0.4634953641376494,0.2480910996055374,0.42359723497326773,0.34306166915632197,0.42562082397359335,False
UGC11455,0.999998855945144,0.5075151371729124,0.6708687440357629,0.913441441546966,0.4851733247987684,0.7153995006999108,False
