sample,axis,score_column,n,rmse,spearman,ugc07125_pred_value,ugc07125_target_activation,mature_control_median_pred_value
all_direct,m38_original_full,D_unsettled_m39,87,0.2695419677139607,-0.0019468712995109711,0.8427145490592466,0.185688488795864,0.9971340129808921
all_direct,m39_activation_flip_full,A_activation_flip_m39,87,0.8061235815612598,0.0019468712995109711,0.1572854509407534,0.185688488795864,0.0028659870191078407
primary_non_mature,m38_original_full,D_unsettled_m39,41,0.3517568056977246,-0.42508613772804,0.8427145490592466,0.185688488795864,0.9971340129808921
primary_non_mature,m39_activation_flip_full,A_activation_flip_m39,41,0.67303376013636,0.42508613772804,0.1572854509407534,0.185688488795864,0.0028659870191078407
primary_non_mature,m38_original_cv,D_unsettled_cv_m39,41,0.37926032745689264,-0.5116613652786487,0.9285715761626004,0.185688488795864,
primary_non_mature,m39_activation_flip_cv,A_activation_flip_cv_m39,41,0.641804439605049,0.5116613652786487,0.07142842383739956,0.185688488795864,
mature_control,m38_original_full,D_unsettled_m39,46,0.16469689093852574,-0.0783586650541605,0.8427145490592466,0.185688488795864,0.9971340129808921
mature_control,m39_activation_flip_full,A_activation_flip_m39,46,0.9084591920623855,0.0783586650541605,0.1572854509407534,0.185688488795864,0.0028659870191078407
