galaxy_name,taxonomy_stage,target_activation,A_flip_m39,D_unsettled_m39,target_contamination_score,high_inverse_rank_residual,inverse_rank_residual_abs,contamination_flags
NGC2841,mature_or_control,1.0,0.036997958898981165,0.9630020411010188,0.2863221385356217,True,0.9630020411010188,approach_recede_mismatch;hi_disturbance;hi_extended
F563-1,juvenile_forming,1.0,0.09428535487602563,0.9057146451239744,0.26134090909090907,True,0.9057146451239744,measurement_contamination;hi_extended
F568-V1,juvenile_forming,1.0,0.032674702349173246,0.9673252976508268,0.26,True,0.9673252976508268,measurement_contamination
F579-V1,mature_or_control,0.9142491219646848,0.0032504863808662243,0.9967495136191338,0.26,True,0.9109986355838186,measurement_contamination
F563-V2,juvenile_forming,1.0,0.03308349516116704,0.966916504838833,0.24449399656946824,True,0.966916504838833,measurement_contamination
NGC3521,mature_or_control,1.0,0.011573037021474164,0.9884269629785258,0.23995321009180232,True,0.9884269629785258,approach_recede_mismatch;hi_disturbance;hi_extended
UGC11914,mature_or_control,1.0,6.672164515919565e-05,0.9999332783548408,0.20915654286706004,True,0.9999332783548408,measurement_contamination
NGC2403,mature_or_control,1.0,0.01749726977896804,0.982502730221032,0.19668501881830236,True,0.982502730221032,approach_recede_mismatch;hi_disturbance;hi_extended
UGC08490,juvenile_forming,1.0,0.035433624087582216,0.9645663759124178,0.07981117314192396,True,0.9645663759124178,hi_extended
NGC5005,mature_or_control,1.0,0.0018781366154123624,0.9981218633845876,0.0631578947368421,True,0.9981218633845876,none_available
ESO563-G021,mature_or_control,1.0,0.0016142025566567852,0.9983857974433432,0.0595282129046933,True,0.9983857974433432,hi_extended
NGC0024,mature_or_control,1.0,0.0014024571611763736,0.9985975428388236,0.0594543744120414,True,0.9985975428388236,none_available
NGC3893,mature_or_control,1.0,0.0006057474744723956,0.9993942525255276,0.0589699603979523,True,0.9993942525255276,hi_extended
UGC03205,mature_or_control,0.9358237580388178,0.0006469178347944249,0.9993530821652056,0.05105382827711828,True,0.9351768402040234,hi_extended
UGC07603,juvenile_forming,1.0,0.02570292323883605,0.974297076761164,0.05032590051457976,True,0.974297076761164,hi_extended
UGC06446,juvenile_forming,0.969156290976066,0.049173175024943006,0.950826824975057,0.045312235666813624,True,0.919983115951123,hi_extended
UGC06983,mature_or_control,1.0,0.008523704476081195,0.9914762955239188,0.04256880733944954,True,0.9914762955239188,none_available
UGC04278,juvenile_forming,1.0,0.04797367413328557,0.9520263258667144,0.04201312910284464,True,0.9520263258667144,none_available
IC4202,mature_or_control,1.0,0.0003179779151921691,0.9996820220848078,0.038047760143770246,True,0.9996820220848078,hi_extended
D631-7,juvenile_forming,1.0,0.05244330353194837,0.9475566964680516,0.03743500866551126,True,0.9475566964680516,none_available
UGC06399,mature_or_control,1.0,0.006308768190538161,0.9936912318094618,0.035764705882352935,True,0.9936912318094618,none_available
NGC2998,mature_or_control,0.9057699266164848,0.0007888497854183774,0.9992111502145816,0.035104101799628085,True,0.9049810768310664,hi_extended
UGC02885,mature_or_control,1.0,0.0009005159472783575,0.9990994840527216,0.033258867375693106,True,0.9990994840527216,hi_extended
UGC08286,mature_or_control,1.0,0.004788625949900038,0.9952113740501,0.031815811373092924,True,0.9952113740501,hi_extended
UGC11455,mature_or_control,1.0,0.00025807692355961365,0.9997419230764404,0.02857846867249813,True,0.9997419230764404,hi_extended
UGC06786,mature_or_control,1.0,0.0004096517725156179,0.9995903482274844,0.0284412032816773,True,0.9995903482274844,none_available
F571-8,mature_or_control,1.0,0.004389463655683157,0.9956105363443168,0.027792734028777556,True,0.9956105363443168,hi_extended
