f_star,hi_compactness_proxy,density_norm,shape_symmetry,object_name
0.830635017923709,0.0836382645060115,0.9327616475031558,6.646280419409443e-05,NGC5055
0.569708176180754,0.0809278350515464,0.7481132439859847,2.7298168894121408e-05,NGC3198
0.5562627137766096,0.0902837489251934,0.7762148197083593,0.0004696214852283,NGC4559
0.7608718569655787,0.1035353535353535,0.7702226823341258,0.0108490242817086,UGC09133
0.8143848024495663,0.102997045166737,0.8803057414209319,0.0097089651058431,NGC6946
0.8305981179736397,0.1039065646395489,0.9472916147796129,0.0117035236655163,NGC4088
0.7551270976014745,0.1037624926513815,0.7702834254710166,0.0113649883021877,NGC1090
0.919653485596212,0.1985588470776621,0.7445026321691718,0.9968552981407834,NGC5371
0.8351130393642101,0.1623533792589834,0.6861944026844894,0.9631402580487198,NGC0801
0.1300587637772103,0.1024349286314021,0.5809007462036874,0.0086342536128838,DDO161
0.1804974862131068,0.1279333838001514,0.4349844589362793,0.3966343895107987,UGC07125
0.3036401196751674,0.046078992558672,0.7938357142837125,2.6129271339776828e-14,NGC1003
0.3791024468060149,0.0921198668146503,0.5978080670893593,0.000766800732507,NGC0100
0.2190220941273122,0.1611185086551265,0.3855358710401333,0.9592295419934306,UGC12632
0.3082050493856122,0.1416911524649036,0.43461220724017335,0.7802423209976004,UGC01230
0.3536921314166375,0.1581722319859402,0.46243917795573386,0.947908692585576,UGC10310
0.0546746856205576,0.0454545454545454,0.8681394388899347,1.3470879927405862e-14,NGC3741
0.1484680387161279,0.1310383120488617,0.41632936724299285,0.4980185276259607,F583-1
0.0629676272316467,0.1658255227108867,0.3769768243357707,0.9720686475031908,UGC00731
0.2739128786442734,0.0745033112582781,0.6970158877263553,2.557397945340476e-06,UGC08550
0.1326205548187747,0.2063492063492063,0.2859532540196222,0.9979367593682972,NGC3109
0.1827172347575612,0.1304186735828084,0.3497796603001015,0.4778897770035106,F563-1
0.1667500416875104,0.2126126126126126,0.2865477148990432,0.9984968159506866,UGCA442
0.2121929323430996,0.1260575296108291,0.5238081439204806,0.3367094941461767,UGC06446
0.2621031432633075,0.0533707865168539,0.8855578013995143,1.8996163212039246e-11,UGC05721
0.2026049204052098,1.0,0.5123063809498151,0.9999995986455908,D631-7
0.2185837997382563,0.1650717703349282,0.4611047025352094,0.9703583508021598,DDO064
0.3468385512584407,0.0791027154663518,0.74004692982726,1.4487263577227492e-05,UGC08490
0.3966424880522063,0.1228915662650602,0.6024141113508144,0.2437653067864336,NGC5585
0.3539556425801107,0.1081632653061224,0.6360203432596655,0.0267415647073861,UGC07603
0.3936386639390917,0.3748180494905385,0.0,0.9999836593805465,UGC06667
0.3110022554271215,0.2365747460087082,0.22095513865895505,0.999478001186084,UGC01281
0.3325929759608286,0.1289802498992341,0.4181485820683364,0.4308157086791707,UGC05005
0.3398371125563953,0.2222222222222222,0.2852137103637298,0.9990428977881448,UGC07524
0.3056909504252074,0.1989198919891989,0.3575083564361463,0.9969183382274822,UGC04278
0.3465832961143367,0.1663461538461538,0.4595306007741056,0.9731851638379586,UGC04499
0.378148431753646,0.1598602901665771,0.3623292395729426,0.954765933573635,UGC00128
0.341041215047844,0.1760869565217391,0.4578119234641654,0.987011474772384,F563-V2
0.3659915836288376,0.1654091700522345,0.43081452617908444,0.9711380623024132,F568-V1
0.3684227300251776,0.172813487881981,0.4121674503919435,0.983561664808833,UGC07399
0.6811008561659592,0.077590141487905,0.7537429131658383,8.378107982398002e-06,UGC06614
0.828384620186985,0.0878455130632336,0.9852570523513037,0.000237218404027,NGC4157
0.8785671753318778,0.0746513535684987,0.9124695917351,2.7132329218144e-06,NGC2841
0.8780208298223735,0.1063829787234042,0.8935806766840644,0.0191100465415288,NGC4100
0.5412838794329377,0.0842424242424242,0.8133601673253977,8.04130170318572e-05,NGC2403
0.7075245007001539,0.1245480112494977,0.708984970329406,0.2907692159971696,NGC2998
0.8280175220606345,0.0891105297580117,0.8658881333688544,0.000339676970095,ESO563-G021
0.7914094783066582,0.1024978466838931,0.8718535739882951,0.0087489905642478,NGC3893
0.7150059174672374,0.1077417053157331,0.7840105547631728,0.0247271104022709,NGC6674
0.7582617791542307,1.0,0.7813083212437346,0.9999995986455908,NGC5907
0.8153228640373326,0.1003460207612456,0.8809878533439853,0.0055139158037383,UGC03205
0.7346700190573804,0.1332510795805058,0.6342878679105131,0.567998096925073,NGC6503
0.7859578061088343,0.1487460363217065,0.6995747995955238,0.881940479122293,NGC5033
0.5374936272438549,0.147932131495228,0.5640037064273989,0.8731098008460318,NGC4183
0.5822728014357971,0.1636125654450261,0.5580353959245041,0.9667028897564748,UGC07151
0.4235972349732678,0.1151315789473684,0.5709917593652756,0.0869907282752989,UGC08286
0.913441441546966,0.120113429208021,0.8502332203895158,0.1750302743458249,UGC11455
0.8847623064308691,0.1129411764705882,0.918110819857957,0.0614978392289104,NGC3521
0.8371238370913012,0.1315300981172102,0.8395777214094373,0.5138668223426057,NGC3992
0.9209839202625252,0.1231289232254949,0.9804699034019589,0.2502484846410074,NGC0891
0.9260163936134734,0.1496945010183299,0.833217498392302,0.8914456669270204,NGC4217
0.894889484820931,0.156728067436778,0.8412060161768837,0.941132933842926,NGC7331
0.6819590824550527,0.1266453219494841,0.4136937824959909,0.3552195843733518,F571-8
0.8457337330268883,0.1295041994039555,0.8073360273785465,0.4479843969490011,IC4202
0.7910323852314484,0.1331153666510976,0.6431112248219644,0.5638213877158447,UGC02885
