model,features,rmse_logV,mae_logV,spearman_pred_obs,pearson_pred_obs,residual_std
m20_withJ_activation_leaky,log_vnewton;log_mass;log_rdisk;eta_m20_withJ,0.01107808663661842,0.00803247923672651,0.9978676095356126,0.9987536091830381,0.011076156248895212
m20_noV_Jproxy_activation,log_vnewton;log_mass;log_rdisk;eta_m20_noV_Jproxy,0.0586522288733033,0.04567845256450687,0.9536706276882699,0.9644382523179411,0.0586522217637278
m20_noJ_activation,log_vnewton;log_mass;log_rdisk;eta_m20_noJ,0.05871560605926974,0.045578277859908825,0.9528322519501348,0.9643598712413379,0.05871559776626265
baryonic_baseline,log_vnewton;log_mass;log_rdisk;log10_Sigma_b,0.061929888301719846,0.048220196222951046,0.945596704818838,0.960277608539022,0.061929726534884315
newton_only,log_vnewton,0.07625919060228735,0.060379469789287654,0.9350623314135742,0.9391059097366294,0.07625445147769233
