coherence_quartile,n_xgass,mean_residual_xgass,scatter_std_xgass,scatter_sem_xgass,abs_mean_residual_xgass,n_sparc,mean_residual_sparc,scatter_std_sparc,scatter_sem_sparc,abs_mean_residual_sparc
Q1_low,91,-0.02535360893878226,0.12006067309683695,0.012585778309404131,0.02535360893878226,22,0.011558267558584,0.0752713364616819,0.0160479028546747,0.011558267558584
Q2,91,-0.022579343999138975,0.15778297766188012,0.01654015029757821,0.022579343999138975,22,0.0185678724808056,0.0423994837460511,0.0090396003077661,0.0185678724808056
Q3,90,-0.00883366539211656,0.09929008193113961,0.010466093598904361,0.00883366539211656,21,0.0305984436194408,0.0480107355592306,0.0104768014224134,0.0305984436194408
Q4_high,91,0.05666954508397131,0.10775140666449462,0.011295416574184675,0.05666954508397131,22,0.08678396024692,0.0489743424376574,0.0104413648907535,0.08678396024692
