coherence_quartile,n,mean_residual,scatter_std,scatter_sem,abs_mean_residual
Q1_low,91,-0.02535360893878226,0.12006067309683695,0.012585778309404131,0.02535360893878226
Q2,91,-0.022579343999138975,0.15778297766188012,0.01654015029757821,0.022579343999138975
Q3,90,-0.00883366539211656,0.09929008193113961,0.010466093598904361,0.00883366539211656
Q4_high,91,0.05666954508397131,0.10775140666449462,0.011295416574184675,0.05666954508397131
