formation_index,formation_label,source_galaxy_name,seed_galaxy_name,initialization_mode,initialization_class,step,time_gyr,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,disk_compaction_factor,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,organization_score,v_newton_km_s,v_bdvr_full_km_s,v_bdvr_governed_km_s,A_gov,alpha_BTFR,BTFR_offset_dex,c_coherence,c_fstar,c_sigma,c_org,claim_boundary
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,0,0.0,12011621358.556293,548522319.0462655,11463099039.510027,1.2172166146875782,1.0,0.04566596820466157,0.9543340317953384,1290286108.7880177,9.110686021687313,0.3625011856912357,117.60530474014875,123.44308179965255,117.60530474014875,0.0,0.9999999999999997,-0.14537397682044828,0.40424639874359447,0.0,0.8442744086749251,0.3625011856912357,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,1,0.1,12006616516.323563,597102724.0648413,11409513792.258722,1.2124453220973506,0.9960801614662051,0.04973113976390034,0.9502688602360997,1299919464.958231,9.113916446916326,0.3648605065825204,117.59305227295746,123.45435345985506,117.61910302475923,0.004336941083731697,1.0004431152495814,-0.14526890818538973,0.4054064545430417,0.0,0.8455665787665303,0.3648605065825204,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,2,0.2,12001611674.09083,644796064.6826257,11356815609.408203,1.207768507430451,0.9922379409358026,0.05372578968494842,0.9462742103150515,1309460190.6465313,9.117092299824755,0.36721955836821313,117.5807959746751,123.46520150672,117.63264856350696,0.008598645935608386,1.0008821852544576,-0.14516475608979196,0.4065587894859296,0.0,0.846836919929902,0.36721955836821313,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,3,0.30000000000000004,11996606831.858099,691618076.3105783,11304988755.547522,1.2031842998986544,0.9884718014693502,0.05765114136056561,0.9423488586394344,1318907217.7239592,9.120214244941515,0.3695780721271533,117.5685358425055,123.47563106485643,117.64593843582747,0.012786419736049687,1.0013171563668701,-0.14506153097249141,0.40770341592995807,0.0,0.8480856979766059,0.3695780721271533,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,4,0.4,11991601989.625366,737584215.3687892,11254017774.256577,1.1986908657578246,0.9847802365608453,0.06150839696038246,0.9384916030396175,1328259544.4098306,9.123282945281666,0.3719357793069171,117.55627187364912,123.48564726483447,117.6589699879307,0.01690154502351293,1.0017479794416337,-0.14495924228898716,0.4088403461315083,0.0,0.8493131781126664,0.3719357793069171,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,5,0.5,11986597147.392635,782709664.2307217,11203887483.161913,1.194286407574392,0.981161769535103,0.06529873779907414,0.9347012622009259,1337516234.556029,9.126299062121536,0.37429241190786977,117.5440040653033,123.49525523991767,117.67174082312995,0.020945282087280588,1.0021746096796318,-0.14485789854789477,0.40996959226937596,0.0,0.8505196248486143,0.37429241190786977,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,6,0.6000000000000001,11981592305.159903,827009336.0798733,11154582969.08003,1.189969163506356,0.9776149529570661,0.06902332469814715,0.9309766753018529,1346676416.8709457,9.129263254780486,0.3766477026668391,117.53173241466209,123.50446012292134,117.68424879237915,0.024918869353433605,1.0025970064744254,-0.1447575073465881,0.4110911664693198,0.0,0.8517053019121945,0.3766477026668391,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,7,0.7000000000000001,11976587462.927172,870497879.6804062,11106089583.246765,1.185737406598526,0.9741383680528121,0.07268329834145007,0.92731670165855,1355739284.086436,9.132176180409338,0.3790013852402845,117.51945691891636,123.5132670431955,117.6964919850194,0.028823523764129114,1.0030151332619979,-0.1446580754060074,0.41220508082939267,0.0,0.8528704721637353,0.3790013852402845,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,8,0.8,11971582620.694439,913189684.0632685,11058392936.63117,1.1815894440917143,0.9707306241420239,0.07627977962451692,0.9237202203754831,1364704092.0711486,9.13503849378546,0.38135319438683535,117.50717757525376,123.52168112373059,117.70846871973565,0.032660441150298536,1.0034289573736686,-0.14455960860464678,0.413311347446015,0.0,0.8540153975141841,0.38135319438683535,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,9,0.9,11966577778.461706,955098883.1293051,11011478895.332401,1.1775236167456111,0.9673903580817002,0.07981386999785016,0.9201861300021499,1373570158.8935618,9.13785084711454,0.38370286614907423,117.49489438085871,123.52970747838393,117.72017753572358,0.03643079659788012,1.0038384498921822,-0.14446211201171577,0.4144099784407579,0.0,0.8551403388458162,0.38370286614907423,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,10,1.0,11961572936.228975,996239360.1708249,10965333576.05815,1.1735382981750666,0.9641162337208793,0.08328665180424849,0.9167133481957515,1382336863.8380513,9.14061388983902,0.3860501380344401,117.48260733291234,123.53735120922481,117.7316171840669,0.04013574480769816,1.0042435855109944,-0.14436558991947868,0.41550098598779484,0.0,0.8562455559356081,0.3860501380344401,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,11,1.1,11956568093.996243,1036624752.3130697,10919943341.683172,1.169631894199514,0.9609069413661613,0.08669918861028279,0.9133008113897172,1391003646.3772655,9.143328268453189,0.3883947491951278,117.4703164285926,123.54461740399616,117.7427866193247,0.04377642044909916,1.0046443423967564,-0.1442700458747721,0.4165843823419848,0.0,0.8573313073812756,0.3883947491951278,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,12,1.2000000000000002,11951563251.763512,1076268454.8770065,10875294796.886505,1.1658028422052773,0.9577611972578132,0.09005252553202175,0.9099474744679783,1399570005.104061,9.145994626324887,0.39073644060685986,117.45802166507414,123.55151113369041,117.75368499132782,0.04735393850745323,1.0050407020549972,-0.1441754827097057,0.4176601798675421,0.0,0.8583978505299548,0.39073644060685986,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,13,1.3,11946558409.53078,1115183625.6648295,10831374783.865952,1.1620496105205036,0.9546777430562479,0.09334768955510678,0.9066523104448933,1408035496.6261854,9.148613603523819,0.39307495524640884,117.44572303952837,123.55803745023738,117.76431163718381,0.05086939462562703,1.0054326491990069,-0.14408190257155828,0.41872839106725723,0.0,0.8594454414095274,0.39307495524640884,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,14,1.4000000000000001,11941553567.298048,1153383189.1695454,10788170378.128502,1.1583706978024757,0.9516553453386714,0.09658568984927439,0.9034143101507256,1416399734.4268596,9.15118583665642,0.3954100382677485,117.43342054912344,123.5642013843016,117.77466607348909,0.054323865439532965,1.005820171621908,-0.14398930695186296,0.4197890286122234,0.0,0.8604743346625682,0.3954100382677485,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,15,1.5,11936548725.065317,1190879840.7099867,10745668884.355331,1.1547646324370535,0.9486927951056976,0.09976751807742235,0.9002324819225777,1424662387.6943455,9.153711958707225,0.39774143717671195,117.42111419102429,123.57000794318702,117.78474798874667,0.057718408907857364,1.0062032600719035,-0.14389769671469788,0.42084210537202504,0.0,0.86148478348289,0.39774143717671195,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,16,1.6,11931543882.832584,1227686050.4925685,10703857832.340015,1.1512299719500092,0.945788907297732,0.1028941486993142,0.8971058513006858,1432823180.1235075,9.156192598886689,0.4000689020040393,117.4088039623925,123.57546210884585,117.79455723598802,0.06105406463606863,1.0065819081306877,-0.14380707212419042,0.42333470879500523,0.004134498141877413,0.8624770395546755,0.4000689020040393,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,17,1.7000000000000002,11926539040.599854,1263814067.601092,10662724972.99876,1.1477653024300185,0.9429425203209325,0.10596653927001506,0.8940334607299849,1440881888.6923378,9.158628382485412,0.40239218547669336,117.39648986038644,123.58056883599002,117.80409382559708,0.06433185419480442,1.0069561120949984,-0.14371743287123495,0.4259088988259732,0.008523627528592941,0.863451352994165,0.40239218547669336,response_organization_visualization_not_model_promotion
