mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,n,target_construction,endpoint_delta,endpoint_stretch,repeat
0.009069589562347763,0.09523439274940416,0.9564922125071148,0.9076275637567701,0.9566491445723144,0.9587639713167698,-0.817879976899123,1.455697355970226,0.3363321239028611,0.2848620671812723,87,hard_endpoint_expansion,0.05,0.0,0
0.008733282716861813,0.09345203431098659,0.956902888691784,0.9094986610536201,0.9566311818536544,0.9607912856142611,-0.7649561140794197,1.4977818043906346,0.338870190425116,0.28403895033213955,87,hard_endpoint_expansion,0.05,0.0,1
0.009558698579245075,0.09776859710175387,0.954612228195073,0.9023887224396577,0.9547688518104841,0.9585202160236934,-0.7380249752535109,1.5601378111989535,0.3349572066736683,0.27719838812362163,87,hard_endpoint_expansion,0.05,0.0,2
0.00820377185611086,0.09057467557828104,0.9606902357281787,0.9115352615145025,0.9606060921651934,0.9635000147846338,-0.7632049158610049,1.5155954831583194,0.3396507700438566,0.2846336046435305,87,hard_endpoint_expansion,0.05,0.0,3
0.008842720716925682,0.09403574169923733,0.9554335805644115,0.9104200198684066,0.9551698370405639,0.959905732586797,-0.7674203727383262,1.4952483956848877,0.3399492677042856,0.28546949247570536,87,hard_endpoint_expansion,0.05,0.0,4
0.008693641626144562,0.0932396998394169,0.9547947509438148,0.9068564652597877,0.9549644624500845,0.9611933273242915,-0.7855227594250509,1.5542919655645935,0.3425299518310586,0.2836817202787541,87,hard_endpoint_expansion,0.05,0.0,5
0.01060789287602755,0.10299462547156307,0.946873263648416,0.899536882994878,0.946785341205029,0.9512064389935211,-0.8076050231422077,1.465979728588672,0.3379008380520734,0.2817239634381686,87,hard_endpoint_expansion,0.05,0.0,6
0.010001610170987009,0.1000080505308798,0.9530972893805151,0.8961589306411554,0.9532536644393005,0.9549368924988347,-0.810375920120479,1.4882394181011471,0.34245501841818915,0.2806366051295443,87,hard_endpoint_expansion,0.05,0.0,7
0.008504298972223372,0.09221875607610076,0.9561271670096309,0.9074406141869683,0.9558552586270278,0.9595032772942543,-0.8940092114505096,1.4946301262414274,0.3539736209995313,0.2960700401667241,87,hard_endpoint_expansion,0.1,0.0,0
0.007925779854591874,0.0890268490658401,0.9577151149236856,0.911572337197886,0.9576656882547655,0.9626502584129512,-0.8320828447117335,1.5072010849204918,0.3551814480888656,0.29481557403186887,87,hard_endpoint_expansion,0.1,0.0,1
0.008512266346266067,0.09226194419296652,0.9554518328392857,0.9052950165395486,0.9551797489944353,0.9608722205784361,-0.8055572552136536,1.569844178907207,0.35139332588497346,0.28829720402522974,87,hard_endpoint_expansion,0.1,0.0,2
0.007354894540093607,0.08576068178421628,0.9616302278841996,0.9147715728675012,0.9617460927239382,0.9656272925716799,-0.8301578859612357,1.4965253505723908,0.3547319985405773,0.2949549994918028,87,hard_endpoint_expansion,0.1,0.0,3
0.008105575376919673,0.09003096898800808,0.956327942033247,0.9118669669627634,0.956242605402341,0.9615744990888557,-0.8256833790717368,1.5264905712744583,0.35655653144272526,0.2957812907012447,87,hard_endpoint_expansion,0.1,0.0,4
0.00792452328708488,0.0890197915470761,0.9555613464885309,0.9086445670705933,0.9553023561626467,0.9628518785769846,-0.8563444173994608,1.5625101127332424,0.35852436054889775,0.29381834533430073,87,hard_endpoint_expansion,0.1,0.0,5
0.009854178252586842,0.0992682137070414,0.9472291830084626,0.901505889560832,0.9473490155242803,0.9529965987195234,-0.8728876426175934,1.4817009306479392,0.3543144772800163,0.29201228828358855,87,hard_endpoint_expansion,0.1,0.0,6
0.008894306194182716,0.09430962938206637,0.9545027145458279,0.8994828481896543,0.9542695374621405,0.9582072075175373,-0.8727399966793796,1.5103624996270484,0.3590056941952631,0.29124769069824347,87,hard_endpoint_expansion,0.1,0.0,7
0.008291409211889401,0.09105717551016725,0.9557894999244583,0.9071349061892985,0.9559829824380983,0.9597116836367137,-0.9701384460018951,1.5335628965126331,0.3716710398421697,0.3067172878269667,87,hard_endpoint_expansion,0.15,0.0,0
0.007472721419005833,0.08644490395046912,0.9586551070797064,0.913221303053602,0.9588764541168824,0.9638413339913688,-0.899209575344047,1.5166203654503514,0.37159139841577704,0.30472286884949923,87,hard_endpoint_expansion,0.15,0.0,1
0.007855505900297852,0.08863129187988773,0.9549407691428086,0.907629008054381,0.9546685525157166,0.9623196483833827,-0.8730895351737955,1.579550546615457,0.36795611948492335,0.29957656102270475,87,hard_endpoint_expansion,0.15,0.0,2
0.006873299845248022,0.08290536680606402,0.96348283378393,0.9171396860881078,0.9632638888381149,0.9668903136762063,-0.8971108560614663,1.4774552179864804,0.3700568715490729,0.30486853758435273,87,hard_endpoint_expansion,0.15,0.0,3
0.007707109633097723,0.08779014542132689,0.957368321701076,0.9130538881961392,0.9575184204067626,0.9625474411422843,-0.8839463854051471,1.5577327468640398,0.3732174311973289,0.3057688095471091,87,hard_endpoint_expansion,0.15,0.0,4
0.0074525625136674075,0.08632822547502877,0.9558351306116438,0.9099943757008703,0.9550500008766379,0.9639697927725621,-0.9271660753738702,1.5707282599018937,0.3746362972020992,0.30384143078225173,87,hard_endpoint_expansion,0.15,0.0,5
0.009441094317685349,0.09716529379199833,0.9476672376054432,0.9031256640727247,0.9477872458703539,0.9540372222178636,-0.9381702620929763,1.4974221327072132,0.3707999038764107,0.3021844056626565,87,hard_endpoint_expansion,0.15,0.0,6
0.008106427941271614,0.09003570370287342,0.9565378431943001,0.9023467061441687,0.9567579349957277,0.9608633524096878,-0.9351040732382807,1.5324855811529434,0.37562591325027095,0.301096276868592,87,hard_endpoint_expansion,0.15,0.0,7
0.008346616445341494,0.09135981854919313,0.9542471826975892,0.9062947030668613,0.9524866677133618,0.9601562729915413,-1.1223969151046673,1.6114284370550305,0.40720445594692056,0.322462804976448,87,hard_endpoint_expansion,0.25,0.0,0
0.007385267038636457,0.08593757640657815,0.9589836480274417,0.9155563585729422,0.9581666573281072,0.9646738502668536,-1.0334630366086754,1.5354589265100602,0.40465928088181913,0.32221497489322054,87,hard_endpoint_expansion,0.25,0.0,1
0.007493969277461967,0.08656771498348542,0.9549042645930601,0.9109982543280086,0.9538486165566396,0.9637818348432603,-1.008154095094081,1.5989632820319581,0.4013988917451986,0.3187743691982196,87,hard_endpoint_expansion,0.25,0.0,2
0.00674945605529674,0.08215507321703719,0.9646236009635668,0.9199117735150523,0.9642234462128164,0.9677040608159913,-1.0310167962619285,1.439314952814641,0.4013254783209472,0.32159368810563504,87,hard_endpoint_expansion,0.25,0.0,3
0.007723396538086984,0.08788285690671978,0.9576603580990629,0.9148331671184652,0.9578391416799286,0.9630010214524924,-1.0004723980719685,1.620217098043187,0.4066737496071017,0.3226490920633521,87,hard_endpoint_expansion,0.25,0.0,4
0.007271577362372599,0.08527354432866385,0.9580436558714209,0.9117084688230755,0.9568973828716043,0.9650241627494307,-1.0688093913226888,1.5871645542391946,0.4071568468489641,0.3214271833085524,87,hard_endpoint_expansion,0.25,0.0,5
0.009383782632738164,0.09686992635869072,0.9471105432217806,0.9055643356525483,0.9462173482525918,0.9548554884023287,-1.0687355010437438,1.5288645368257483,0.40395092632115925,0.31982588829427194,87,hard_endpoint_expansion,0.25,0.0,6
0.007413159543993745,0.08609970699133503,0.9585638457053354,0.9069884261638437,0.9589837987412414,0.9640720406746744,-1.0598322263560809,1.5767317442047497,0.40904103881276416,0.3178303135249585,87,hard_endpoint_expansion,0.25,0.0,7
0.00890462765997086,0.09436433468197007,0.952695739333283,0.9052873829512837,0.9516306313342919,0.9595726242342714,-1.2746553842074406,1.6892939775974365,0.44288555951398273,0.3339786339544865,87,hard_endpoint_expansion,0.35,0.0,0
0.007978468414161503,0.0893222727776309,0.9587098639043289,0.9169768521030702,0.9584992182962929,0.9640735848145069,-1.167716497873302,1.5542974875697888,0.4379953249069557,0.3353683918189067,87,hard_endpoint_expansion,0.35,0.0,1
0.00793137235624769,0.08905825260046196,0.9557164908249616,0.9131320448089845,0.9543729884500474,0.9638104583078573,-1.143218655014365,1.6183760174484678,0.4351832069212207,0.3333214122545864,87,hard_endpoint_expansion,0.35,0.0,2
0.00724403257164771,0.08511188267009319,0.9630812837366977,0.9208445566820311,0.961267987161911,0.9673538685250138,-1.1649227364623906,1.5148863919321809,0.4332698924434222,0.33431936500431086,87,hard_endpoint_expansion,0.35,0.0,3
0.008397526202313958,0.09163801723255452,0.9577242410611226,0.9160396075421204,0.9564400496810438,0.9620179706078349,-1.1169984107387918,1.6827014492223404,0.4402753316080524,0.33496861884126783,87,hard_endpoint_expansion,0.35,0.0,4
0.00781000057957665,0.08837420766024807,0.9576238535493146,0.9124999518142157,0.9584920795322799,0.9645765576542948,-1.2104527072715077,1.6036008485764848,0.439999768369781,0.33486672199813683,87,hard_endpoint_expansion,0.35,0.0,5
0.009999989376307207,0.09999994688152193,0.9492916900692463,0.9072290713557801,0.9480484667728694,0.9543132150497279,-1.1993007399945108,1.5603069409442851,0.4372966073950216,0.3331180478704771,87,hard_endpoint_expansion,0.35,0.0,6
