target_construction,endpoint_delta,endpoint_stretch,rho_median,rho_p05,rmse_median,n
censored_likelihood_proxy,0.05,0.0,0.9551141657541131,0.9490516726546506,0.09463506722432075,8
censored_likelihood_proxy,0.05,0.25,0.956962208585125,0.950772405868415,0.09139857151147382,8
censored_likelihood_proxy,0.1,0.0,0.9558442567490808,0.9497749190465404,0.09112486253205443,8
censored_likelihood_proxy,0.1,0.25,0.9571721097461783,0.951331838093309,0.08829792288353708,8
censored_likelihood_proxy,0.15,0.0,0.9561864869029719,0.9502129736435211,0.08821071865060731,8
censored_likelihood_proxy,0.15,0.25,0.9571857989523339,0.9511328882971803,0.08678178945998967,8
censored_likelihood_proxy,0.25,0.0,0.9578520069852419,0.9496083670383136,0.08633371098741022,8
censored_likelihood_proxy,0.25,0.25,0.9580755973524507,0.9512392077983225,0.08656455894845222,8
censored_likelihood_proxy,0.35,0.0,0.9576740473052185,0.9504831073116592,0.08919026268904642,8
censored_likelihood_proxy,0.35,0.25,0.9576557950303444,0.9513149547390504,0.0907424210997724,8
censored_likelihood_proxy,0.5,0.0,0.9565652216066115,0.9493642428618712,0.09847495013778648,8
censored_likelihood_proxy,0.5,0.25,0.9568618210733171,0.9508919582688411,0.10122134998341542,8
censored_likelihood_proxy,0.6,0.0,0.956054157910134,0.9495184745845581,0.10615736050184675,8
censored_likelihood_proxy,0.6,0.25,0.956086099391164,0.9502047601198278,0.10893107025103725,8
censored_likelihood_proxy,0.75,0.0,0.9558761982301107,0.948811655240055,0.1181836866909605,8
censored_likelihood_proxy,0.75,0.25,0.9559674596044816,0.9490466532790603,0.12156849322210554,8
censored_likelihood_proxy,1.0,0.0,0.9544707730647981,0.946693935047777,0.13727581428018093,8
censored_likelihood_proxy,1.0,0.25,0.9535034024964659,0.9472332897703093,0.14044522960265327,8
feature_spread_endpoint_expansion,0.05,0.25,0.956962208585125,0.950772405868415,0.09139857151147382,8
feature_spread_endpoint_expansion,0.05,0.5,0.9582809354447854,0.951570486587289,0.08864137279800904,8
feature_spread_endpoint_expansion,0.05,1.0,0.9585866610489282,0.9538908070306705,0.0865018928979901,8
feature_spread_endpoint_expansion,0.1,0.25,0.9571721097461783,0.951331838093309,0.08829792288353708,8
feature_spread_endpoint_expansion,0.1,0.5,0.9579752098406427,0.951787688658292,0.08676679181819838,8
feature_spread_endpoint_expansion,0.1,1.0,0.9584908366058387,0.9534947326659007,0.08610321730930068,8
feature_spread_endpoint_expansion,0.15,0.25,0.9571857989523339,0.9511328882971803,0.08678178945998967,8
feature_spread_endpoint_expansion,0.15,0.5,0.9582124894140072,0.9525720801710104,0.08611776430061846,8
feature_spread_endpoint_expansion,0.15,1.0,0.9592802474941475,0.9532720549124355,0.0868871457070194,8
feature_spread_endpoint_expansion,0.25,0.25,0.9580755973524507,0.9512392077983225,0.08656455894845222,8
feature_spread_endpoint_expansion,0.25,0.5,0.9588878235843523,0.952192432853627,0.08769314032790854,8
feature_spread_endpoint_expansion,0.25,1.0,0.9597365543660021,0.9527810687183198,0.09139363836748024,8
feature_spread_endpoint_expansion,0.35,0.25,0.9576557950303444,0.9513149547390504,0.0907424210997724,8
feature_spread_endpoint_expansion,0.35,0.5,0.9584132644376233,0.9513304691726934,0.09276681690581362,8
feature_spread_endpoint_expansion,0.35,1.0,0.9585501564991796,0.9519122604343082,0.098534494838778,8
feature_spread_endpoint_expansion,0.5,0.25,0.9568618210733171,0.9508919582688411,0.10122134998341542,8
feature_spread_endpoint_expansion,0.5,0.5,0.9574869614877581,0.9510343260128596,0.10424684110937188,8
feature_spread_endpoint_expansion,0.5,1.0,0.9581577325893846,0.9515750496560076,0.11087194833552891,8
feature_spread_endpoint_expansion,0.6,0.25,0.956086099391164,0.9502047601198278,0.10893107025103725,8
feature_spread_endpoint_expansion,0.6,0.5,0.9565834738814856,0.950272749843734,0.11232052213896368,8
feature_spread_endpoint_expansion,0.6,1.0,0.9572542449831122,0.9506168052251126,0.11897223032376882,8
feature_spread_endpoint_expansion,0.75,0.25,0.9559674596044816,0.9490466532790603,0.12156849322210554,8
feature_spread_endpoint_expansion,0.75,0.5,0.956519590919426,0.9493026414341708,0.12461907074481293,8
feature_spread_endpoint_expansion,0.75,1.0,0.9557073646875244,0.9491520601664588,0.13169849808480452,8
feature_spread_endpoint_expansion,1.0,0.25,0.9535034024964659,0.9472332897703093,0.14044522960265327,8
feature_spread_endpoint_expansion,1.0,0.5,0.9541376690483441,0.947944672183531,0.14353499277305914,8
feature_spread_endpoint_expansion,1.0,1.0,0.9537589343447046,0.9482430968777239,0.1495457020830007,8
hard_endpoint_expansion,0.05,0.0,0.9551141657541131,0.9490516726546506,0.09463506722432075,8
hard_endpoint_expansion,0.1,0.0,0.9558442567490808,0.9497749190465404,0.09112486253205443,8
hard_endpoint_expansion,0.15,0.0,0.9561864869029719,0.9502129736435211,0.08821071865060731,8
hard_endpoint_expansion,0.25,0.0,0.9578520069852419,0.9496083670383136,0.08633371098741022,8
hard_endpoint_expansion,0.35,0.0,0.9576740473052185,0.9504831073116592,0.08919026268904642,8
hard_endpoint_expansion,0.5,0.0,0.9565652216066115,0.9493642428618712,0.09847495013778648,8
hard_endpoint_expansion,0.6,0.0,0.956054157910134,0.9495184745845581,0.10615736050184675,8
hard_endpoint_expansion,0.75,0.0,0.9558761982301107,0.948811655240055,0.1181836866909605,8
hard_endpoint_expansion,1.0,0.0,0.9544707730647981,0.946693935047777,0.13727581428018093,8
