shuffle_id,shuffle_auc_like,shuffle_spearman_vs_target,observed_auc_like,observed_spearman_vs_org_score,observed_minus_shuffle_auc,observed_minus_shuffle_spearman
0,0.46201814058956914,0.09736173539183114,0.949546485260771,0.919562243502052,0.4875283446712019,0.8222005081102208
1,0.5005668934240363,0.15944889583740474,0.949546485260771,0.919562243502052,0.44897959183673475,0.7601133476646472
2,0.6377551020408163,0.10338088723861638,0.949546485260771,0.919562243502052,0.3117913832199547,0.8161813562634356
3,0.5470521541950113,0.19192886456908345,0.949546485260771,0.919562243502052,0.4024943310657597,0.7276333789329685
4,0.5878684807256236,0.0916748094586672,0.949546485260771,0.919562243502052,0.3616780045351474,0.8278874340433847
5,0.4603174603174603,0.14473324213406294,0.949546485260771,0.919562243502052,0.4892290249433107,0.774829001367989
6,0.5045351473922902,0.13803009575923395,0.949546485260771,0.919562243502052,0.4450113378684808,0.781532147742818
7,0.49036281179138325,0.14889583740472934,0.949546485260771,0.919562243502052,0.45918367346938777,0.7706664060973226
8,0.40476190476190477,0.10687903068204024,0.949546485260771,0.919562243502052,0.5447845804988662,0.8126832128200117
9,0.503968253968254,0.0280437756497948,0.949546485260771,0.919562243502052,0.44557823129251706,0.8915184678522572
10,0.5634920634920635,0.10455344928669143,0.949546485260771,0.919562243502052,0.3860544217687075,0.8150087942153605
11,0.6184807256235828,0.2069572014852453,0.949546485260771,0.919562243502052,0.3310657596371882,0.7126050420168066
12,0.5770975056689343,0.12137971467656831,0.949546485260771,0.919562243502052,0.37244897959183676,0.7981825288254837
13,0.44047619047619047,0.18735587258159078,0.949546485260771,0.919562243502052,0.5090702947845805,0.7322063709204611
14,0.578798185941043,0.25133867500488566,0.949546485260771,0.919562243502052,0.37074829931972797,0.6682235684971662
15,0.5045351473922902,0.3371311315223764,0.949546485260771,0.919562243502052,0.4450113378684808,0.5824311119796756
16,0.6264172335600907,0.13052569865155367,0.949546485260771,0.919562243502052,0.3231292517006803,0.7890365448504983
17,0.4433106575963719,0.20625366425640027,0.949546485260771,0.919562243502052,0.5062358276643991,0.7133085792456517
18,0.4671201814058957,0.25305843267539574,0.949546485260771,0.919562243502052,0.48242630385487534,0.6665038108266562
19,0.46825396825396826,0.16611295681063123,0.949546485260771,0.919562243502052,0.48129251700680276,0.7534492866914207
20,0.4614512471655329,0.23648622239593511,0.949546485260771,0.919562243502052,0.48809523809523814,0.6830760211061169
21,0.4642857142857143,0.206624975571624,0.949546485260771,0.919562243502052,0.4852607709750567,0.712937267930428
22,0.6071428571428571,0.26312292358803985,0.949546485260771,0.919562243502052,0.3424036281179139,0.6564393199140122
23,0.6026077097505669,0.2280437756497948,0.949546485260771,0.919562243502052,0.34693877551020413,0.6915184678522571
24,0.6366213151927438,0.140062536642564,0.949546485260771,0.919562243502052,0.3129251700680272,0.779499706859488
25,0.3934240362811791,0.2010748485440688,0.949546485260771,0.919562243502052,0.556122448979592,0.7184873949579832
26,0.5124716553287982,0.05126050420168067,0.949546485260771,0.919562243502052,0.4370748299319728,0.8683017393003712
27,0.518140589569161,0.061344537815126055,0.949546485260771,0.919562243502052,0.43140589569161003,0.8582177056869259
28,0.3786848072562358,0.16081688489349227,0.949546485260771,0.919562243502052,0.5708616780045352,0.7587453586085597
29,0.5198412698412699,0.09521203830369357,0.949546485260771,0.919562243502052,0.42970521541950113,0.8243502051983584
30,0.5277777777777778,0.22264999022864962,0.949546485260771,0.919562243502052,0.4217687074829932,0.6969122532734023
