object_name,taxonomy_stage,quality_quarantined,clean_inference_eligible,A_inferred,signed_log10_residual,abs_log10_error_no_governor,m4_backbone_score,threshold,distance_to_threshold
NGC3893,mature_or_control,False,True,1.0,-0.0170224256745111,0.0170224256745111,0.5975480844676195,0.5966291843983711,0.0009189000692484406
NGC6674,mature_or_control,False,True,0.7936659624078981,0.0322623904351289,0.0322623904351289,0.5957102843291225,0.5966291843983711,0.0009189000692485516
UGC03205,mature_or_control,False,True,0.9358237580388178,0.0092392657479627,0.0092392657479627,0.5953376419052147,0.5966291843983711,0.001291542493156439
UGC07524,juvenile_forming,False,True,0.7140784731274675,0.0529520132288566,0.0529520132288566,0.5950955895078367,0.5966291843983711,0.0015335948905343955
UGC09133,true_falsifier_candidate,False,True,0.4767803589538333,0.099676132669659,0.099676132669659,0.5939263254990143,0.5966291843983711,0.0027028588993568414
NGC1090,true_falsifier_candidate,False,True,0.6611679418079871,0.057193011491666,0.057193011491666,0.5933156848061389,0.5966291843983711,0.0033134995922321497
UGC06983,mature_or_control,False,True,1.0,-0.0106281231864467,0.0106281231864467,0.5888060609886174,0.5966291843983711,0.007823123409753663
NGC6946,true_falsifier_candidate,False,True,0.7301681133883909,0.0338262899432106,0.0338262899432106,0.6045801298193839,0.5966291843983711,0.007950945421012823
UGC01281,juvenile_forming,False,True,0.9382739299718946,0.0108610000266834,0.0108610000266834,0.5878384711459332,0.5966291843983711,0.008790713252437854
NGC4088,true_falsifier_candidate,False,True,0.4597920095678989,0.0721205113385047,0.0721205113385047,0.6115236600082313,0.5966291843983711,0.014894475609860236
UGC07399,juvenile_forming,False,True,1.0,-0.144578008472295,0.144578008472295,0.581021931001153,0.5966291843983711,0.015607253397218135
UGC00128,juvenile_forming,False,True,0.9289624089297926,0.0128946458972553,0.0128946458972553,0.5749685014883625,0.5966291843983711,0.021660682910008555
F568-V1,juvenile_forming,False,True,1.0,-0.0476065183363852,0.0476065183363852,0.5748526764646347,0.5966291843983711,0.021776507933736422
NGC4183,mature_or_control,False,True,0.8004255086628022,0.032840471583085,0.032840471583085,0.6188415270017513,0.5966291843983711,0.02221234260338023
F563-V2,juvenile_forming,False,True,1.0,-0.08336072170972,0.08336072170972,0.5727839512599077,0.5966291843983711,0.02384523313846343
UGC04278,juvenile_forming,False,True,1.0,-0.0609026883488162,0.0609026883488162,0.5710866460649587,0.5966291843983711,0.025542538333412357
F574-1,mature_or_control,False,True,0.7162899142484588,0.0514949059259186,0.0514949059259186,0.6223847486184044,0.5966291843983711,0.025755564220033333
ESO116-G012,mature_or_control,False,True,1.0,-0.0712237279408208,0.0712237279408208,0.6227260416050723,0.5966291843983711,0.026096857206701185
UGC04499,juvenile_forming,False,True,0.7308090958470224,0.0485438592494414,0.0485438592494414,0.5683894401589916,0.5966291843983711,0.028239744239379472
UGC10310,disturbed_or_measurement_contaminated,False,True,0.6433123110527825,0.0688587219551644,0.0688587219551644,0.5648508898299293,0.5966291843983711,0.031778294568441834
