bootstrap_id,coef_f_star,coef_rhi_extent_organization_score,coef_fstar_x_rhi_extent_organization,organization_auc_like,spearman_vs_organization_score,organization_score_rmse,clean_spearman_vs_A_inferred,clean_spearman_vs_signed_residual,clean_spearman_vs_abs_residual
0,-0.0580837555422254,0.014479178697312531,0.16158567416135813,0.9572072072072072,0.9268819727591837,0.056008933691835947,0.11099268547757721,-0.14530727953832137,-0.16017009213323885
1,-0.02957269526513427,0.026997416342947743,0.12573330818904752,0.9454545454545454,0.9223257314343248,0.05514707211616392,0.12222002250857829,-0.15650501164321148,-0.16154702844993418
2,0.0033363135536606213,0.04069938346775546,0.11010739661869047,0.9778270509977827,0.9356440967978489,0.05833176634197809,0.11620080379614042,-0.15369039181937835,-0.15172623266173937
3,-0.023398288155559763,0.022764533243791567,0.13846624615750588,0.9473975636766334,0.9001227018825738,0.061029428112623664,0.10399160839360695,-0.1426141540953731,-0.1508555229320644
4,-0.029822656211024874,0.022675879597475024,0.1532945014542047,0.9493006993006993,0.9241684840542576,0.05458567626701043,0.10808979985739442,-0.1436468563328946,-0.15543181127872835
5,-0.12531085766371128,-0.0037942462795082944,0.25020782719465884,0.9561111111111111,0.9241892433589817,0.06275749496571674,0.11914637891073769,-0.14793965779082718,-0.17831325301204817
6,-0.020825397492622695,0.030532461732200915,0.1377315744859725,1.0,0.9229603336523866,0.06268006153652475,0.10843131581271004,-0.14433532449124228,-0.15626202288144173
7,0.02112043639969233,0.04613584946578216,0.0660498652305996,0.9568764568764568,0.8846514902605024,0.06417739219961764,0.11611542480731155,-0.15373088994634,-0.15022780196415916
8,-0.11251535371710529,0.01643763128133822,0.2243987851147645,0.9772727272727273,0.9124604136528912,0.059345025829591655,0.13609410819327544,-0.16608281866963653,-0.17566062569606158
9,-0.07504591694021674,0.025368924397888938,0.15901494715878783,0.9042081949058693,0.8468761921530652,0.0732780739073988,0.13801513544192578,-0.1681684722081604,-0.17636934291789005
10,-0.05776226928623145,0.019314533187395694,0.16882181883177783,0.9423503325942351,0.9140625381991017,0.06513530687318227,0.12089664818173025,-0.15391313151766733,-0.1674395059228511
11,-0.06387578913465299,0.0158224926212499,0.1698595189119804,0.9375,0.90429052593963,0.06753870853966563,0.12053378747920739,-0.15277918396274173,-0.170821099524147
12,-0.018288382639410804,0.03704619105109114,0.12536333225770896,0.9904420549581839,0.9541965324701996,0.06266213289184372,0.123137846638489,-0.15887415207046673,-0.15731497418244406
