galaxy_name,A_inferred,A_pred_m9,D_maturity,R_reservoir,DR_interaction,J_lambda,J_lambda_z,f_star,f_gas,log10_Sigma_b,RHI_over_Rdisk,Rdisk_kpc,Vflat,M_baryon_Msun,m59_backbone_context_available,m59_organization_label_score,m59_rhi_extent_organization_score,A_rank_m70,A_bounded_m70,model_family,feature_template,uses_angular_momentum,uses_m59_backbone,ugc07125_status,norm,object_name,taxonomy_stage,organization_label_score,rhi_extent_organization_score,quality_quarantined,measurement_limited,clean_scalar_sample,candidate_tier,missing_label_count,target_role,acquisition_priority_rank,observation_class,branch_reason,clean_rotation_response_usable,direct_settling_measurement_available
F579-V1,0.4185210478301462,0.5694706999673705,0.3997559098348834,0.3995648598838883,0.2400274957339519,-2.360484637615585,0.5457402428384374,0.6648821248393632,0.3351178751606368,8.096430722519624,6.2195845697329375,3.37,112.1,8909850000.0,False,,,0.3231316369730104,0.3231316369730104,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,F579V1,F579-V1,mature_or_control,0.6425911368515081,0.7427936918529235,False,False,True,preferred_50_pool,9.0,,36.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
F583-1,0.4575272134013476,0.03859481902144,0.1014089175533682,0.786264227072865,0.0216747133749732,-2.339633688902404,0.7152980720237874,0.1484680387161279,0.8515319612838721,7.97721007350196,6.63135593220339,2.36,85.8,3320580000.0,False,,,0.4734231929165766,0.4734231929165766,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,F5831,F583-1,juvenile_forming,0.4462449453861865,0.722100012979568,False,False,True,minimum_25_pool,9.0,,7.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
IC4202,0.4306294786657136,0.6684845668802402,0.7898575044177443,0.3002131786171697,0.5527318723618682,-2.4875666765134654,-0.4876781852809335,0.8457337330268883,0.1542662669731117,8.869367172445768,6.7217573221757325,4.78,242.6,106268080000.0,False,,,0.4298610309532192,0.4298610309532192,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,IC4202,IC4202,mature_or_control,0.6703756463172738,0.7175568671848507,False,False,True,preferred_50_pool,9.0,,37.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC0024,0.7749301571274237,0.7788451564067332,0.6741977786707579,0.3409873673074149,0.444304853077309,-2.335817066133101,0.7463344666015247,0.6838210987557938,0.3161789012442063,8.401475985917836,5.440298507462686,1.34,106.3,2843580000.0,False,,,0.6880379521657856,0.6880379521657856,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC0024,NGC0024,mature_or_control,0.7824019726063639,0.7819569192963073,False,False,True,preferred_50_pool,9.0,,38.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC0100,0.0483685791885847,0.045807781834274,0.3146372461412211,0.799216502554758,0.0631739667067738,-2.4587824363920445,-0.2536076239422659,0.3791024468060149,0.620897553193985,8.391288724537977,9.855421686746988,1.66,88.1,4262700000.0,False,,,0.118368842681176,0.118368842681176,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC0100,NGC0100,failed_stalled,0.3855734141507814,0.5600737346322111,False,False,True,minimum_25_pool,9.0,,8.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC0801,0.0,0.8649482881154322,0.674799138247284,0.2315752806238102,0.518532338442964,-2.522177735477257,-0.7691318545807331,0.8351130393642101,0.1648869606357899,8.59295919409849,5.159403669724771,8.72,220.1,187142330000.0,False,,,-0.10251708792626,0.0,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC0801,NGC0801,true_falsifier_candidate,0.789187253020455,0.7960733637582478,False,False,True,preferred_50_pool,9.0,,39.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC0891,0.3502794662500347,0.5883388322172799,0.9185949632915168,0.2725418025844734,0.6682394361510287,-2.598878011183132,-1.3928508241825768,0.9209839202625252,0.0790160797374749,9.26440549866864,7.121568627450981,2.55,216.1,75104460000.0,False,,,0.2958017345952629,0.2958017345952629,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC0891,NGC0891,mature_or_control,0.6318659252241229,0.697464244153309,False,False,True,preferred_50_pool,9.0,,40.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC1003,0.0,6.949955689801264e-07,0.1664951067382495,0.9865827744355198,0.0022339024024893,-2.5801523387400898,-1.2405755290315683,0.3036401196751674,0.6963598803248326,8.838563604646323,20.701863354037265,1.61,109.8,11230400000.0,False,,,-0.1207820368095744,0.0,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC1003,NGC1003,failed_stalled,0.3738806087009397,0.0149829361005522,False,False,True,minimum_25_pool,9.0,,9.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC1090,0.0,0.2325609088207237,0.6990460523336929,0.4773687370409355,0.3653433211977062,-2.5484577358894924,-0.982838189106986,0.7551270976014745,0.2448729023985255,8.784824515769072,8.637393767705383,3.53,164.4,47703890000.0,False,,,-0.0103212718889887,0.0,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC1090,NGC1090,true_falsifier_candidate,0.5501768418325899,0.6212860502828341,False,False,True,preferred_50_pool,9.0,,41.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC2403,0.4162950082328754,0.0283516469370487,0.5915977032617953,0.7553461158975073,0.1447366759291121,-2.493189708333644,-0.5334041175627054,0.5412838794329377,0.4587161205670624,8.883112409462322,10.870503597122305,1.39,131.2,9275170000.0,False,,,0.3637952210954545,0.3637952210954545,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC2403,NGC2403,mature_or_control,0.5105108966030939,0.5090605243947789,False,False,True,,,,,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
