model_family,feature_template,uses_angular_momentum,uses_m59_backbone,endpoint_delta,endpoint_stretch,ridge_alpha,mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,pairwise_rank_loss,objective,n_features
censored_latent_corrected,full_corrected_state,True,False,0.15,0.5,0.01,0.003766926737755285,0.061375294196893956,0.9812879279237035,0.9537397005852388,0.9816470795706628,0.9819581586949833,-0.6687681506731681,1.3721460948931203,0.38551258027696933,0.31991237531073247,0.518053501846996,-0.746719444538254,13
censored_latent_corrected,full_corrected_state,True,False,0.15,0.5,0.1,0.0037898194956796803,0.06156150985542574,0.9810232699380277,0.9534167021192953,0.9818178942009907,0.9817784869502643,-0.6666820280022382,1.357848285067155,0.38203975182675876,0.3191517954854764,0.5187438043207281,-0.7463082695918978,13
censored_latent_corrected,full_corrected_state,True,False,0.15,0.0,0.1,0.003935569734922147,0.06273411938428838,0.9812788017862664,0.9542724619867867,0.9814519979701168,0.9815178629634033,-0.5819524034323709,1.2940893840823011,0.35591037941286446,0.30688376567349285,0.5285366023154595,-0.745352862134038,13
censored_latent_corrected,full_corrected_state,True,False,0.15,0.0,0.01,0.0039065849991191245,0.06250267993549656,0.9809958915257163,0.9544114008593939,0.9809953684941055,0.9815895354237087,-0.583600152764429,1.307423926200753,0.35929933347572396,0.3079272635195045,0.5278618652568057,-0.7453438278613623,13
censored_latent_corrected,full_corrected_state,True,False,0.35,0.0,0.01,0.004280611921259154,0.06542638551272074,0.9822644246294725,0.9526923831495352,0.980845131607557,0.9811535012130204,-0.803747880542611,1.4809785041182506,0.42779073264440104,0.33356098120883587,0.5030981670983572,-0.7434983754223309,13
censored_latent_corrected,full_corrected_state,True,False,0.15,1.0,0.01,0.004138193910235017,0.06432879534263809,0.9808863778764711,0.9526432782984222,0.9816208931676613,0.9810132954890072,-0.7539361485819085,1.4368682635854868,0.41194635444333993,0.32982345837889315,0.5085515446996285,-0.7434246258523624,13
censored_latent_corrected,full_corrected_state,True,False,0.35,0.0,0.1,0.004278218382954924,0.0654080911122999,0.9814156938478227,0.9527678545553966,0.9813123455717447,0.9809924374722895,-0.8014336872709343,1.4640811885387803,0.4235802990547144,0.3333165307348779,0.5038028561923119,-0.7427952486583493,13
censored_latent_corrected,full_corrected_state,True,False,0.15,1.0,0.1,0.00417281560280159,0.06459733433201087,0.9795630879480923,0.9521935075481345,0.9804681653883282,0.9806975503421478,-0.7514116525721045,1.4216071860520088,0.4083735957437854,0.3292972637538888,0.5092545837377385,-0.7420312904238676,13
censored_latent_corrected,full_corrected_state,True,False,0.35,0.5,0.01,0.004999269717857388,0.0707055140555345,0.9822461723545984,0.9520373877390166,0.979973188275776,0.9794884176135261,-0.8889158784513509,1.5457006728106177,0.4540916678637605,0.34149856669108997,0.4939939164433283,-0.7382037324458741,13
censored_latent_corrected,full_corrected_state,True,False,0.35,0.5,0.1,0.005016183295087719,0.07082501884989315,0.9811236574498358,0.9519423930452555,0.9789100124107528,0.979218006261171,-0.8861633118408007,1.5278400895236346,0.44979749000222774,0.34132362357996054,0.49470942888554764,-0.7371300899824672,13
censored_latent_corrected,physical_state,True,False,0.15,0.5,0.01,0.00482561350938947,0.06946663594409527,0.9743246850591994,0.9465429094821171,0.9738518484668464,0.9767972041124188,-0.6964609746830659,1.4075546143628963,0.38373368814096076,0.3155828967137252,0.5206341338005739,-0.7347093463562242,12
censored_latent_corrected,physical_state,True,False,0.15,0.5,0.1,0.004895116732926491,0.06996511082622889,0.9737862429504108,0.9459051851114044,0.9738151584535383,0.9763981451805953,-0.6977669707650871,1.3943686348690192,0.37955868222551487,0.3145014642599389,0.5215740329745793,-0.7337531956816202,12
censored_latent_corrected,physical_state,True,False,0.15,1.0,0.01,0.005047774803680954,0.07104769386602885,0.9738592520499075,0.945790347553649,0.9734756079987262,0.976361068578133,-0.7804999531853807,1.470833199489359,0.41040959605893423,0.3261110581237353,0.5110424277747853,-0.7327326703763926,12
censored_latent_corrected,physical_state,True,False,0.15,0.0,0.01,0.005126680049703294,0.07160083833100904,0.9744798293956302,0.9469306395047391,0.9753690671013281,0.9758883255979075,-0.6124219961807519,1.3442760292364335,0.35723774759204174,0.3039601438552155,0.5305299623103042,-0.7327070166552765,12
censored_latent_corrected,physical_state,True,False,0.35,0.0,0.1,0.005222187589187047,0.0722647050031137,0.9751095328787897,0.9455119241556084,0.975252036480112,0.9760202324536997,-0.8324913628047946,1.5005695032570232,0.4213185511169844,0.32892568817861995,0.506628803777836,-0.7325783979438575,12
censored_latent_corrected,physical_state,True,False,0.35,0.0,0.01,0.005274111068058453,0.07262307531396926,0.975511082926022,0.945854451552223,0.9756914546619826,0.9761211868677816,-0.8311742513053544,1.5160463318988637,0.4262152774291339,0.3300004800177736,0.5056576682792454,-0.7325613451731493,12
censored_latent_corrected,physical_state,True,False,0.15,0.0,0.1,0.0051998274168664985,0.07210982885062547,0.9742425498222657,0.9465420791191568,0.9745084866616657,0.9755916420889404,-0.6138861394544322,1.3316069442368546,0.3531554333315128,0.302965775015013,0.5314330283384959,-0.7319963384983004,12
censored_latent_corrected,physical_state,True,False,0.15,1.0,0.1,0.005130829042406444,0.07162980554494368,0.9734668281401124,0.9449569268350942,0.972835470352674,0.9757704143659817,-0.781647802075742,1.4571303255011836,0.4061312871792611,0.32522449893318883,0.5120173265794931,-0.7318169983741518,12
rank_weighted_corrected,full_corrected_state,True,False,0.15,0.5,0.01,0.003766926737755285,0.061375294196893956,0.9812879279237035,0.9537397005852388,0.9816470795706628,0.9819581586949833,-0.6687681506731681,1.3721460948931203,0.38551258027696933,0.31991237531073247,0.518053501846996,-0.7311778394828441,13
rank_weighted_corrected,full_corrected_state,True,False,0.15,0.5,0.1,0.0037898194956796803,0.06156150985542574,0.9810232699380277,0.9534167021192953,0.9818178942009907,0.9817784869502643,-0.6666820280022382,1.357848285067155,0.38203975182675876,0.3191517954854764,0.5187438043207281,-0.7307459554622759,13
censored_latent_corrected,full_corrected_state,True,False,0.35,1.0,0.01,0.006095104701766051,0.07807115153349573,0.9815708381842534,0.9510988571231094,0.9789200039513439,0.9768731516505941,-0.974083876360091,1.6104228415029858,0.4805720399500935,0.3496655376071858,0.48517807793328566,-0.7302640609231196,13
rank_weighted_corrected,full_corrected_state,True,False,0.15,0.0,0.01,0.0039065849991191245,0.06250267993549656,0.9809958915257163,0.9544114008593939,0.9809953684941055,0.9815895354237087,-0.583600152764429,1.307423926200753,0.35929933347572396,0.3079272635195045,0.5278618652568057,-0.7295079719036581,13
rank_weighted_corrected,full_corrected_state,True,False,0.15,0.0,0.1,0.003935569734922147,0.06273411938428838,0.9812788017862664,0.9542724619867867,0.9814519979701168,0.9815178629634033,-0.5819524034323709,1.2940893840823011,0.35591037941286446,0.30688376567349285,0.5285366023154595,-0.7294967640645742,13
censored_latent_corrected,full_corrected_state,True,False,0.35,1.0,0.1,0.006099069719592448,0.0780965410219457,0.9794809527111584,0.9508768869322194,0.9769032188142059,0.9765911980042061,-0.9708929364106678,1.5915989905084902,0.4761803672980884,0.3493420806876426,0.48590198904970583,-0.7284622687825388,13
rank_weighted_corrected,full_corrected_state,True,False,0.35,0.0,0.01,0.004280611921259154,0.06542638551272074,0.9822644246294725,0.9526923831495352,0.980845131607557,0.9811535012130204,-0.803747880542611,1.4809785041182506,0.42779073264440104,0.33356098120883587,0.5030981670983572,-0.7284054304093802,13
rank_weighted_corrected,full_corrected_state,True,False,0.15,1.0,0.01,0.004138193910235017,0.06432879534263809,0.9808863778764711,0.9526432782984222,0.9816208931676613,0.9810132954890072,-0.7539361485819085,1.4368682635854868,0.41194635444333993,0.32982345837889315,0.5085515446996285,-0.7281680795113735,13
rank_weighted_corrected,full_corrected_state,True,False,0.35,0.0,0.1,0.004278218382954924,0.0654080911122999,0.9814156938478227,0.9527678545553966,0.9813123455717447,0.9809924374722895,-0.8014336872709343,1.4640811885387803,0.4235802990547144,0.3333165307348779,0.5038028561923119,-0.72768116297258,13
censored_latent_corrected,physical_state,True,False,0.35,0.5,0.1,0.005905981730911676,0.07685038536605836,0.9743703157463849,0.944995384982983,0.974391509207282,0.9743761777304294,-0.9163721941154492,1.5633311938891878,0.4477395002410742,0.33732646109056047,0.4974673927055781,-0.7273643830183687,12
censored_latent_corrected,physical_state,True,False,0.35,0.5,0.01,0.005959393027744587,0.07719710504769325,0.9746897305566833,0.9455654894403784,0.9748309273891526,0.97459128377615,-0.9152132298076694,1.5793249170253267,0.45272237101837226,0.33841036394229407,0.49646265436073533,-0.7272891659254874,12
rank_weighted_corrected,full_corrected_state,True,False,0.15,1.0,0.1,0.00417281560280159,0.06459733433201087,0.9795630879480923,0.9521935075481345,0.9804681653883282,0.9806975503421478,-0.7514116525721045,1.4216071860520088,0.4083735957437854,0.3292972637538888,0.5092545837377385,-0.7267536529117354,13
censored_latent_corrected,full_corrected_state,True,False,0.15,0.5,1.0,0.0055366025200968795,0.07440834980092544,0.9701996709376323,0.9429554457506544,0.9710444332228209,0.9733028540705833,-0.6430855256395609,1.284791231659307,0.3641393551441798,0.3088365528196801,0.5244670308357903,-0.7242613704960619,13
censored_latent_corrected,full_corrected_state,True,False,0.35,0.0,1.0,0.005508329666833195,0.07421812222653706,0.9697342379283403,0.9430608391918401,0.9709579465235764,0.9741527599917306,-0.7740830066435879,1.3781873745290862,0.40267698708105903,0.3279720908108422,0.5099503368012696,-0.7240559800125521,13
rank_weighted_corrected,full_corrected_state,True,False,0.35,0.5,0.01,0.004999269717857388,0.0707055140555345,0.9822461723545984,0.9520373877390166,0.979973188275776,0.9794884176135261,-0.8889158784513509,1.5457006728106177,0.4540916678637605,0.34149856669108997,0.4939939164433283,-0.7233839149525743,13
censored_latent_corrected,full_corrected_state,True,False,0.15,0.0,1.0,0.005852025393291015,0.07649853196820848,0.971404321079329,0.9445142303963531,0.9716332265834922,0.9732805263816673,-0.5616903866608174,1.225974532860638,0.3385009979021516,0.2960768889180919,0.5340873090088185,-0.7231951409492211,13
censored_latent_corrected,full_corrected_state,True,False,0.6,0.0,0.01,0.007421588175559285,0.08614864000992288,0.9824195689659032,0.950265729346997,0.9796169361668505,0.9743563930690634,-1.0789325402653382,1.6979217265151239,0.51390358293274,0.35762612509867064,0.47466524221531453,-0.7229079936110948,13
censored_latent_corrected,full_corrected_state,True,False,0.6,0.0,0.1,0.007262818057473918,0.08522216881465713,0.9806308460282325,0.9505613086031074,0.9763618435195839,0.9746414035538032,-1.0757852920691362,1.67657094410938,0.5086431162598792,0.35727027264192174,0.47537231542320385,-0.7223140503093404,13
rank_weighted_corrected,full_corrected_state,True,False,0.35,0.5,0.1,0.005016183295087719,0.07082501884989315,0.9811236574498358,0.9519423930452555,0.9789100124107528,0.979218006261171,-0.8861633118408007,1.5278400895236346,0.44979749000222774,0.34132362357996054,0.49470942888554764,-0.7222888071159008,13
censored_latent_corrected,full_corrected_state,True,False,0.15,1.0,1.0,0.005814511301226899,0.07625294290207361,0.9684292002748358,0.9412593627093248,0.969651145208249,0.9720281448200381,-0.7244806646183042,1.3436079304579756,0.3899194854352414,0.32138832711119353,0.515139197996712,-0.7209118773315367,13
