fold,model_family,feature_template,uses_angular_momentum,uses_m59_backbone,endpoint_delta,endpoint_stretch,ridge_alpha,mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,objective
0,censored_latent_corrected,full_corrected_state,True,False,0.15,0.0,0.01,0.004766872121642988,0.06904253849361992,0.954592363261094,0.9588823550775732,0.954592363261094,0.9799371212804061,-0.01018406287455667,1.332554284674354,0.3488550561338579,0.3097531507383122,-0.7447083642437371
1,censored_latent_corrected,full_corrected_state,True,False,0.15,0.0,0.01,0.0017764205342891315,0.042147604134625864,0.976590693469832,0.9113153430092511,0.9826302729528535,0.9903138805530362,-0.795879505876854,1.3350807802919786,0.44439748833466686,0.28426802998765854,-0.7495807527200264
2,censored_latent_corrected,full_corrected_state,True,False,0.15,0.0,0.01,0.012332733491380579,0.11105284098743524,0.9441592065786599,0.9202396121008654,0.9446467662324197,0.9459208204171572,-0.33956024986947003,0.9397839484176947,0.3265729575523613,0.2828024739533806,-0.7503814273917601
3,censored_latent_corrected,full_corrected_state,True,False,0.15,0.5,0.01,0.008974830674323725,0.09473558293652773,0.9600537037294484,0.9630219126871654,0.9624154630269729,0.9727682995000488,-0.0075082220239815894,1.190466371404458,0.40285703824199887,0.36563772218500573,-0.7477722534639807
4,censored_latent_corrected,full_corrected_state,True,False,0.15,0.5,0.01,0.004754724773356298,0.06895451234949239,0.9454324278554037,0.9455434462544572,0.9454324278554037,0.9615204137509216,-0.30536199743265163,1.048450062136792,0.28680558342535556,0.2491568899339946,-0.7455339604077652
