object_name,taxonomy_stage,radial_footprint_score,HI_extent_footprint_score,surface_density_footprint_score,concentration_footprint_score,composition_footprint_score,F_occ,F_crit,A_footprint_candidate,m56_hi_structural_score,gas_fraction_only_score,stellar_fraction_only_score,rhi_over_rd_only_score,quality_only_score,underfilled_stellar_footprint,overextended_HI_footprint,low_surface_density_footprint,low_concentration_footprint,radial_scale_outside_footprint,measurement_limited,quality_quarantined,quality_used_as_footprint_component,dominant_failure_mode,claim_boundary,abs_log10_error_no_governor,A_inferred,organization_label_settled,organization_label_score
NGC0801,true_falsifier_candidate,0.5961080222398729,1.0,1.0,1.0,1.0,0.9192216044479746,0.9882550689333227,0.33395863396930164,0.7191167564247225,0.8351130393642101,0.8351130393642101,0.7960733637582478,1.0,False,False,False,False,True,False,False,False,radial_scale_mismatch,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0470829068277363,0.6044754277243196,1,0.789187253020455
NGC0891,mature_or_control,1.0,1.0,0.8646147059796234,1.0,1.0,0.9729229411959247,0.9882550689333227,0.4617445917888329,0.8011293129980508,0.9209839202625252,0.920983920262525,0.697464244153309,1.0,False,False,False,False,False,False,False,False,low_surface_density,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0254962081605126,0.7463354013850007,1,0.6318659252241229
NGC1003,failed_stalled,0.9920571882446386,0.0,1.0,0.6183722477266808,0.4260332298286602,0.607292533159996,0.9882550689333227,0.021676209689053892,0.5270038880192786,0.3036401196751673,0.3036401196751674,0.0149829361005522,1.0,True,True,False,True,True,False,False,False,HI_overextended,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0635245111991767,0.6959850040662326,0,0.3738806087009397
NGC1090,true_falsifier_candidate,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.7545945763278582,0.7551270976014745,0.7551270976014745,0.6212860502828341,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.057193011491666,0.6611679418079871,0,0.5501768418325899
NGC2403,mature_or_control,0.9483717235901509,0.8123704420513178,1.0,0.9248214816278838,1.0,0.9371127294538706,0.9882550689333227,0.3748599078872355,0.6930400969700469,0.5412838794329375,0.5412838794329377,0.5090605243947789,1.0,False,True,False,True,True,False,False,False,HI_overextended,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0404458091376348,1.0,0,0.5105108966030939
NGC2841,mature_or_control,1.0,0.5637755800134863,1.0,0.8478059688544846,1.0,0.8823163097735941,0.9882550689333227,0.2574265041316258,0.7480409974027552,0.8785671753318778,0.8785671753318778,0.4324161798635315,1.0,False,True,False,True,False,False,False,False,HI_overextended,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0600710115893392,1.0,0,0.5542143616632161
NGC2903,mature_or_control,1.0,1.0,0.9983965480548311,1.0,1.0,0.9996793096109663,0.9882550689333227,0.5285295793678606,0.8129525091547795,0.9234267464940172,0.9234267464940172,0.7585741048612614,1.0,False,False,False,False,False,False,False,False,low_surface_density,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0168198059607071,0.8283195478752283,1,0.7517342285708569
NGC2998,mature_or_control,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.7592769038505663,0.7075245007001539,0.7075245007001539,0.7021146839039052,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0129106994584879,0.9057699266164848,1,0.6352352489850656
NGC3109,juvenile_forming,0.9821286735504369,1.0,0.7280714958702232,1.0,0.0,0.742040033884132,0.9882550689333227,0.07855454565637036,0.2264696938145707,0.1326205548187746,0.1326205548187747,0.862071081439301,1.0,True,False,True,False,True,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0383771483298666,1.0,0,0.573996418462721
NGC3198,true_falsifier_candidate,1.0,0.733121306948831,1.0,0.8982056016237236,1.0,0.9262653817145109,0.9882550689333227,0.34980490660025937,0.6947284992798005,0.569708176180754,0.5697081761807541,0.4846272035899667,1.0,False,True,False,True,False,False,False,False,HI_overextended,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.041752092637036,0.7652021531474711,0,0.4208310953437688
