object_name,M_baryon_Msun,F_occ,footprint_occupied_mass_Msun,off_footprint_mass_Msun,off_footprint_mass_fraction,dominant_failure_mode,underfilled_stellar_footprint,overextended_HI_footprint,low_surface_density_footprint,low_concentration_footprint,quality_quarantined
UGC00128,15893230000.000002,0.8991573733452609,14290514940.772102,1602715059.227899,0.10084262665473909,composition_underfilled,True,False,True,False,False
UGC00731,2564810000.0,0.7825028968993059,2006971254.9963086,557838745.0036913,0.21749710310069414,composition_underfilled,True,False,True,False,False
UGC01230,12361900000.0,0.8874970643509201,10971149959.799639,1390750040.2003605,0.11250293564907987,composition_underfilled,True,False,False,False,False
UGC01281,567520000.0,0.7661156893893839,434785976.04226315,132734023.95773685,0.2338843106106161,composition_underfilled,True,False,True,False,False
UGC02487,268868290000.0,0.9521842732327244,256012157308.97537,12856132691.024628,0.047815726767275635,radial_scale_mismatch,False,False,False,False,False
UGC02885,255062250000.0,0.8127879269261319,207311517414.61478,47750732585.385216,0.1872120730738681,radial_scale_mismatch,False,False,False,False,False
UGC03205,69691410000.0,1.0,69691410000.0,0.0,0.0,composition_underfilled,False,False,False,False,False
UGC03546,54225750000.0,0.9983194375556874,54134620241.03532,91129758.96468306,0.0016805624443125833,composition_underfilled,False,False,False,False,False
UGC04278,2137780000.0,0.8608486576476043,1840305043.3458955,297474956.6541044,0.13915134235239568,composition_underfilled,True,False,True,False,False
UGC04325,1914740000.0,0.9876719419955308,1891134974.2165227,23605025.783477418,0.012328058004469233,low_surface_density,True,False,True,False,False
UGC04499,2239000000.0,0.9067530545795603,2030220089.2036357,208779910.7963644,0.09324694542043965,composition_underfilled,True,False,False,False,False
UGC05005,6163690000.0,0.8989218568668467,5540675659.951614,623014340.0483859,0.10107814313315333,composition_underfilled,True,False,True,False,False
UGC05721,1012960000.0,0.5493138840773697,556432992.0150124,456527007.9849876,0.4506861159226303,HI_overextended,True,True,False,True,False
UGC06399,2044420000.0,0.9827627258744244,2009179772.0321906,35240227.96780933,0.01723727412557563,low_surface_density,False,False,True,False,False
UGC06446,2328070000.0,0.8329694734005739,1939211241.9396741,388858758.06032586,0.16703052659942608,composition_underfilled,True,False,False,False,False
UGC06614,91286040000.0,0.9035764161337705,82483912866.24402,8802127133.755981,0.09642358386622951,HI_overextended,False,True,False,True,False
UGC06667,1774470000.0,0.49760928228870877,882992743.142845,891477256.8571548,0.5023907177112912,low_concentration,True,False,True,False,False
UGC06786,43393400000.0,1.0,43393400000.0,0.0,0.0,composition_underfilled,False,False,False,False,False
UGC06917,6106590000.0,1.0,6106590000.0,0.0,0.0,composition_underfilled,False,False,False,False,False
UGC06930,8771210000.0,0.9826361354673674,8618907897.772728,152302102.22727248,0.01736386453263261,composition_underfilled,True,False,True,False,False
UGC06983,6595110000.0,0.9343879848571787,6162391542.811427,432718457.1885724,0.06561201514282133,composition_underfilled,True,False,False,False,False
