galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,_Vflat,_L36,_MHI,_Rdisk,_T,M_star_Msun,M_gas_Msun,M_baryon_Msun,star_frac,gas_frac,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,v_m5_bdvr_km_s,v_flat_obs_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,log10_SBeff,log10_SBdisk,stellar_to_gas_ratio,log10_M_baryon_Msun
F583-1,1.0,9.0,85.8,3.6,0.986,2.126,2.36,15.65,3.74,11.19,60.93,35.4,63.0,"KN08,dB96",85.8,0.986,2.126,2.36,9.0,493000000.0,2827580000.0,3320580000.0,0.1484680387161279,0.8515319612838721,4.108050847457627,1.2610047611710185,1.0,1.0,1.0,1.1352189194619575,90.85938657009581,85.8,1.0589672094416762,0.02488251253523157,0.02488251253523157,1.04883008652835,1.7848311781244692,0.17435404126496862,9.521213947800288
IC4202,1.0,4.0,242.6,11.0,179.749,12.326,4.78,32.13,8.55,391.59,8888.53,100.4,90.0,SG06,242.6,179.749,12.326,4.78,4.0,89874500000.0,16393580000.0,106268080000.0,0.8457337330268883,0.15426626697311177,4.2552301255230125,1.2652654767858007,1.0119978035750912,1.1,1.1131975839326005,1.2679928583096862,228.3944863674295,242.6,0.9414447088517292,-0.026205181059648613,0.026205181059648613,2.5928315927320416,3.948829942558922,5.482298558338081,11.02640283402812
NGC0024,1.0,5.0,106.3,7.9,3.889,0.676,1.34,7.29,2.01,151.65,1182.58,7.3,64.0,"Di08,Ch06",106.3,3.889,0.676,1.34,5.0,1944500000.0,899080000.0000001,2843580000.0,0.6838210987557938,0.3161789012442063,3.470149253731343,1.2399189693835069,1.0,1.0,1.0,1.1162364457187262,86.67043277566295,106.3,0.8153380317560014,-0.0886622993703862,0.0886622993703862,2.1808424146466825,3.072830529860883,2.1627663834141564,9.453865451005566
NGC0100,1.0,6.0,88.1,6.4,3.232,1.99,1.66,16.36,2.81,64.99,1193.52,13.5,89.0,"dB02,Rh96",88.1,3.232,1.99,1.66,6.0,1616000000.0,2646700000.0,4262700000.0,0.37910244680601496,0.620897553193985,5.774096385542169,1.2989281043157102,1.0,1.0,1.0,1.1693593905789126,98.15709556307013,88.1,1.1141554547454044,0.04694579086279415,0.04694579086279415,1.8128465369670712,3.076829700943831,0.6105716552688253,9.629684768976201
NGC0801,1.0,5.0,220.1,6.2,312.57,23.201,8.72,44.99,7.76,818.14,1558.94,80.7,80.0,"Sa96,Br92",220.1,312.57,23.201,8.72,5.0,156285000000.0,30857330000.0,187142330000.0,0.8351130393642101,0.1648869606357899,3.0246559633027523,1.222296074823408,1.0016766843117377,1.0,1.0016766843117377,1.1022164190471202,245.30305073273442,220.1,1.1145072727520873,0.04708290682773633,0.04708290682773633,2.9128276264402975,3.1928294005189524,5.064760949829425,11.27217203232174
NGC0891,1.0,3.0,216.1,5.7,138.34,4.462,2.55,18.16,3.68,1617.45,5067.92,9.91,90.0,Fr11,216.1,138.34,4.462,2.55,3.0,69170000000.0,5934460000.0,75104460000.0,0.9209839202625251,0.07901607973747497,4.282352941176471,1.266028103776797,1.110269969328327,1.2,1.3323239631939925,1.5185044875328593,229.16641721395715,216.1,1.0604646793797183,0.02549620816051267,0.02549620816051267,3.208830864265175,3.704829750680075,11.655651904301319,10.875665727894663
NGC1003,1.0,6.0,109.8,4.2,6.82,5.88,1.61,33.33,2.76,140.87,1345.33,11.4,67.0,"Sa96,Br92",109.8,6.82,5.88,1.61,6.0,3410000000.0,7820400000.0,11230400000.0,0.3036401196751674,0.6963598803248326,11.20807453416149,1.3416529489421265,1.0,1.0,1.0,1.2078224110562814,127.09452762483886,109.8,1.1575093590604633,0.06352451119917675,0.06352451119917675,2.1488185146020182,3.1288288267921383,0.43603907728504937,10.050395225068138
NGC1090,1.0,4.0,164.4,3.7,72.045,8.783,3.53,30.49,6.36,283.68,2055.09,37.0,64.0,Ge04,164.4,72.045,8.783,3.53,4.0,36022500000.0,11681390000.0,47703890000.0,0.7551270976014745,0.24487290239852558,5.219546742209632,1.2885585775508175,1.0,1.1,1.1,1.2760266520988335,187.54039426852225,164.4,1.1407566561345635,0.05719301149166602,0.05719301149166602,2.4528287182568427,3.312830845991887,3.0837511631749304,10.678553794902832
NGC2403,1.0,6.0,131.2,4.9,10.041,3.199,1.39,15.11,2.16,341.06,1408.74,3.16,63.0,"Da06,Fr02",131.2,10.041,3.199,1.39,6.0,5020500000.0,4254670000.0,9275170000.0,0.5412838794329377,0.4587161205670624,6.212230215827338,1.3058677967138757,1.0,1.0,1.0,1.1756068452660209,119.53305683066041,131.2,0.9110751282824727,-0.04044580913763483,0.04044580913763483,2.5328307877218803,3.148830846207502,1.17999750861994,9.967321878328628
NGC2841,1.0,3.0,284.8,8.6,188.121,9.775,3.64,45.12,5.51,983.63,4751.49,14.1,76.0,"Di08,Be91",284.8,188.121,9.775,3.64,3.0,94060500000.0,13000750000.000002,107061250000.0,0.8785671753318778,0.12143282466812223,6.9546703296703285,1.3155430847156047,1.048140661490911,1.2,1.2577687937890931,1.4895969878945892,248.00987495300308,284.8,0.8708211901439714,-0.06007101158933921,0.06007101158933921,2.992831765934685,3.6768298195842184,7.235005672749648,11.0296323097081
