galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,_Vflat,_L36,_MHI,_Rdisk,_T,M_star_Msun,M_gas_Msun,M_baryon_Msun,star_frac,gas_frac,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,v_m5_bdvr_km_s,v_flat_obs_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,log10_SBeff,log10_SBdisk,stellar_to_gas_ratio,log10_M_baryon_Msun
NGC7814,1.0,2.0,218.9,7.0,74.529,1.07,2.54,12.15,2.08,2709.13,2635.3,14.4,90.0,Fr11,218.9,74.529,1.07,2.54,2.0,37264500000.0,1423100000.0000002,38687600000.0,0.9632156039661287,0.036784396033871326,2.801181102362205,1.21241992374422,1.215726962628765,1.3,1.5804450514173947,1.7250248653833697,206.92698513381484,218.9,0.9453037237725667,-0.024428631315380266,0.024428631315380266,3.432829845538161,3.420830062026114,26.185440236104274,10.587571788933293
UGC00128,1.0,8.0,129.3,2.8,12.02,7.431,5.95,31.27,9.63,20.36,88.89,64.5,57.0,"VB99,VH93",129.3,12.02,7.431,5.95,8.0,6010000000.0,9883230000.000002,15893230000.000002,0.378148431753646,0.621851568246354,3.4369747899159666,1.2386949209427192,1.0,1.0,1.0,1.1151344967086132,133.19660971606464,129.3,1.030136192699649,0.012894645897255388,0.012894645897255388,1.308777773664721,1.9488529061997135,0.6081007929593867,10.201212168360524
UGC00731,1.0,10.0,73.3,2.3,0.323,1.807,2.3,11.57,1.4,25.63,82.57,12.5,57.0,"Sw09,Sw02",73.3,0.323,1.807,2.3,10.0,161500000.0,2403310000.0,2564810000.0,0.06296762723164678,0.9370323727683532,2.819565217391305,1.2132604417332014,1.0,1.0,1.0,1.0922371192407492,83.55044525791908,73.3,1.1398423636823887,0.05684479404120883,0.05684479404120883,1.408748606184244,1.916822284595912,0.06719898806229742,9.409055198294674
UGC01230,1.0,9.0,103.7,6.1,7.62,6.43,4.34,26.29,6.45,28.63,69.32,53.7,22.0,"dB02,VdH93",103.7,7.62,6.43,4.34,9.0,3810000000.0,8551900000.0,12361900000.0,0.3082050493856122,0.6917949506143878,3.7718894009216593,1.250452323768591,1.0,1.0,1.0,1.125719092851827,125.67903163159885,103.7,1.211948231741551,0.08348406937717512,0.08348406937717512,1.4568213480215986,1.8408585540418794,0.445515031747331,10.092085226100666
UGC01281,1.0,8.0,55.2,3.5,0.353,0.294,1.63,5.26,2.01,13.83,135.78,5.27,90.0,"dB02,Sw02",55.2,0.353,0.294,1.63,8.0,176500000.0,391020000.0,567520000.0,0.3110022554271215,0.6889977445728784,2.2300613496932513,1.1835692393043595,1.0,1.0,1.0,1.065507628776736,56.59786875752487,55.2,1.0253237093754506,0.010861000026683483,0.010861000026683483,1.1408221801093106,2.1328358043383724,0.4513835609431743,8.753981171127867
UGC02487,1.0,0.0,332.0,3.5,489.955,17.963,7.89,40.2,9.63,818.14,1150.35,69.1,36.0,"No07,No05",332.0,489.955,17.963,7.89,0.0,244977500000.0,23890790000.000004,268868290000.0,0.9111431474496304,0.08885685255036957,3.157794676806084,1.2278396007840038,1.0935777049443676,1.5,1.6403665574165514,1.8131988587133505,344.4562886831093,332.0,1.0375189418165942,0.01599603430107516,0.01599603430107516,2.9128276264402975,3.060829996825313,10.254056060933939,11.429539585079066
UGC02885,1.0,5.0,289.5,12.0,403.525,40.075,11.4,74.24,12.2,421.53,470.79,80.6,64.0,"Sa96,RA85",289.5,403.525,40.075,11.4,5.0,201762500000.0,53299750000.00001,255062250000.0,0.7910323852314484,0.20896761476855163,3.791228070175438,1.2510919664424829,1.0,1.0,1.0,1.1262949308561365,267.9255399206608,289.5,0.9254768218330253,-0.03363445349245784,0.03363445349245784,2.624828488500072,2.672827229466761,3.785430513276328,11.406646186442565
UGC03205,1.0,2.0,219.6,8.6,113.642,9.677,3.19,28.6,5.35,587.26,3915.89,50.0,67.0,"No07,No05",219.6,113.642,9.677,3.19,2.0,56821000000.0,12870410000.0,69691410000.0,0.8153228640373326,0.1846771359626674,5.321316614420063,1.2906079161079664,1.0,1.3,1.3,1.510429888778797,224.3218621711867,219.6,1.0215021046046753,0.00923926574796271,0.00923926574796271,2.768830420780154,3.5928304836765594,4.414855470804738,10.843179251275886
UGC03546,1.0,1.0,196.9,7.4,101.336,2.675,3.79,18.37,2.58,2403.42,922.21,28.7,55.0,"No07,No05",196.9,101.336,2.675,3.79,1.0,50668000000.0,3557750000.0,54225750000.0,0.9343900268783742,0.0656099731216258,2.763852242744063,1.2106973264196699,1.1363764990649612,1.4,1.5909270986909456,1.7339986571099069,225.73675281123442,196.9,1.146453797923994,0.05935655735555879,0.05935655735555879,3.3808296708221524,2.9648298271886073,14.241585271590191,10.734205567483997
UGC04278,1.0,7.0,91.4,4.8,1.307,1.116,2.21,8.9,2.46,34.11,377.42,9.51,90.0,"dB02,Sw02",91.4,1.307,1.116,2.21,7.0,653500000.0,1484280000.0000002,2137780000.0000002,0.30569095042520744,0.6943090495747926,2.5701357466063346,1.201405482248547,1.0,1.0,1.0,1.0815646977631832,79.44078140808993,91.4,0.8691551576377454,-0.060902688348816236,0.060902688348816236,1.5328817194073971,2.576824910294984,0.44028080955075855,9.3299630097118
UGC04325,1.0,9.0,90.9,2.7,2.026,0.678,1.86,6.61,2.79,41.0,213.22,9.6,41.0,"Sw09,Sw02",90.9,2.026,0.678,1.86,9.0,1012999999.9999999,901740000.0000001,1914740000.0,0.5290535529628043,0.47094644703719574,2.5268817204301075,1.1992475258607282,1.0,1.0,1.0,1.0796219985805482,77.21289184749469,90.9,0.8494267529977413,-0.0708740648707405,0.0708740648707405,1.6127838567197355,2.3288279390142805,1.123383680440038,9.282109810037621
UGC04499,1.0,8.0,72.8,2.4,1.552,1.1,1.73,8.67,2.69,33.79,127.3,12.5,50.0,"Sw09,Sw02",72.8,1.552,1.1,1.73,8.0,776000000.0,1463000000.0000002,2239000000.0,0.34658329611433675,0.6534167038856633,3.283236994219653,1.2328423078983566,1.0,1.0,1.0,1.109865684678054,81.40952833469596,72.8,1.1182627518502193,0.04854385924944147,0.04854385924944147,1.5287881917748962,2.1048284036536553,0.530416951469583,9.35005409357903
UGC05005,1.0,10.0,98.9,7.2,4.1,3.093,3.2,21.61,5.02,25.63,65.59,53.7,41.0,"dB02,VH93",98.9,4.1,3.093,3.2,10.0,2049999999.9999998,4113690000.0,6163690000.0,0.3325929759608286,0.6674070240391713,4.1609375,1.262559899973085,1.0,1.0,1.0,1.1366189324078688,106.11924294591643,98.9,1.0729953786240285,0.03059785146976715,0.03059785146976715,1.408748606184244,1.816837630902035,0.49833604379523,9.78984078795116
UGC05721,1.0,7.0,79.7,6.6,0.531,0.562,0.38,6.74,0.6,233.79,913.76,6.18,61.0,"dB02,Sw02",79.7,0.531,0.562,0.38,7.0,265500000.0,747460000.0000001,1012960000.0000001,0.2621031432633075,0.7378968567366925,9.657894736842104,1.3360059126415424,1.0,1.0,1.0,1.2027386693887572,69.50406644054378,79.7,0.872071097121001,-0.05944810700706415,0.05944810700706415,2.3688259309588453,2.9608321428206965,0.3552029540042276,9.005592296177396
UGC06399,1.0,9.0,85.0,3.8,2.296,0.674,2.05,8.8,3.45,30.82,311.05,18.0,75.0,"VS01,SV98",85.0,2.296,0.674,2.05,9.0,1148000000.0,896420000.0000001,2044420000.0,0.5615284530575909,0.43847154694240914,2.987804878048781,1.2207177246052956,1.0,1.0,1.0,1.0989505344988482,79.18776867377045,85.0,0.9316208079267112,-0.030760819979745477,0.030760819979745477,1.4888326343824005,2.4928302056786884,1.280649695455255,9.310570120887753
UGC06446,1.0,7.0,82.2,4.3,0.988,1.379,1.49,10.33,2.06,37.05,86.46,12.0,51.0,"VS01,SV98",82.2,0.988,1.379,1.49,7.0,494000000.0,1834070000.0,2328070000.0,0.21219293234309966,0.7878070676569003,4.157718120805369,1.262466015327448,1.0,1.0,1.0,1.136534412801555,83.18917299910873,82.2,1.0120337347823447,0.0051949893670559565,0.0051949893670559565,1.568788212315347,1.9368152311976328,0.2693463172070859,9.366996034464401
UGC06614,1.0,1.0,199.8,16.0,124.35,21.888,5.1,60.63,3.68,1461.61,540.54,88.7,36.0,"dB01,VH93",199.8,124.35,21.888,5.1,1.0,62175000000.0,29111040000.000004,91286040000.0,0.6811008561659592,0.31889914383404083,6.304901960784315,1.3072102251977589,1.0,1.4,1.4,1.64754151219284,250.63734314036813,199.8,1.2544411568586993,0.09845029430672628,0.09845029430672628,3.164831505697767,2.732827837302287,2.1357876599393215,10.960404367736713
UGC06667,1.0,6.0,83.8,3.1,1.397,0.809,5.15,8.59,3.5,18.06,614.94,18.0,89.0,"VS01,SV98",83.8,1.397,0.809,5.15,6.0,698500000.0,1075970000.0,1774470000.0,0.3936386639390917,0.6063613360609084,1.5,1.1377142691005784,1.0,1.0,1.0,1.0242267142793506,73.78901586001074,83.8,0.8805371821003668,-0.05525230052569596,0.05525230052569596,1.256717745977487,2.788832743515087,0.6491816686338838,9.249068661364879
UGC06786,1.0,0.0,219.4,7.8,73.407,5.03,3.6,20.31,3.42,992.73,1078.52,29.3,64.0,"No07,No05",219.4,73.407,5.03,3.6,0.0,36703500000.0,6689900000.000001,43393400000.0,0.8458313937142514,0.15416860628574855,3.2958333333333334,1.2333331959516025,1.0120953548944314,1.5,1.518143032341647,1.6856057564240632,210.5040355276997,219.4,0.9594532157142192,-0.017976197220867438,0.017976197220867438,2.996831146325563,3.0328282030399567,5.486404878996696,10.6374236797072
UGC06917,1.0,9.0,108.7,3.5,6.832,2.023,2.76,12.67,4.52,53.07,261.11,18.0,56.0,"VS01,SV98",108.7,6.832,2.023,2.76,9.0,3416000000.0,2690590000.0000005,6106590000.0,0.5593956692687736,0.4406043307312265,3.114130434782609,1.2260485847628753,1.0,1.0,1.0,1.1037496387482806,104.33054618752847,108.7,0.959802632819949,-0.017818063095400426,0.017818063095400426,1.7248490876293856,2.416823504766854,1.2696100111871371,9.785798762190888
UGC06930,1.0,7.0,107.2,5.1,8.932,3.237,3.94,16.76,4.38,73.93,189.16,18.0,32.0,"VS01,SV98",107.2,8.932,3.237,3.94,7.0,4466000000.0,4305210000.000001,8771210000.0,0.5091657821440827,0.49083421785591735,2.682741116751269,1.206879616957999,1.0,1.0,1.0,1.0864927848578603,113.31954022629942,107.2,1.0570852633050318,0.02411001842329181,0.02411001842329181,1.8688207061975175,2.2768293053433886,1.037347771653415,9.943059508996027
UGC06983,1.0,6.0,109.0,5.8,5.298,2.967,3.21,16.07,3.95,53.56,121.57,18.0,49.0,"VS01,SV98",109.0,5.298,2.967,3.21,6.0,2649000000.0,3946110000.0000005,6595110000.0,0.4016612308210174,0.5983387691789827,3.1183800623052957,1.2262240429101299,1.0,1.0,1.0,1.1039075948595265,106.36490946102917,109.0,0.9758248574406346,-0.010628123186446703,0.010628123186446703,1.7288405683399715,2.0848264166974335,0.6712940085299193,9.819222043551013
UGC07125,1.0,9.0,65.2,2.1,2.712,4.629,3.38,23.04,3.92,28.11,103.0,19.8,90.0,"Sw09,Sw02",65.2,2.712,4.629,3.38,9.0,1356000000.0,6156569999.999999,7512569999.999999,0.18049748621310685,0.8195025137868931,3.9881656804733727,1.2573763420608173,1.0,1.0,1.0,1.13195243693273,111.27246923349932,65.2,1.7066329637039772,0.23214012979801618,0.23214012979801618,1.4488608456074408,2.012837224705172,0.2202525107324371,9.875788531662657
UGC07151,1.0,6.0,73.5,2.8,2.284,0.616,1.25,6.39,2.17,76.71,965.67,6.87,90.0,"Sw09,Sw02",73.5,2.284,0.616,1.25,6.0,1142000000.0,819280000.0,1961280000.0,0.5822728014357971,0.417727198564203,3.424,1.238212491786097,1.0,1.0,1.0,1.1147001900963296,78.92969793087273,73.5,1.0738734412363637,0.030953101650903737,0.030953101650903737,1.8848519827459977,2.984828739599503,1.3939068450346646,9.292539599672017
UGC07399,1.0,8.0,103.0,3.3,1.156,0.745,1.64,7.85,1.27,113.98,135.78,8.43,55.0,"Sw09,Sw02",103.0,1.156,0.745,1.64,8.0,578000000.0,990850000.0,1568850000.0,0.36842273002517767,0.6315772699748223,2.780487804878049,1.2114676480840527,1.0,1.0,1.0,1.0906231576349938,73.83447925988595,103.0,0.7168396044649121,-0.14457800847229507,0.14457800847229507,2.0568286526378117,2.1328358043383724,0.5833375384770652,9.19558142205319
UGC07524,1.0,9.0,79.5,3.6,2.436,1.779,3.46,12.11,3.61,29.71,106.86,4.74,46.0,"Sw09,Sw02",79.5,2.436,1.779,3.46,9.0,1218000000.0,2366070000.0,3584070000.0,0.33983711255639537,0.6601628874436046,2.2716763005780347,1.185861969872389,1.0,1.0,1.0,1.0675716583491848,89.80885136279126,79.5,1.1296710863244184,0.052952013228856606,0.052952013228856606,1.472902651803664,2.028815169846887,0.5147776692997249,9.554376483221354
UGC07603,1.0,7.0,61.6,2.8,0.376,0.258,0.53,4.37,0.85,81.81,520.99,4.7,78.0,"Sw09,Sw02",61.6,0.376,0.258,0.53,7.0,188000000.0,343140000.0,531140000.0,0.3539556425801107,0.6460443574198893,4.9245283018867925,1.2822093879160175,1.0,1.0,1.0,1.1543083743175426,57.941492612499005,61.6,0.940608646306802,-0.02659103342953719,0.02659103342953719,1.9128063926612924,2.7168293874329246,0.5478813312350644,8.725209009242763
UGC08286,1.0,6.0,82.4,2.3,1.255,0.642,1.05,8.07,2.25,39.52,1488.78,6.5,90.0,"Sw09,Sw02",82.4,1.255,0.642,1.05,6.0,627500000.0,853860000.0000001,1481360000.0,0.4235972349732678,0.5764027650267323,4.914285714285715,1.281977541929827,1.0,1.0,1.0,1.154099655081875,74.87094457286696,82.4,0.9086279681173174,-0.041613899469354995,0.041613899469354995,1.5968169359155906,3.172830525928742,0.7348979926451642,9.170660613561282
UGC08490,1.0,9.0,78.6,3.8,1.017,0.72,0.67,7.8,1.14,124.98,576.54,4.65,50.0,"Sw09,Sw02",78.6,1.017,0.72,0.67,9.0,508499999.99999994,957600000.0,1466100000.0,0.3468385512584407,0.6531614487415592,6.671641791044776,1.3121340399244361,1.0,1.0,1.0,1.181248027651385,75.55060558750922,78.6,0.9612036334288706,-0.017184596196137464,0.017184596196137464,2.0968405203313893,2.7608294437671277,0.5310150375939849,9.166163593747834
UGC08550,1.0,7.0,56.9,1.9,0.289,0.288,0.45,5.59,1.01,45.38,1284.78,6.7,90.0,"Sw09,Sw02",56.9,0.289,0.288,0.45,7.0,144500000.0,383040000.0,527540000.0,0.27391287864427344,0.7260871213557266,7.333333333333332,1.3196289846841247,1.0,1.0,1.0,1.1879953480053698,58.68102915994972,56.9,1.0313010397179214,0.013385455588847983,0.013385455588847983,1.6568644915489172,3.108828767382579,0.3772451963241437,8.722255395004163
UGC09133,1.0,2.0,226.8,4.2,282.926,33.428,6.97,60.35,5.92,1284.78,864.63,57.1,53.0,"No07,No05",226.8,282.926,33.428,6.97,2.0,141463000000.0,44459240000.0,185922240000.0,0.7608718569655787,0.23912814303442126,4.753945480631277,1.278243053811765,1.0,1.3,1.3,1.495958989174262,285.31143814781495,226.8,1.2579869406870148,0.09967613266965906,0.09967613266965906,3.108828767382579,2.9368303001409872,3.1818582593854505,11.269331343142353
UGC10310,1.0,9.0,71.4,3.9,1.741,1.196,1.8,9.58,3.12,28.37,158.79,15.2,34.0,"Sw09,Sw02",71.4,1.741,1.196,1.8,9.0,870500000.0,1590680000.0,2461180000.0,0.3536921314166375,0.6463078685833624,3.5277777777777777,1.2420133910149516,1.0,1.0,1.0,1.1181219477680113,83.66752723115584,71.4,1.1718141068789334,0.06885872195516446,0.06885872195516446,1.4528593357958524,2.2008231487109304,0.5472502326049237,9.391143377273732
UGC11455,1.0,6.0,269.4,7.4,374.322,13.335,5.93,43.44,10.06,571.26,9568.2,78.6,90.0,SG06,269.4,374.322,13.335,5.93,6.0,187161000000.0,17735550000.000004,204896550000.0,0.913441441546966,0.086558558453034,4.5109612141652615,1.2721892640073276,1.0973202074889763,1.0,1.0973202074889763,1.2567474053673933,267.93790871787155,269.4,0.9945727866290704,-0.002363428050221513,0.002363428050221513,2.7568338155405883,3.9808302446113704,10.552872620245775,11.311534645914243
UGC11914,1.0,2.0,288.1,10.5,150.028,0.888,2.44,9.26,3.12,2425.66,3168.33,16.9,31.0,"No07,No05",288.1,150.028,0.888,2.44,2.0,75014000000.0,1181040000.0,76195040000.0,0.9844997784632701,0.01550022153672995,2.5368852459016393,1.199749374092115,1.331172313914355,1.3,1.7305240080886615,1.869093619266172,255.1665290039442,288.1,0.8856873620407643,-0.05271955226825226,0.05271955226825226,3.3848299265915687,3.5008304095699527,63.51520693625957,10.881926701382376
UGC12632,1.0,9.0,71.7,2.8,1.301,1.744,2.42,12.6,3.94,13.09,66.81,9.77,46.0,"Sw09,Sw02",71.7,1.301,1.744,2.42,9.0,650500000.0,2319520000.0000005,2970020000.0000005,0.21902209412731224,0.7809779058726878,3.4173553719008263,1.2379646219141702,1.0,1.0,1.0,1.1144770453653656,87.54914529433222,71.7,1.2210480515248565,0.08673275493707805,0.08673275493707805,1.1169396465507557,1.8248414717537007,0.28044595433537967,9.472759373849332
UGCA442,1.0,9.0,56.4,2.1,0.14,0.263,1.18,4.37,1.71,7.6,116.1,4.35,64.0,Co00,56.4,0.14,0.263,1.18,9.0,70000000.0,349790000.00000006,419790000.00000006,0.1667500416875104,0.8332499583124896,2.576271186440678,1.2017090692771988,1.0,1.0,1.0,1.0818380018372364,52.88903485530941,56.4,0.9377488449522946,-0.027913462107822112,0.027913462107822112,0.8808135922807914,2.064832219738574,0.2001200720432259,8.623032088852037
